id,base_reward,baseReward,desc,extra_reward,hour,hour_point,icon,level,name,point1,point2,point3,point4,point5,point6,robot,robot_icon,search_prob,source_type,sourceType,weight,win_point
101,[125|6],[125|6],木材,3301,3,5,mijing_pic_shu,1,dispath_name_1,10,10,-1,-1,-1,-1,11001,Head_60047,"0|5000,200|5000,300|6000",[999|4],[999|4],200,8
102,[160|3],[160|3],,3302,5,10,mijing_pic_shu,2,dispath_name_1,20,20,-1,-1,-1,-1,11100,Head_60047,"0|5500,200|6000,800|7000",[999|4],[999|4],160,20
103,[195|2],[195|2],,3303,7,15,mijing_pic_shu,3,dispath_name_1,-1,30,30,30,30,-1,11107,Head_60047,"0|6000,200|7000,800|9000",[999|4],[999|4],120,30
104,[295|2],[295|2],,3304,9,20,mijing_pic_shu,4,dispath_name_1,-1,-1,40,40,40,40,11200,Head_60047,"0|6500,200|8000,800|10000",[999|4],[999|4],80,40
105,[345|2],[345|2],,3305,11,30,mijing_pic_shu,5,dispath_name_1,-1,-1,-1,50,50,50,11300,Head_60047,"0|7500,200|9000,800|10000",[999|4],[999|4],60,60
201,[125|6],[125|6],石头,3301,3,5,mijing_pic_shitou,1,dispath_name_2,10,10,-1,-1,-1,-1,11001,Head_60023,"0|5000,200|5000,300|6000",[999|5],[999|5],200,8
202,[160|3],[160|3],,3302,5,10,mijing_pic_shitou,2,dispath_name_2,20,20,-1,-1,-1,-1,11100,Head_60023,"0|5500,200|6000,800|7000",[999|5],[999|5],160,20
203,[195|2],[195|2],,3303,7,15,mijing_pic_shitou,3,dispath_name_2,-1,30,30,30,30,-1,11107,Head_60023,"0|6000,200|7000,800|9000",[999|5],[999|5],120,30
204,[295|2],[295|2],,3304,9,20,mijing_pic_shitou,4,dispath_name_2,-1,-1,40,40,40,40,11200,Head_60023,"0|6500,200|8000,800|10000",[999|5],[999|5],80,40
205,[345|2],[345|2],,3305,11,30,mijing_pic_shitou,5,dispath_name_2,-1,-1,-1,50,50,50,11300,Head_60023,"0|7500,200|9000,800|10000",[999|5],[999|5],60,60
301,[1|3],[1|3],红水晶,3301,3,5,mijing_pic_baoshi_red,1,dispath_name_3,-1,-1,-1,-1,-1,-1,11001,Head_60016,"0|5000,200|5000,300|6000",[999|6],[999|6],150,8
302,[2|3],[2|3],,3302,5,10,mijing_pic_baoshi_red,2,dispath_name_3,-1,-1,-1,-1,-1,-1,11100,Head_60016,"0|5500,200|6000,800|7000",[999|6],[999|6],120,20
303,[1|1],[1|1],,3303,7,15,mijing_pic_baoshi_red,3,dispath_name_3,-1,-1,30,30,30,-1,11107,Head_60016,"0|6000,200|7000,800|9000",[999|6],[999|6],90,30
304,[3|2],[3|2],,3304,9,20,mijing_pic_baoshi_red,4,dispath_name_3,-1,-1,40,40,40,40,11200,Head_60016,"0|6500,200|8000,800|10000",[999|6],[999|6],60,40
305,[11|6],[11|6],,3305,11,30,mijing_pic_baoshi_red,5,dispath_name_3,-1,-1,-1,50,50,50,11300,Head_60016,"0|7500,200|9000,800|10000",[999|6],[999|6],45,60
401,[50|1],[50|1],肉,3301,3,5,mijing_pic_hailuo,1,dispath_name_4,-1,-1,-1,-1,-1,-1,11001,Head_60016,"0|5000,200|5000,300|6000",[999|3],[999|3],200,8
402,[290|3],[290|3],,3302,5,10,mijing_pic_hailuo,2,dispath_name_4,-1,-1,-1,-1,-1,-1,11100,Head_60016,"0|5500,200|6000,800|7000",[999|3],[999|3],160,20
403,[280|2],[280|2],,3303,7,15,mijing_pic_hailuo,3,dispath_name_4,-1,-1,-1,60,60,-1,11107,Head_60016,"0|6000,200|7000,800|9000",[999|3],[999|3],120,30
404,[190|1],[190|1],,3304,9,20,mijing_pic_hailuo,4,dispath_name_4,-1,-1,-1,80,80,80,11200,Head_60016,"0|6500,200|8000,800|10000",[999|3],[999|3],80,40
405,[230|1],[230|1],,3305,11,30,mijing_pic_hailuo,5,dispath_name_4,-1,-1,-1,100,100,100,11300,Head_60016,"0|7500,200|9000,800|10000",[999|3],[999|3],60,60
501,[1|144],[1|144],紫精华,3301,3,5,mijing_pic_baoshi,1,dispath_name_5,10,10,-1,-1,-1,-1,11001,Head_60016,"0|5000,200|5000,300|6000",[2|301],[2|301],100,8
502,[1|72],[1|72],,3302,5,10,mijing_pic_baoshi,2,dispath_name_5,20,20,-1,-1,-1,-1,11100,Head_60016,"0|5500,200|6000,800|7000",[2|301],[2|301],80,20
503,[1|48],[1|48],,3303,7,15,mijing_pic_baoshi,3,dispath_name_5,-1,30,30,30,30,-1,11107,Head_60016,"0|6000,200|7000,800|9000",[2|301],[2|301],60,30
504,[1|36],[1|36],,3304,9,20,mijing_pic_baoshi,4,dispath_name_5,-1,-1,40,40,40,40,11200,Head_60016,"0|6500,200|8000,800|10000",[2|301],[2|301],40,40
505,[1|24],[1|24],,3305,11,30,mijing_pic_baoshi,5,dispath_name_5,-1,-1,-1,50,50,50,11300,Head_60016,"0|7500,200|9000,800|10000",[2|301],[2|301],30,60
