id,attr,attrs,basic_score,break_probably_1,break_probably_2,break_reward,breakRewards,desc,drop_exist_time,entry_1,entry_2,entry_3,entry_4,entry_group_1,entry_group_2,entry_group_3,entry_group_4,entry_num,entry_quality,entrys,fightforce,fly_bag,level,name,picture,probably_reward_1,probably_reward_2,probablyRewards1,probablyRewards2,quality,race_list,race_probability,show_picture,strAttrs,suit_id,type
1,[3|100000],{3:100000},100000,-1,-1,[999|11|5],[999|11|5],,6000,[],[],[],[],,,,,,,[],100000,1,1,equipment_name_1102001,icon_40001,,,[],[],5,,-1,,[3|100000],-1,1
2,[4|1000000],{4:1000000},100000,-1,-1,[999|11|5],[999|11|5],,6000,[],[],[],[],,,,,,,[],100000,1,1,equipment_name_2102001,icon_41002,,,[],[],5,,-1,,[4|1000000],-1,2
3,[5|300],{5:300},100000,-1,-1,[999|11|100],[999|11|100],,3000,[],[],[],[],,,,,,,[],100000,1,20,equipment_name_42002,icon_42002,,,[],[],2,,-1,,[5|300],-1,3
101,[1001|50000],{1001:50000},100000,-1,-1,[999|11|5],[999|11|5],,6000,[],[],[],[],,,,,,,[],-1,1,1,equipment_name_1102001,icon_40001,,,[],[],5,,-1,,[1001|50000],-1,1
102,[2002|50000],{2002:50000},100000,-1,-1,[999|11|5],[999|11|5],,6000,[],[],[],[],,,,,,,[],-1,1,1,equipment_name_1102001,icon_40001,,,[],[],5,,-1,,[2002|50000],-1,1
103,[1011|10],{1011:10},100000,-1,-1,[999|11|5],[999|11|5],,6000,[],[],[],[],,,,,,,[],-1,1,1,equipment_name_1102001,icon_40001,,,[],[],5,,-1,,[1011|10],-1,1
1102001,[3|79],{3:79},316,-1,-1,[999|11|5],[999|11|5],,3000,[],[],[],[],,,,,,,[],-1,1,20,equipment_name_1102001,icon_40001,,,[],[],2,,-1,,[3|79],-1,1
1103001,[3|129],{3:129},516,-1,-1,[999|11|5],[999|11|5],,3000,[],[],[],[],,,,,,,[],-1,1,40,equipment_name_1103001,icon_40006,,,[],[],2,,-1,,[3|129],-1,1
1303001,[3|135],{3:135},540,-1,-1,[999|11|5],[999|11|5],,4000,[701|10000],[],[],[],[701|10000],,,,,,[701],-1,1,40,equipment_name_1303001,icon_40006,,,[],[],3,,-1,,[3|135],-1,1
1104001,[3|181],{3:181},724,-1,-1,[999|11|5],[999|11|5],,3000,[],[],[],[],,,,,,,[],-1,1,60,equipment_name_1104001,icon_40005,,,[],[],2,,-1,,[3|181],-1,1
1304001,[3|190],{3:190},760,-1,-1,[999|11|5],[999|11|5],,4000,[701|10000],[],[],[],[701|10000],,,,,,[701],-1,1,60,equipment_name_1304001,icon_40005,,,[],[],3,,-1,,[3|190],-1,1
2102001,[4|316],{4:316},316,-1,-1,[999|11|5],[999|11|5],,3000,[],[],[],[],,,,,,,[],-1,1,20,equipment_name_2102001,icon_41002,,,[],[],2,,-1,,[4|316],-1,2
2103001,[4|515],{4:515},515,-1,-1,[999|11|5],[999|11|5],,3000,[],[],[],[],,,,,,,[],-1,1,40,equipment_name_2103001,icon_41004,,,[],[],2,,-1,,[4|515],-1,2
2303001,[4|540],{4:540},540,-1,-1,[999|11|5],[999|11|5],,4000,[701|10000],[],[],[],[701|10000],,,,,,[701],-1,1,40,equipment_name_2303001,icon_41004,,,[],[],3,,-1,,[4|540],-1,2
2104001,[4|725],{4:725},725,-1,-1,[999|11|5],[999|11|5],,3000,[],[],[],[],,,,,,,[],-1,1,60,equipment_name_2104001,icon_41001,,,[],[],2,,-1,,[4|725],-1,2
2304001,[4|762],{4:762},762,-1,-1,[999|11|5],[999|11|5],,4000,[701|10000],[],[],[],[701|10000],,,,,,[701],-1,1,60,equipment_name_2304001,icon_41001,,,[],[],3,,-1,,[4|762],-1,2
3102001,[4|237],{4:237},237,-1,-1,[999|11|5],[999|11|5],,3000,[],[],[],[],,,,,,,[],-1,1,20,equipment_name_3102001,icon_42002,,,[],[],2,,-1,,[4|237],-1,3
3103001,[4|386],{4:386},386,-1,-1,[999|11|5],[999|11|5],,3000,[],[],[],[],,,,,,,[],-1,1,40,equipment_name_3103001,icon_42004,,,[],[],2,,-1,,[4|386],-1,3
