id,attribute,attrs,break_cost,break_cost_goods,break_cost_no_back,break_quality,breakCostGoods,breakCostGoodsBack,breakCostList,breakCostNoBack,fightforce,icon_change,lv,master_lv,model_id,star_num
101,[8|100],[[8|100]],[1|1],,,-1,[],[],[[1|1]],[],1000,icon_40001,1,0,1,0
102,[10|100],[[10|100]],[1|2],,,-1,[],[],[[1|2]],[],5000,icon_40001,2,0,1,0
2210,,[],,,,-1,[],[],[],[],0,icon_40001,0,0,221,0
2211,[65|230],[[65|230]],[221|1],,,-1,[],[],[[221|1]],[],920,icon_40001,1,0,221,0
2220,,[],,,,-1,[],[],[],[],0,icon_41002,0,0,222,0
2221,[66|2040],[[66|2040]],[222|1],,,-1,[],[],[[222|1]],[],907,icon_41002,1,0,222,0
2230,,[],,,,-1,[],[],[],[],0,icon_42002,0,0,223,0
2231,[65|230],[[65|230]],[223|1],,,-1,[],[],[[223|1]],[],920,icon_42002,1,0,223,0
2240,,[],,,,-1,[],[],[],[],0,icon_45002,0,0,224,0
2241,[66|2040],[[66|2040]],[224|1],,,-1,[],[],[[224|1]],[],907,icon_45002,1,0,224,0
3210,,[],,,,-1,[],[],[],[],0,icon_40006,0,0,321,0
3211,[65|455],[[65|455]],[321|1],,,-1,[],[],[[321|1]],[],1820,icon_40006,1,0,321,0
3212,[65|1065],[[65|1065]],[321|1],,,-1,[],[],[[321|1]],[],4260,icon_40006,2,0,321,0
3220,,[],,,,-1,[],[],[],[],0,icon_41004,0,0,322,0
3221,[66|4080],[[66|4080]],[322|1],,,-1,[],[],[[322|1]],[],1814,icon_41004,1,0,322,0
3222,[66|9520],[[66|9520]],[322|1],,,-1,[],[],[[322|1]],[],4232,icon_41004,2,0,322,0
3230,,[],,,,-1,[],[],[],[],0,icon_42004,0,0,323,0
3231,[65|455],[[65|455]],[323|1],,,-1,[],[],[[323|1]],[],1820,icon_42004,1,0,323,0
3232,[65|1065],[[65|1065]],[323|1],,,-1,[],[],[[323|1]],[],4260,icon_42004,2,0,323,0
3240,,[],,,,-1,[],[],[],[],0,icon_45004,0,0,324,0
3241,[66|4080],[[66|4080]],[324|1],,,-1,[],[],[[324|1]],[],1814,icon_45004,1,0,324,0
3242,[66|9520],[[66|9520]],[324|1],,,-1,[],[],[[324|1]],[],4232,icon_45004,2,0,324,0
4110,[8|60],[[8|60]],,,,-1,[],[],[],[],1200,icon_40005,0,0,411,0
4111,[65|910|8|120],[[65|910]|[8|120]],[411|1],,,-1,[],[],[[411|1]],[],6040,icon_40005,1,0,411,0
4112,[65|2125|8|200],[[65|2125]|[8|200]],[411|1],,,-1,[],[],[[411|1]],[],12500,icon_40005,2,0,411,0
4113,[65|3945|8|320],[[65|3945]|[8|320]],[411|2],,,-1,[],[],[[411|2]],[],22180,icon_40005,3,0,411,0
4114,[65|6980|8|515],[[65|6980]|[8|515]],[411|3],,,-1,[],[],[[411|3]],[],38220,icon_40005,4,0,411,0
4120,[10|60],[[10|60]],,,,-1,[],[],[],[],1200,icon_41001,0,0,412,0
4121,[66|6525|65|185|10|60],[[66|6525]|[65|185]|[10|60]],[412|1],,,-1,[],[],[[412|1]],[],4840,icon_41001,1,0,412,0
4122,[66|15225|65|435|10|140],[[66|15225]|[65|435]|[10|140]],[412|1],,,-1,[],[],[[412|1]],[],11307,icon_41001,2,0,412,0
4123,[66|28275|65|805|10|260],[[66|28275]|[65|805]|[10|260]],[412|2],,,-1,[],[],[[412|2]],[],20987,icon_41001,3,0,412,0
4124,[66|50025|65|1425|10|455],[[66|50025]|[65|1425]|[10|455]],[412|3],,,-1,[],[],[[412|3]],[],37034,icon_41001,4,0,412,0
4130,[8|60],[[8|60]],,,,-1,[],[],[],[],1200,icon_42001,0,0,413,0
4131,[65|910|8|60],[[65|910]|[8|60]],[413|1],,,-1,[],[],[[413|1]],[],4840,icon_42001,1,0,413,0
4132,[65|2125|8|140],[[65|2125]|[8|140]],[413|1],,,-1,[],[],[[413|1]],[],11300,icon_42001,2,0,413,0
4133,[65|3945|8|260],[[65|3945]|[8|260]],[413|2],,,-1,[],[],[[413|2]],[],20980,icon_42001,3,0,413,0
4134,[65|6980|8|455],[[65|6980]|[8|455]],[413|3],,,-1,[],[],[[413|3]],[],37020,icon_42001,4,0,413,0
4140,[10|60],[[10|60]],,,,-1,[],[],[],[],1200,icon_45001,0,0,414,0
4141,[66|6525|65|185|10|60],[[66|6525]|[65|185]|[10|60]],[414|1],,,-1,[],[],[[414|1]],[],4840,icon_45001,1,0,414,0
4142,[66|15225|65|435|10|140],[[66|15225]|[65|435]|[10|140]],[414|1],,,-1,[],[],[[414|1]],[],11307,icon_45001,2,0,414,0
4143,[66|28275|65|805|10|260],[[66|28275]|[65|805]|[10|260]],[414|2],,,-1,[],[],[[414|2]],[],20987,icon_45001,3,0,414,0
4144,[66|50025|65|1425|10|455],[[66|50025]|[65|1425]|[10|455]],[414|3],,,-1,[],[],[[414|3]],[],37034,icon_45001,4,0,414,0
4310,[16|60],[[16|60]],,,,-1,[],[],[],[],1200,icon_40008,0,0,431,0
4311,[65|725|66|1635|16|60],[[65|725]|[66|1635]|[16|60]],[431|1],,,-1,[],[],[[431|1]],[],4827,icon_40008,1,0,431,0
4312,[65|1695|66|3815|16|140],[[65|1695]|[66|3815]|[16|140]],[431|1],,,-1,[],[],[[431|1]],[],11276,icon_40008,2,0,431,0
4313,[65|3145|66|7085|16|260],[[65|3145]|[66|7085]|[16|260]],[431|2],,,-1,[],[],[[431|2]],[],20929,icon_40008,3,0,431,0
4314,[65|5565|66|12535|16|455],[[65|5565]|[66|12535]|[16|455]],[431|3],,,-1,[],[],[[431|3]],[],36932,icon_40008,4,0,431,0
4320,[26|60],[[26|60]],,,,-1,[],[],[],[],1200,icon_41008,0,0,432,0
4321,[66|8160|26|60],[[66|8160]|[26|60]],[432|1],,,-1,[],[],[[432|1]],[],4827,icon_41008,1,0,432,0
4322,[66|19040|26|140],[[66|19040]|[26|140]],[432|1],,,-1,[],[],[[432|1]],[],11263,icon_41008,2,0,432,0
4323,[66|35360|26|260],[[66|35360]|[26|260]],[432|2],,,-1,[],[],[[432|2]],[],20916,icon_41008,3,0,432,0
4324,[66|62560|26|455],[[66|62560]|[26|455]],[432|3],,,-1,[],[],[[432|3]],[],36905,icon_41008,4,0,432,0
4330,[16|60],[[16|60]],,,,-1,[],[],[],[],1200,icon_42008,0,0,433,0
4331,[65|725|66|1635|16|60],[[65|725]|[66|1635]|[16|60]],[433|1],,,-1,[],[],[[433|1]],[],4827,icon_42008,1,0,433,0
4332,[65|1695|66|3815|16|140],[[65|1695]|[66|3815]|[16|140]],[433|1],,,-1,[],[],[[433|1]],[],11276,icon_42008,2,0,433,0
4333,[65|3145|66|7085|16|260],[[65|3145]|[66|7085]|[16|260]],[433|2],,,-1,[],[],[[433|2]],[],20929,icon_42008,3,0,433,0
4334,[65|5565|66|12535|16|455],[[65|5565]|[66|12535]|[16|455]],[433|3],,,-1,[],[],[[433|3]],[],36932,icon_42008,4,0,433,0
4340,[26|60],[[26|60]],,,,-1,[],[],[],[],1200,icon_45008,0,0,434,0
4341,[66|8160|26|60],[[66|8160]|[26|60]],[434|1],,,-1,[],[],[[434|1]],[],4827,icon_45008,1,0,434,0
4342,[66|19040|26|140],[[66|19040]|[26|140]],[434|1],,,-1,[],[],[[434|1]],[],11263,icon_45008,2,0,434,0
4343,[66|35360|26|260],[[66|35360]|[26|260]],[434|2],,,-1,[],[],[[434|2]],[],20916,icon_45008,3,0,434,0
4344,[66|62560|26|455],[[66|62560]|[26|455]],[434|3],,,-1,[],[],[[434|3]],[],36905,icon_45008,4,0,434,0
5110,[8|120],[[8|120]],,,,-1,[],[],[],[],2400,icon_40009,0,1,511,0
5111,[65|1815|8|120],[[65|1815]|[8|120]],[511|1],,,-1,[],[],[[511|1]],[],9660,icon_40009,1,2,511,0
5112,[65|4235|8|275],[[65|4235]|[8|275]],[511|1],,,-1,[],[],[[511|1]],[],22440,icon_40009,2,3,511,0
5113,[65|7865|8|510],[[65|7865]|[8|510]],[511|2],,,-1,[],[],[[511|2]],[],41660,icon_40009,3,4,511,0
5114,[65|13915|8|895],[[65|13915]|[8|895]],[511|3],,,-1,[],[],[[511|3]],[],73560,icon_40009,4,5,511,0
5120,[10|120],[[10|120]],,,,-1,[],[],[],[],2400,icon_41009,0,1,512,0
5121,[66|13050|65|365|10|120],[[66|13050]|[65|365]|[10|120]],[512|1],,,-1,[],[],[[512|1]],[],9660,icon_41009,1,2,512,0
5122,[66|30450|65|855|10|275],[[66|30450]|[65|855]|[10|275]],[512|1],,,-1,[],[],[[512|1]],[],22454,icon_41009,2,3,512,0
5123,[66|56550|65|1585|10|510],[[66|56550]|[65|1585]|[10|510]],[512|2],,,-1,[],[],[[512|2]],[],41674,icon_41009,3,4,512,0
5124,[66|100050|65|2805|10|895],[[66|100050]|[65|2805]|[10|895]],[512|3],,,-1,[],[],[[512|3]],[],73587,icon_41009,4,5,512,0
5130,[8|120],[[8|120]],,,,-1,[],[],[],[],2400,icon_42009,0,1,513,0
5131,[65|1815|8|120],[[65|1815]|[8|120]],[513|1],,,-1,[],[],[[513|1]],[],9660,icon_42009,1,2,513,0
5132,[65|4235|8|275],[[65|4235]|[8|275]],[513|1],,,-1,[],[],[[513|1]],[],22440,icon_42009,2,3,513,0
5133,[65|7865|8|510],[[65|7865]|[8|510]],[513|2],,,-1,[],[],[[513|2]],[],41660,icon_42009,3,4,513,0
5134,[65|13915|8|895],[[65|13915]|[8|895]],[513|3],,,-1,[],[],[[513|3]],[],73560,icon_42009,4,5,513,0
5140,[10|120],[[10|120]],,,,-1,[],[],[],[],2400,icon_45009,0,1,514,0
5141,[66|13050|65|365|10|120],[[66|13050]|[65|365]|[10|120]],[514|1],,,-1,[],[],[[514|1]],[],9660,icon_45009,1,2,514,0
5142,[66|30450|65|855|10|275],[[66|30450]|[65|855]|[10|275]],[514|1],,,-1,[],[],[[514|1]],[],22454,icon_45009,2,3,514,0
5143,[66|56550|65|1585|10|510],[[66|56550]|[65|1585]|[10|510]],[514|2],,,-1,[],[],[[514|2]],[],41674,icon_45009,3,4,514,0
5144,[66|100050|65|2805|10|895],[[66|100050]|[65|2805]|[10|895]],[514|3],,,-1,[],[],[[514|3]],[],73587,icon_45009,4,5,514,0
5310,[16|120],[[16|120]],,,,-1,[],[],[],[],2400,icon_40013,0,1,531,0
5311,[65|1450|66|3265|16|120],[[65|1450]|[66|3265]|[16|120]],[531|1],,,-1,[],[],[[531|1]],[],9652,icon_40013,1,2,531,0
