id,cost,cost_1,cost_2,cost1Array,cost2Array,costArray,level,level_building,preview,quality_list,qualityList,reward_list,type,weight,weight_list,weight_list_1,weight_list_2,weight1,weight2,weightList,weightList1,weightList2
1003,[999|11|250],[2|301|10],,[2|301|10],[],[999|11|250],20,3,110101|130101|130111|130121|130131|140101|140111|140121|140131,[2|3|4|5],[2|3|4|5],20012|20013|20014|20015,1,100,[60|30|10|0],[0|0|100|0],,100,0,[60|30|10|0],[0|0|100|0],[]
1004,[999|11|250],[2|301|10],,[2|301|10],[],[999|11|250],20,4,110101|130101|130111|130121|130131|140101|140111|140121|140131,[2|3|4|5],[2|3|4|5],20012|20013|20014|20015,1,100,[60|30|10|0],[0|0|100|0],,100,0,[60|30|10|0],[0|0|100|0],[]
1005,[999|11|250],[2|301|10],,[2|301|10],[],[999|11|250],20,5,110101|130101|130111|130121|130131|140101|140111|140121|140131,[2|3|4|5],[2|3|4|5],20012|20013|20014|20015,1,100,[60|30|10|0],[0|0|100|0],,100,0,[60|30|10|0],[0|0|100|0],[]
1006,[999|11|250],[2|301|10],,[2|301|10],[],[999|11|250],20,6,110101|130101|130111|130121|130131|140101|140111|140121|140131,[2|3|4|5],[2|3|4|5],20012|20013|20014|20015,1,100,[60|30|10|0],[0|0|100|0],,100,0,[60|30|10|0],[0|0|100|0],[]
1007,[999|11|450],[2|301|11],,[2|301|11],[],[999|11|450],40,7,110201|130201|130211|130221|130231|140201|140211|140221|140231,[2|3|4|5],[2|3|4|5],20022|20023|20024|20025,1,100,[60|30|10|0],[0|0|100|0],,100,0,[60|30|10|0],[0|0|100|0],[]
1008,[999|11|450],[2|301|11],,[2|301|11],[],[999|11|450],40,8,110201|130201|130211|130221|130231|140201|140211|140221|140231,[2|3|4|5],[2|3|4|5],20022|20023|20024|20025,1,100,[60|30|10|0],[0|0|100|0],,100,0,[60|30|10|0],[0|0|100|0],[]
1009,[999|11|450],[2|301|11],,[2|301|11],[],[999|11|450],40,9,110201|130201|130211|130221|130231|140201|140211|140221|140231,[2|3|4|5],[2|3|4|5],20022|20023|20024|20025,1,100,[60|30|10|0],[0|0|100|0],,100,0,[60|30|10|0],[0|0|100|0],[]
1010,[999|11|450],[2|301|11],,[2|301|11],[],[999|11|450],40,10,110201|130201|130211|130221|130231|140201|140211|140221|140231,[2|3|4|5],[2|3|4|5],20022|20023|20024|20025,1,100,[60|30|10|0],[0|0|100|0],,100,0,[60|30|10|0],[0|0|100|0],[]
1011,[999|11|700],[2|301|17],[2|302|6],[2|301|17],[2|302|6],[999|11|700],60,11,120301|130301|130311|130321|130331|140301|140311|140321|140331|150301|150311|150321|150331,[2|3|4|5],[2|3|4|5],20032|20033|20034|20035,1,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
1012,[999|11|700],[2|301|17],[2|302|6],[2|301|17],[2|302|6],[999|11|700],60,12,120301|130301|130311|130321|130331|140301|140311|140321|140331|150301|150311|150321|150331,[2|3|4|5],[2|3|4|5],20032|20033|20034|20035,1,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
1013,[999|11|700],[2|301|17],[2|302|6],[2|301|17],[2|302|6],[999|11|700],60,13,120301|130301|130311|130321|130331|140301|140311|140321|140331|150301|150311|150321|150331,[2|3|4|5],[2|3|4|5],20032|20033|20034|20035,1,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
1014,[999|11|700],[2|301|17],[2|302|6],[2|301|17],[2|302|6],[999|11|700],60,14,120301|130301|130311|130321|130331|140301|140311|140321|140331|150301|150311|150321|150331,[2|3|4|5],[2|3|4|5],20032|20033|20034|20035,1,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
1015,[999|11|1000],[2|301|30],[2|302|11],[2|301|30],[2|302|11],[999|11|1000],80,15,120401|130401|130411|130421|130431|140401|140411|140421|140431|150401|150411|150421|150431,[2|3|4|5],[2|3|4|5],20042|20043|20044|20045,1,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
1016,[999|11|1000],[2|301|30],[2|302|11],[2|301|30],[2|302|11],[999|11|1000],80,16,120401|130401|130411|130421|130431|140401|140411|140421|140431|150401|150411|150421|150431,[2|3|4|5],[2|3|4|5],20042|20043|20044|20045,1,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
1017,[999|11|1000],[2|301|30],[2|302|11],[2|301|30],[2|302|11],[999|11|1000],80,17,120401|130401|130411|130421|130431|140401|140411|140421|140431|150401|150411|150421|150431,[2|3|4|5],[2|3|4|5],20042|20043|20044|20045,1,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
1018,[999|11|1000],[2|301|30],[2|302|11],[2|301|30],[2|302|11],[999|11|1000],80,18,120401|130401|130411|130421|130431|140401|140411|140421|140431|150401|150411|150421|150431,[2|3|4|5],[2|3|4|5],20042|20043|20044|20045,1,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
1019,[999|11|1600],[2|301|46],[2|302|16],[2|301|46],[2|302|16],[999|11|1600],100,19,120501|130501|130511|130521|130531|140501|140511|140521|140531|150501|150511|150521|150531,[2|3|4|5],[2|3|4|5],20052|20053|20054|20055,1,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
1020,[999|11|1600],[2|301|46],[2|302|16],[2|301|46],[2|302|16],[999|11|1600],100,20,120501|130501|130511|130521|130531|140501|140511|140521|140531|150501|150511|150521|150531,[2|3|4|5],[2|3|4|5],20052|20053|20054|20055,1,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
1021,[999|11|1600],[2|301|46],[2|302|16],[2|301|46],[2|302|16],[999|11|1600],100,21,120501|130501|130511|130521|130531|140501|140511|140521|140531|150501|150511|150521|150531,[2|3|4|5],[2|3|4|5],20052|20053|20054|20055,1,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
1022,[999|11|1600],[2|301|46],[2|302|16],[2|301|46],[2|302|16],[999|11|1600],100,22,120501|130501|130511|130521|130531|140501|140511|140521|140531|150501|150511|150521|150531,[2|3|4|5],[2|3|4|5],20052|20053|20054|20055,1,100,[60|30|10|0],[0|0|90|10],[0|0|0|100],100,100,[60|30|10|0],[0|0|90|10],[0|0|0|100]
