id,attr,attrs,fightforce,quality,score
101,[8|100],[8|100],18,3,100
102,[8|200],[8|200],36,3,200
103,[8|300],[8|300],57,4,300
104,[8|400],[8|400],73,4,400
105,[8|500],[8|500],91,5,500
201,[9|100],[9|100],18,3,100
202,[9|200],[9|200],36,3,200
203,[9|300],[9|300],57,4,300
204,[9|400],[9|400],73,4,400
205,[9|500],[9|500],91,5,500
301,[13|100],[13|100],18,3,100
302,[13|200],[13|200],36,3,200
303,[13|300],[13|300],57,4,300
304,[13|400],[13|400],73,4,400
305,[13|500],[13|500],91,5,500
401,[15|100],[15|100],18,3,100
402,[15|200],[15|200],36,3,200
403,[15|300],[15|300],57,4,300
404,[15|400],[15|400],73,4,400
405,[15|500],[15|500],91,5,500
501,[6|100],[6|100],18,3,100
502,[6|200],[6|200],36,3,200
503,[6|300],[6|300],57,4,300
504,[6|400],[6|400],73,4,400
505,[6|500],[6|500],91,5,500
601,[5|2],[5|2],18,3,100
602,[5|3],[5|3],36,3,200
603,[5|5],[5|5],57,4,300
604,[5|7],[5|7],73,4,400
605,[5|8],[5|8],91,5,500
701,[3|5],[3|5],18,3,100
702,[3|9],[3|9],36,3,200
703,[3|14],[3|14],57,4,300
704,[3|18],[3|18],73,4,400
705,[3|23],[3|23],91,5,500
801,[4|45],[4|45],18,3,100
802,[4|90],[4|90],36,3,200
803,[4|135],[4|135],57,4,300
804,[4|183],[4|183],73,4,400
805,[4|228],[4|228],91,5,500
