id,attribute,attrs,fightforce,level,level_name,quality,type
1,[165|1000|166|1000],[[165|1000]|[166|1000]],1200,10,,-1,1
2,[165|2500|166|2500],[[165|2500]|[166|2500]],2400,20,,-1,1
3,[165|5000|166|5000],[[165|5000]|[166|5000]],4600,30,,-1,1
4,[165|10000|166|10000],[[165|10000]|[166|10000]],8500,40,,-1,1
5,[165|20000|166|20000],[[165|20000]|[166|20000]],16000,50,,-1,1
101,[165|2000|166|2000|1019|5],[[165|2000]|[166|2000]|[1019|5]],1200,1,,-1,2
102,[165|3000|166|3300|1019|10],[[165|3000]|[166|3300]|[1019|10]],2400,2,,-1,2
103,[165|4000|166|4800|1019|15],[[165|4000]|[166|4800]|[1019|15]],3600,3,,-1,2
104,[165|5000|166|6500|1019|20],[[165|5000]|[166|6500]|[1019|20]],5000,4,,-1,2
105,[165|6500|166|9100|1019|25],[[165|6500]|[166|9100]|[1019|25]],6500,5,,-1,2
106,[165|8500|166|12800|1019|50],[[165|8500]|[166|12800]|[1019|50]],8600,6,,-1,2
107,[165|10500|166|16800|1019|75],[[165|10500]|[166|16800]|[1019|75]],11000,7,,-1,2
108,[165|13000|166|22100|1019|100],[[165|13000]|[166|22100]|[1019|100]],13500,8,,-1,2
109,[165|16000|166|29600|1019|150],[[165|16000]|[166|29600]|[1019|150]],16500,9,,-1,2
110,[165|20000|166|40000|1019|200],[[165|20000]|[166|40000]|[1019|200]],20000,10,,-1,2
3031,[65|700|66|7000],[[65|700]|[66|7000]],100,10,,3,3
3041,[65|1900|66|19000],[[65|1900]|[66|19000]],250,10,,4,3
3042,[65|3000|66|32000],[[65|3000]|[66|32000]],400,20,,4,3
3043,[65|4100|66|47000],[[65|4100]|[66|47000]],550,30,,4,3
3051,[65|5900|66|74000],[[65|5900]|[66|74000]],800,10,,5,3
3052,[65|8200|66|109000],[[65|8200]|[66|109000]],1100,20,,5,3
3053,[65|11100|66|160000],[[65|11100]|[66|160000]],1500,30,,5,3
3054,[65|14800|66|228000],[[65|14800]|[66|228000]],2000,40,,5,3
3151,[65|22200|66|375000],[[65|22200]|[66|375000]],3000,5,,5,4
3152,[65|29600|66|544000],[[65|29600]|[66|544000]],4000,10,,5,4
3153,[65|40800|66|809000],[[65|40800]|[66|809000]],5500,15,,5,4
3154,[65|55600|66|1186000],[[65|55600]|[66|1186000]],7500,20,,5,4
3155,[65|66700|66|1423000],[[65|66700]|[66|1423000]],9000,25,,5,4
