id,breakIconAtlas,getWays,pictureAtlas,RaceCostDic,attr,attrs,basePowers,born_Lv,break_bonus_attribute,break_icon,break_icon_atlas,break_on,break_reward,breakBonusAttr,breakRewards,canBreak,drop_exist_time,effect,fightforce,fly_bag,get_id,is_decompose,levelUpAttr,max_level,name,order,picture,picture_atlas,produce_goods,produce_time,produceGoods,quality,race_produce_goods,scale,star_up_bonus_attribute,starAttrs,suit_id,type,version
1,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{},[65|100|66|10000],[[65|100]|[66|10000]],[1000|10000],-1,,,,-1,[999|11|5],[],[[999|11|5]],false,3000,,[1000|10000],1,,1,[],-1,equipment_name_1102001,-1,icon_40001,Atlas/UI_Equipment,,-1,[],2,,140,,[],-1,1,-1
2,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{},[66|1000000],[[66|1000000]],[1000],-1,,,,-1,[999|11|5],[],[[999|11|5]],false,3000,,[1000],1,,1,[],-1,equipment_name_2102001,-1,icon_41002,Atlas/UI_Equipment,,-1,[],2,,140,,[],-1,2,-1
3,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{},[65|300],[[65|300]],[1000],-1,,,,-1,[999|11|100],[],[[999|11|100]],false,3000,,[1000],1,,1,[],-1,equipment_name_42002,-1,icon_42002,Atlas/UI_Equipment,,-1,[],2,,140,,[],-1,3,-1
221,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{},[65|230],[[65|230]],[920],-1,,,,-1,[2|206|200],[],[[2|206|200]],false,3000,,[920],1,,1,[],-1,equipment_name_40001,-1,icon_40001,Atlas/UI_Equipment,,-1,[],2,,140,,[],-1,1,-1
222,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{},[66|2040],[[66|2040]],[907],-1,,,,-1,[2|206|200],[],[[2|206|200]],false,3000,,[907],1,,1,[],-1,equipment_name_41002,-1,icon_41002,Atlas/UI_Equipment,,-1,[],2,,140,,[],-1,2,-1
223,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{},[65|230],[[65|230]],[920],-1,,,,-1,[2|206|200],[],[[2|206|200]],false,3000,,[920],1,,1,[],-1,equipment_name_42002,-1,icon_42002,Atlas/UI_Equipment,,-1,[],2,,140,,[],-1,3,-1
224,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{},[66|2040],[[66|2040]],[907],-1,,,,-1,[2|206|200],[],[[2|206|200]],false,3000,,[907],1,,1,[],-1,equipment_name_45002,-1,icon_45002,Atlas/UI_Equipment,,-1,[],2,,140,,[],-1,4,-1
321,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{},[65|455],[[65|455]],[1820],-1,,,,-1,[2|206|600],[],[[2|206|600]],false,4000,,[1820],1,,1,[],-1,equipment_name_40006,-1,icon_40006,Atlas/UI_Equipment,,-1,[],3,,155,,[],-1,1,-1
322,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{},[66|4080],[[66|4080]],[1814],-1,,,,-1,[2|206|600],[],[[2|206|600]],false,4000,,[1814],1,,1,[],-1,equipment_name_41004,-1,icon_41004,Atlas/UI_Equipment,,-1,[],3,,155,,[],-1,2,-1
323,Atlas/UI_Item,<ERROR:TargetInvocationException>,Atlas/UI_Equipment,{},[65|455],[[65|455]],[1820],-1,,,,-1,[2|206|600],[],[[2|206|600]],false,4000,,[1820],1,,1,[],-1,equipment_name_42004,-1,icon_42004,Atlas/UI_Equipment,,-1,[],3,,155,,[],-1,3,-1
