id,attribute,attrs,cost,costNoBack,fightforce,lv_up_cost_no_back,model_id,pre_building_level,preBuildLv,star,star_up_cost,star_up_costs,starPowers
22101,[65|15],[[65|15]],[[2|206|25]],[],[60],,221,[117|0],[117|0],1,[2|206|25],[[2|206|25]],[60]
22102,[65|30],[[65|30]],[[2|206|30]],[],[120],,221,[117|0],[117|0],2,[2|206|30],[[2|206|30]],[120]
22103,[65|45],[[65|45]],[[2|206|30]],[],[180],,221,[117|0],[117|0],3,[2|206|30],[[2|206|30]],[180]
22104,[65|60],[[65|60]],[[2|206|35]],[],[240],,221,[117|0],[117|0],4,[2|206|35],[[2|206|35]],[240]
22105,[65|75],[[65|75]],[[2|206|35]],[],[300],,221,[117|0],[117|0],5,[2|206|35],[[2|206|35]],[300]
22106,[65|90],[[65|90]],[[2|206|40]],[],[360],,221,[117|0],[117|0],6,[2|206|40],[[2|206|40]],[360]
22107,[65|105],[[65|105]],[[2|206|40]],[],[420],,221,[117|0],[117|0],7,[2|206|40],[[2|206|40]],[420]
22108,[65|120],[[65|120]],[[2|206|45]],[],[480],,221,[117|0],[117|0],8,[2|206|45],[[2|206|45]],[480]
22109,[65|135],[[65|135]],[[2|206|70]],[],[540],,221,[117|0],[117|0],9,[2|206|70],[[2|206|70]],[540]
22110,[65|190],[[65|190]],[[2|206|90]],[],[760],,221,[117|0],[117|0],10,[2|206|90],[[2|206|90]],[760]
22201,[66|120],[[66|120]],[[2|206|25]],[],[54],,222,[117|0],[117|0],1,[2|206|25],[[2|206|25]],[54]
22202,[66|240],[[66|240]],[[2|206|30]],[],[107],,222,[117|0],[117|0],2,[2|206|30],[[2|206|30]],[107]
22203,[66|360],[[66|360]],[[2|206|30]],[],[160],,222,[117|0],[117|0],3,[2|206|30],[[2|206|30]],[160]
22204,[66|480],[[66|480]],[[2|206|35]],[],[214],,222,[117|0],[117|0],4,[2|206|35],[[2|206|35]],[214]
22205,[66|600],[[66|600]],[[2|206|35]],[],[267],,222,[117|0],[117|0],5,[2|206|35],[[2|206|35]],[267]
22206,[66|720],[[66|720]],[[2|206|40]],[],[320],,222,[117|0],[117|0],6,[2|206|40],[[2|206|40]],[320]
22207,[66|840],[[66|840]],[[2|206|40]],[],[374],,222,[117|0],[117|0],7,[2|206|40],[[2|206|40]],[374]
22208,[66|960],[[66|960]],[[2|206|45]],[],[427],,222,[117|0],[117|0],8,[2|206|45],[[2|206|45]],[427]
22209,[66|1080],[[66|1080]],[[2|206|70]],[],[480],,222,[117|0],[117|0],9,[2|206|70],[[2|206|70]],[480]
22210,[66|1555],[[66|1555]],[[2|206|90]],[],[692],,222,[117|0],[117|0],10,[2|206|90],[[2|206|90]],[692]
22301,[65|15],[[65|15]],[[2|206|25]],[],[60],,223,[117|0],[117|0],1,[2|206|25],[[2|206|25]],[60]
22302,[65|30],[[65|30]],[[2|206|30]],[],[120],,223,[117|0],[117|0],2,[2|206|30],[[2|206|30]],[120]
22303,[65|45],[[65|45]],[[2|206|30]],[],[180],,223,[117|0],[117|0],3,[2|206|30],[[2|206|30]],[180]
22304,[65|60],[[65|60]],[[2|206|35]],[],[240],,223,[117|0],[117|0],4,[2|206|35],[[2|206|35]],[240]
22305,[65|75],[[65|75]],[[2|206|35]],[],[300],,223,[117|0],[117|0],5,[2|206|35],[[2|206|35]],[300]
22306,[65|90],[[65|90]],[[2|206|40]],[],[360],,223,[117|0],[117|0],6,[2|206|40],[[2|206|40]],[360]
22307,[65|105],[[65|105]],[[2|206|40]],[],[420],,223,[117|0],[117|0],7,[2|206|40],[[2|206|40]],[420]
22308,[65|120],[[65|120]],[[2|206|45]],[],[480],,223,[117|0],[117|0],8,[2|206|45],[[2|206|45]],[480]
22309,[65|135],[[65|135]],[[2|206|70]],[],[540],,223,[117|0],[117|0],9,[2|206|70],[[2|206|70]],[540]
22310,[65|190],[[65|190]],[[2|206|90]],[],[760],,223,[117|0],[117|0],10,[2|206|90],[[2|206|90]],[760]
22401,[66|120],[[66|120]],[[2|206|25]],[],[54],,224,[117|0],[117|0],1,[2|206|25],[[2|206|25]],[54]
22402,[66|240],[[66|240]],[[2|206|30]],[],[107],,224,[117|0],[117|0],2,[2|206|30],[[2|206|30]],[107]
22403,[66|360],[[66|360]],[[2|206|30]],[],[160],,224,[117|0],[117|0],3,[2|206|30],[[2|206|30]],[160]
22404,[66|480],[[66|480]],[[2|206|35]],[],[214],,224,[117|0],[117|0],4,[2|206|35],[[2|206|35]],[214]
22405,[66|600],[[66|600]],[[2|206|35]],[],[267],,224,[117|0],[117|0],5,[2|206|35],[[2|206|35]],[267]
22406,[66|720],[[66|720]],[[2|206|40]],[],[320],,224,[117|0],[117|0],6,[2|206|40],[[2|206|40]],[320]
22407,[66|840],[[66|840]],[[2|206|40]],[],[374],,224,[117|0],[117|0],7,[2|206|40],[[2|206|40]],[374]
22408,[66|960],[[66|960]],[[2|206|45]],[],[427],,224,[117|0],[117|0],8,[2|206|45],[[2|206|45]],[427]
22409,[66|1080],[[66|1080]],[[2|206|70]],[],[480],,224,[117|0],[117|0],9,[2|206|70],[[2|206|70]],[480]
22410,[66|1555],[[66|1555]],[[2|206|90]],[],[692],,224,[117|0],[117|0],10,[2|206|90],[[2|206|90]],[692]
32101,[65|30],[[65|30]],[[2|206|45]],[],[120],,321,[117|0],[117|0],1,[2|206|45],[[2|206|45]],[120]
32102,[65|60],[[65|60]],[[2|206|55]],[],[240],,321,[117|0],[117|0],2,[2|206|55],[[2|206|55]],[240]
32103,[65|90],[[65|90]],[[2|206|60]],[],[360],,321,[117|0],[117|0],3,[2|206|60],[[2|206|60]],[360]
32104,[65|120],[[65|120]],[[2|206|65]],[],[480],,321,[117|0],[117|0],4,[2|206|65],[[2|206|65]],[480]
32105,[65|150],[[65|150]],[[2|206|70]],[],[600],,321,[117|0],[117|0],5,[2|206|70],[[2|206|70]],[600]
32106,[65|180],[[65|180]],[[2|206|75]],[],[720],,321,[117|0],[117|0],6,[2|206|75],[[2|206|75]],[720]
32107,[65|210],[[65|210]],[[2|206|80]],[],[840],,321,[117|0],[117|0],7,[2|206|80],[[2|206|80]],[840]
32108,[65|240],[[65|240]],[[2|206|90]],[],[960],,321,[117|0],[117|0],8,[2|206|90],[[2|206|90]],[960]
32109,[65|270],[[65|270]],[[2|206|135]],[],[1080],,321,[117|0],[117|0],9,[2|206|135],[[2|206|135]],[1080]
32110,[65|380],[[65|380]],[[2|206|180]],[],[1520],,321,[117|0],[117|0],10,[2|206|180],[[2|206|180]],[1520]
32111,[65|420],[[65|420]],[[2|206|135]],[],[1680],,321,[117|10],[117|10],11,[2|206|135],[[2|206|135]],[1680]
32112,[65|460],[[65|460]],[[2|206|135]],[],[1840],,321,[117|10],[117|10],12,[2|206|135],[[2|206|135]],[1840]
32113,[65|500],[[65|500]],[[2|206|155]],[],[2000],,321,[117|10],[117|10],13,[2|206|155],[[2|206|155]],[2000]
32114,[65|540],[[65|540]],[[2|206|155]],[],[2160],,321,[117|10],[117|10],14,[2|206|155],[[2|206|155]],[2160]
32115,[65|580],[[65|580]],[[2|206|180]],[],[2320],,321,[117|10],[117|10],15,[2|206|180],[[2|206|180]],[2320]
32116,[65|620],[[65|620]],[[2|206|180]],[],[2480],,321,[117|10],[117|10],16,[2|206|180],[[2|206|180]],[2480]
32117,[65|660],[[65|660]],[[2|206|220]],[],[2640],,321,[117|10],[117|10],17,[2|206|220],[[2|206|220]],[2640]
32118,[65|700],[[65|700]],[[2|206|220]],[],[2800],,321,[117|10],[117|10],18,[2|206|220],[[2|206|220]],[2800]
32119,[65|740],[[65|740]],[[2|206|265]],[],[2960],,321,[117|10],[117|10],19,[2|206|265],[[2|206|265]],[2960]
32120,[65|900],[[65|900]],[[2|206|355]],[],[3600],,321,[117|10],[117|10],20,[2|206|355],[[2|206|355]],[3600]
32201,[66|240],[[66|240]],[[2|206|45]],[],[107],,322,[117|0],[117|0],1,[2|206|45],[[2|206|45]],[107]
32202,[66|480],[[66|480]],[[2|206|55]],[],[214],,322,[117|0],[117|0],2,[2|206|55],[[2|206|55]],[214]
32203,[66|720],[[66|720]],[[2|206|60]],[],[320],,322,[117|0],[117|0],3,[2|206|60],[[2|206|60]],[320]
32204,[66|960],[[66|960]],[[2|206|65]],[],[427],,322,[117|0],[117|0],4,[2|206|65],[[2|206|65]],[427]
32205,[66|1200],[[66|1200]],[[2|206|70]],[],[534],,322,[117|0],[117|0],5,[2|206|70],[[2|206|70]],[534]
32206,[66|1440],[[66|1440]],[[2|206|75]],[],[640],,322,[117|0],[117|0],6,[2|206|75],[[2|206|75]],[640]
32207,[66|1680],[[66|1680]],[[2|206|80]],[],[747],,322,[117|0],[117|0],7,[2|206|80],[[2|206|80]],[747]
32208,[66|1920],[[66|1920]],[[2|206|90]],[],[854],,322,[117|0],[117|0],8,[2|206|90],[[2|206|90]],[854]
32209,[66|2160],[[66|2160]],[[2|206|135]],[],[960],,322,[117|0],[117|0],9,[2|206|135],[[2|206|135]],[960]
32210,[66|3105],[[66|3105]],[[2|206|180]],[],[1380],,322,[117|0],[117|0],10,[2|206|180],[[2|206|180]],[1380]
32211,[66|3460],[[66|3460]],[[2|206|135]],[],[1538],,322,[117|10],[117|10],11,[2|206|135],[[2|206|135]],[1538]
32212,[66|3815],[[66|3815]],[[2|206|135]],[],[1696],,322,[117|10],[117|10],12,[2|206|135],[[2|206|135]],[1696]
