id,attr,attrs,component,desc,fihtforce,name,num,strAttrs,suit_id
10102,[8|1000],{8:1000},-1,equipment_suit_desc_101_2,-1,equipment_suit_101,2,[8|1000],101
10104,[8|1000],{8:1000},10104,equipment_suit_desc_101_4,-1,equipment_suit_101,4,[8|1000],101
10202,[8|1000],{8:1000},-1,equipment_suit_desc_102_2,-1,equipment_suit_102,2,[8|1000],102
10204,[8|1000],{8:1000},10104,equipment_suit_desc_102_4,-1,equipment_suit_102,4,[8|1000],102
10302,[166|500],{166:500},-1,equipment_suit_desc_103_2,2000,equipment_suit_103,2,[166|500],103
10304,[166|500],{166:500},10104,equipment_suit_desc_103_4,6000,equipment_suit_103,4,[166|500],103
10402,[166|500],{166:500},-1,equipment_suit_desc_104_2,2500,equipment_suit_104,2,[166|500],104
10404,[166|500],{166:500},10204,equipment_suit_desc_104_4,7500,equipment_suit_104,4,[166|500],104
10502,[165|500],{165:500},-1,equipment_suit_desc_105_2,3000,equipment_suit_105,2,[165|500],105
10504,[165|500],{165:500},10304,equipment_suit_desc_105_4,9000,equipment_suit_105,4,[165|500],105
30102,[166|500],{166:500},-1,equipment_suit_desc_103_2,2000,equipment_suit_103,2,[166|500],301
30104,[166|500],{166:500},10104,equipment_suit_desc_103_4,6000,equipment_suit_103,4,[166|500],301
30202,[166|500],{166:500},-1,equipment_suit_desc_104_2,2500,equipment_suit_104,2,[166|500],302
30204,[166|500],{166:500},10204,equipment_suit_desc_104_4,7500,equipment_suit_104,4,[166|500],302
30302,[165|500],{165:500},-1,equipment_suit_desc_105_2,3000,equipment_suit_105,2,[165|500],303
30304,[165|500],{165:500},10304,equipment_suit_desc_105_4,9000,equipment_suit_105,4,[165|500],303
31102,[165|1000],{165:1000},-1,equipment_suit_desc_311_2,6000,equipment_suit_311,2,[165|1000],311
31104,[165|1000],{165:1000},10314,equipment_suit_desc_311_4,18000,equipment_suit_311,4,[165|1000],311
32102,[166|1000],{166:1000},-1,equipment_suit_desc_312_2,6000,equipment_suit_312,2,[166|1000],312
32104,[166|1000],{166:1000},10114,equipment_suit_desc_312_4,18000,equipment_suit_312,4,[166|1000],312
33102,[166|1000],{166:1000},-1,equipment_suit_desc_313_2,6000,equipment_suit_313,2,[166|1000],313
33104,[166|1000],{166:1000},10214,equipment_suit_desc_313_4,18000,equipment_suit_313,4,[166|1000],313
34102,[166|1000],{166:1000},-1,equipment_suit_desc_314_2,6000,equipment_suit_314,2,[166|1000],314
34104,[166|1000],{166:1000},10414,equipment_suit_desc_314_4,18000,equipment_suit_314,4,[166|1000],314
35102,[165|1000],{165:1000},-1,equipment_suit_desc_315_2,6000,equipment_suit_315,2,[165|1000],315
35104,[165|1000],{165:1000},10514,equipment_suit_desc_315_4,18000,equipment_suit_315,4,[165|1000],315
31902,[166|1000],{166:1000},-1,equipment_suit_desc_319_2,6000,equipment_suit_319,2,[166|1000],319
31904,[166|1000],{166:1000},10914,equipment_suit_desc_319_4,18000,equipment_suit_319,4,[166|1000],319
40202,[166|500],{166:500},-1,equipment_suit_desc_104_2,2500,equipment_suit_104,2,[166|500],402
40204,[166|500],{166:500},10204,equipment_suit_desc_104_4,7500,equipment_suit_104,4,[166|500],402
40302,[165|500],{165:500},-1,equipment_suit_desc_105_2,3000,equipment_suit_105,2,[165|500],403
40304,[165|500],{165:500},10304,equipment_suit_desc_105_4,9000,equipment_suit_105,4,[165|500],403
41902,[166|500],{166:500},-1,equipment_suit_desc_103_2,2000,equipment_suit_103,2,[166|500],419
41904,[166|500],{166:500},10104,equipment_suit_desc_103_4,6000,equipment_suit_103,4,[166|500],419
50202,[166|500],{166:500},-1,equipment_suit_desc_104_2,2500,equipment_suit_104,2,[166|500],502
50204,[166|500],{166:500},10204,equipment_suit_desc_104_4,7500,equipment_suit_104,4,[166|500],502
50302,[165|500],{165:500},-1,equipment_suit_desc_105_2,3000,equipment_suit_105,2,[165|500],503
50304,[165|500],{165:500},10304,equipment_suit_desc_105_4,9000,equipment_suit_105,4,[165|500],503
51902,[166|500],{166:500},-1,equipment_suit_desc_103_2,2000,equipment_suit_103,2,[166|500],519
51904,[166|500],{166:500},10104,equipment_suit_desc_103_4,6000,equipment_suit_103,4,[166|500],519
60202,[166|500],{166:500},-1,equipment_suit_desc_104_2,2500,equipment_suit_104,2,[166|500],602
60204,[166|500],{166:500},10204,equipment_suit_desc_104_4,7500,equipment_suit_104,4,[166|500],602
60302,[165|500],{165:500},-1,equipment_suit_desc_105_2,3000,equipment_suit_105,2,[165|500],603
60304,[165|500],{165:500},10304,equipment_suit_desc_105_4,9000,equipment_suit_105,4,[165|500],603
61902,[166|500],{166:500},-1,equipment_suit_desc_103_2,2000,equipment_suit_103,2,[166|500],619
61904,[166|500],{166:500},10104,equipment_suit_desc_103_4,6000,equipment_suit_103,4,[166|500],619
70202,[166|500],{166:500},-1,equipment_suit_desc_104_2,2500,equipment_suit_104,2,[166|500],702
70204,[166|500],{166:500},10204,equipment_suit_desc_104_4,7500,equipment_suit_104,4,[166|500],702
70302,[165|500],{165:500},-1,equipment_suit_desc_105_2,3000,equipment_suit_105,2,[165|500],703
70304,[165|500],{165:500},10304,equipment_suit_desc_105_4,9000,equipment_suit_105,4,[165|500],703
71902,[166|500],{166:500},-1,equipment_suit_desc_103_2,2000,equipment_suit_103,2,[166|500],719
71904,[166|500],{166:500},10104,equipment_suit_desc_103_4,6000,equipment_suit_103,4,[166|500],719
80202,[166|500],{166:500},-1,equipment_suit_desc_104_2,2500,equipment_suit_104,2,[166|500],802
80204,[166|500],{166:500},10204,equipment_suit_desc_104_4,7500,equipment_suit_104,4,[166|500],802
80302,[165|500],{165:500},-1,equipment_suit_desc_105_2,3000,equipment_suit_105,2,[165|500],803
80304,[165|500],{165:500},10304,equipment_suit_desc_105_4,9000,equipment_suit_105,4,[165|500],803
81902,[166|500],{166:500},-1,equipment_suit_desc_103_2,2000,equipment_suit_103,2,[166|500],819
81904,[166|500],{166:500},10104,equipment_suit_desc_103_4,6000,equipment_suit_103,4,[166|500],819
90202,[166|500],{166:500},-1,equipment_suit_desc_104_2,2500,equipment_suit_104,2,[166|500],902
90204,[166|500],{166:500},10204,equipment_suit_desc_104_4,7500,equipment_suit_104,4,[166|500],902
90302,[165|500],{165:500},-1,equipment_suit_desc_105_2,3000,equipment_suit_105,2,[165|500],903
90304,[165|500],{165:500},10304,equipment_suit_desc_105_4,9000,equipment_suit_105,4,[165|500],903
91902,[166|500],{166:500},-1,equipment_suit_desc_103_2,2000,equipment_suit_103,2,[166|500],919
91904,[166|500],{166:500},10104,equipment_suit_desc_103_4,6000,equipment_suit_103,4,[166|500],919
