id,exchange,group,reward,reward_autouse,reward_first,reward_first_autouse
1,407170001,1,407170011,407170031,407170001,407170021
2,407170002,1,407170012,407170032,407170002,407170022
3,407170003,1,407170013,407170033,407170003,407170023
4,407196001,2,407196011,407196031,407196001,407196021
5,407196002,2,407196012,407196032,407196002,407196022
6,407196003,2,407196013,407196033,407196003,407196023
7,408023001,3,408030111,408030131,408023001,408030121
8,408023002,3,408030112,408030132,408023002,408030122
9,408023003,3,408030113,408030133,408023003,408030123
10,408150001,4,408150011,408150031,408150001,408150021
11,408150002,4,408150012,408150032,408150002,408150022
12,408150003,4,408150013,408150033,408150003,408150023
13,409264701,5,409264611,409264631,409264601,409264621
14,409264702,5,409264612,409264632,409264602,409264622
15,409264703,5,409264613,409264633,409264603,409264623
