id,delay_day,group,info1,info2,info3,is_open,model,reward,reward_extra,reward_show,tab,tab_icon,tab_name
1,0,1,first_charge_name4,first_charge_desc1,,1,,4211,4212,4213,1,,gift_first_text1
4,0,2,first_charge_name1,first_charge_desc1,,1,,4201,4204,4201,1,,gift_first_text1
5,1,2,first_charge_name2,first_charge_desc2,,1,,4202,4205,4202,2,,gift_first_text2
6,2,2,first_charge_name3,first_charge_desc3,,1,,4203,4206,4203,3,,gift_first_text3
11,0,3,first_charge_name_chaozhi,first_charge_desc_chaozhi,,1,,4221,-1,4221,1,,gift_first_text1
12,1,3,first_charge_name_zhuangshi,first_charge_desc_zhuangshi,,1,,4222,-1,4222,2,,gift_first_text2
13,2,3,first_charge_name_zizhuang,first_charge_desc2,,1,,4223,-1,4223,3,,gift_first_text3
14,3,3,first_charge_name_tupo,first_charge_desc_tupo,,1,,4224,-1,4224,4,,gift_first_text12
15,4,3,first_charge_name_tupo,first_charge_desc_tupo,,1,,4225,-1,4225,5,,gift_first_text13
16,5,3,first_charge_name_zizhuang,first_charge_desc2,,1,,4226,-1,4226,6,,gift_first_text14
17,6,3,first_charge_name_chaozhi,first_charge_desc_chaozhi,,1,,4227,-1,4227,7,,gift_first_text15
18,0,1,first_charge_name1,first_charge_desc1,,1,,5211,5212,5213,1,,gift_first_text1
19,0,2,first_charge_name1,first_charge_desc1,,1,,11081001,11081001,11081001,1,,gift_first_text1
20,1,2,first_charge_name3,first_charge_desc3,,1,,11081002,11081002,11081002,2,,gift_first_text2
21,2,2,first_charge_name3,first_charge_desc3,,1,,11081003,11081003,11081003,3,,gift_first_text3
22,0,1,first_charge_name1,first_charge_desc1,,1,,11081004,11081004,11081004,1,,gift_first_text1
23,0,3,first_charge_name_chaozhi,first_charge_desc_chaozhi,,1,,11092801,-1,11092801,1,,gift_first_text1
24,1,3,first_charge_name_zhuangshi,first_charge_desc_zhuangshi,,1,,11092802,-1,11092802,2,,gift_first_text2
25,2,3,first_charge_name_zizhuang,first_charge_desc2,,1,,11092803,-1,11092803,3,,gift_first_text3
26,3,3,first_charge_name_tupo,first_charge_desc_tupo,,1,,11092804,-1,11092804,4,,gift_first_text12
27,4,3,first_charge_name_tupo,first_charge_desc_tupo,,1,,11092805,-1,11092805,5,,gift_first_text13
28,5,3,first_charge_name_zizhuang,first_charge_desc2,,1,,11092806,-1,11092806,6,,gift_first_text14
29,6,3,first_charge_name_chaozhi,first_charge_desc_chaozhi,,1,,11092807,-1,11092807,7,,gift_first_text15
30,0,3,first_charge_name3,first_charge_desc3,,1,,12130001,-1,12130001,1,,gift_first_text1
31,1,3,first_charge_name_31,first_charge_des_31,,1,,12130002,-1,12130002,2,,gift_first_text2
32,2,3,first_charge_name_32,first_charge_des_32,,1,,12130003,-1,12130003,3,,gift_first_text3
33,3,3,first_charge_name_33,first_charge_des_33,,1,,12130004,-1,12130004,4,,gift_first_text12
34,4,3,first_charge_name_34,first_charge_des_34,,1,,12130005,-1,12130005,5,,gift_first_text13
35,5,3,first_charge_name_35,first_charge_des_35,,1,,12130006,-1,12130006,6,,gift_first_text14
36,6,3,first_charge_name_36,first_charge_des_36,,1,,12130007,-1,12130007,7,,gift_first_text15
37,0,2,first_charge_name1,first_charge_desc1,,1,,404165011,404165011,404165011,1,,gift_first_text1
38,1,2,first_charge_name_zizhuang,first_charge_desc2,,1,,404165012,404165012,404165012,2,,gift_first_text2
39,2,2,first_charge_name3,first_charge_desc3,,1,,404165013,404165013,404165013,3,,gift_first_text3
40,0,2,first_charge_name1,first_charge_desc1,,1,,404165014,404165014,404165014,1,,gift_first_text1
41,1,2,first_charge_name_zizhuang,first_charge_desc2,,1,,404165012,404165012,404165012,2,,gift_first_text2
42,2,2,first_charge_name3,first_charge_desc3,,1,,404165013,404165013,404165013,3,,gift_first_text3
43,0,3,goods_name_10019,first_charge_desc43,,1,,409139101,-1,409139101,1,,gift_first_text1
44,1,3,goods_name_10019,first_charge_desc43,,1,,409139102,-1,409139102,2,,gift_first_text2
45,2,3,first_charge_name_chengzhuang,first_charge_desc2,,1,,409139103,-1,409139103,3,,gift_first_text3
46,3,3,goods_name_10028,first_charge_desc46,,1,,409139104,-1,409139104,4,,gift_first_text12
47,4,3,goods_name_10028,first_charge_desc46,,1,,409139105,-1,409139105,5,,gift_first_text13
48,5,3,goods_name_220005,goods_desc_220005,,1,,409139106,-1,409139106,6,,gift_first_text14
49,6,3,goods_name_407190000,exchange_desc_407180003,,1,,409139107,-1,409139107,7,,gift_first_text15
50,0,3,goods_name_201,goods_desc_201,,1,,409256001,-1,409256001,1,,gift_first_text1
51,1,3,goods_name_10019,first_charge_desc43,,1,,409256002,-1,409256002,2,,gift_first_text2
52,2,3,goods_name_201,goods_desc_201,,1,,409256003,-1,409256003,3,,gift_first_text3
53,3,3,first_charge_name_31,first_charge_name_32,,1,,409256004,-1,409256004,4,,gift_first_text12
54,4,3,skin_name_100,City_Skin_1,,1,,409256005,-1,409256005,5,,gift_first_text13
55,0,3,artifact_name_40002,artifact_desc_40002,,1,,409256101,-1,409256101,1,,gift_first_text1
56,1,3,goods_name_10028,first_charge_desc46,,1,,409256102,-1,409256102,2,,gift_first_text2
57,2,3,artifact_name_40002,artifact_desc_40002,,1,,409256103,-1,409256103,3,,gift_first_text3
58,3,3,goods_name_237,goods_desc_237,,1,,409256104,-1,409256104,4,,gift_first_text12
59,4,3,goods_name_408284001,goods_name_408284001,,1,,409256105,-1,409256105,5,,gift_first_text13
60,5,3,goods_name_238,goods_desc_238,,1,,409256106,-1,409256106,6,,gift_first_text14
61,6,3,goods_name_407190000,exchange_desc_407180003,,1,,409256107,-1,409256107,7,,gift_first_text15
62,0,3,goods_name_404100006,goods_name_404100006,,1,,409256201,-1,409256201,1,,gift_first_text1
63,1,3,goods_name_404100005,goods_desc_404100005,,1,,409256202,-1,409256202,2,,gift_first_text2
64,2,3,diy_update_tips10,diy_update_tips10,,1,,409256203,-1,409256203,3,,gift_first_text3
65,3,3,diy_update_tips10,diy_update_tips10,,1,,409256204,-1,409256204,4,,gift_first_text12
66,4,3,diy_update_tips10,diy_update_tips10,,1,,409256205,-1,409256205,5,,gift_first_text13
67,5,3,diy_update_tips10,diy_update_tips10,,1,,409256206,-1,409256206,6,,gift_first_text14
68,6,3,diy_update_tips10,diy_update_tips10,,1,,409256207,-1,409256207,7,,gift_first_text15
69,0,3,goods_name_2024513,exchange_desc_407220001,,1,,409256301,-1,409256301,1,,gift_first_text1
70,1,3,kingdomwar_building_function_desc_7,kingdomwar_building_function_desc_7,,1,,409256302,-1,409256302,2,,gift_first_text2
71,2,3,kingdomwar_building_function_desc_7,kingdomwar_building_function_desc_7,,1,,409256303,-1,409256303,3,,gift_first_text3
72,3,3,kingdomwar_building_function_desc_7,kingdomwar_building_function_desc_7,,1,,409256304,-1,409256304,4,,gift_first_text12
73,4,3,kingdomwar_building_function_desc_7,kingdomwar_building_function_desc_7,,1,,409256305,-1,409256305,5,,gift_first_text13
74,5,3,kingdomwar_building_function_desc_7,kingdomwar_building_function_desc_7,,1,,409256306,-1,409256306,6,,gift_first_text14
75,6,3,artifact_name_50001,artifact_type_desc1,,1,,409256307,-1,409256307,7,,gift_first_text15
76,0,3,skin_name_100,City_Skin_1,,1,,410119001,-1,410119001,1,,gift_first_text13
77,1,3,goods_name_10019,first_charge_desc43,,1,,410119002,-1,410119002,2,,gift_first_text2
78,2,3,goods_name_201,goods_desc_201,,1,,410119003,-1,410119003,3,,gift_first_text3
79,3,3,first_charge_name_31,first_charge_name_32,,1,,410119004,-1,410119004,4,,gift_first_text12
80,4,3,goods_name_201,goods_desc_201,,1,,410119005,-1,410119005,5,,gift_first_text1
81,0,3,skin_name_1001802,exchange_desc_sbglb,,1,,410176001,-1,410176001,1,,gift_first_text13
82,1,3,goods_name_201,goods_desc_201,,1,,410176002,-1,410176002,2,,gift_first_text2
83,2,3,artifact_name_40002,artifact_desc_40002,,1,,410176003,-1,410176003,3,,gift_first_text3
84,3,3,goods_name_201,goods_desc_201,,1,,410176004,-1,410176004,4,,gift_first_text12
85,4,3,first_charge_name_31,first_charge_name_32,,1,,410176005,-1,410176005,5,,gift_first_text1
86,0,3,skin_name_100,City_Skin_1,,1,,410176101,-1,410176101,1,,gift_first_text1
87,1,3,goods_name_10028,first_charge_desc46,,1,,410176102,-1,410176102,2,,gift_first_text2
88,2,3,artifact_name_40002,artifact_desc_40002,,1,,410176103,-1,410176103,3,,gift_first_text3
89,3,3,goods_name_237,goods_desc_237,,1,,410176104,-1,410176104,4,,gift_first_text12
90,4,3,goods_name_408284001,goods_name_408284001,,1,,410176105,-1,410176105,5,,gift_first_text13
91,5,3,goods_name_238,goods_desc_238,,1,,410176106,-1,410176106,6,,gift_first_text14
92,6,3,goods_name_407190000,exchange_desc_407180003,,1,,410176107,-1,410176107,7,,gift_first_text15
93,0,2,first_charge_name1,first_charge_desc1,,1,,410286001,410286001,410286001,1,,gift_first_text1
94,1,2,first_charge_name_zizhuang,first_charge_desc2,,1,,404165012,404165012,404165012,2,,gift_first_text2
95,2,2,first_charge_name3,first_charge_desc3,,1,,404165013,404165013,404165013,3,,gift_first_text3
96,0,2,first_charge_name1,first_charge_desc1,,1,,410286002,410286002,410286002,1,,gift_first_text1
97,1,2,first_charge_name_zizhuang,first_charge_desc2,,1,,404165012,404165012,404165012,2,,gift_first_text2
98,2,2,first_charge_name3,first_charge_desc3,,1,,404165013,404165013,404165013,3,,gift_first_text3
99,0,2,first_charge_name1,first_charge_desc1,,1,,410286001,410286001,410286001,1,,gift_first_text1
100,1,2,first_charge_name3,first_charge_desc3,,1,,411195001,411195001,411195001,2,,gift_first_text2
101,2,2,first_charge_name3,first_charge_desc3,,1,,404165013,404165013,404165013,3,,gift_first_text3
102,0,2,first_charge_name1,first_charge_desc1,,1,,410286002,410286002,410286002,1,,gift_first_text1
103,1,2,first_charge_name3,first_charge_desc3,,1,,411195001,411195001,411195001,2,,gift_first_text2
104,2,2,first_charge_name3,first_charge_desc3,,1,,404165013,404165013,404165013,3,,gift_first_text3
105,0,3,skin_name_1001802,exchange_desc_sbglb,,1,,411195101,411195101,411195101,1,,gift_first_text1
106,1,3,goods_name_201,goods_desc_201,,1,,411195102,411195102,411195102,2,,gift_first_text2
107,2,3,goods_name_10018,exchange_desc_castle,,1,,411195103,411195103,411195103,3,,gift_first_text3
108,3,3,goods_name_201,goods_desc_201,,1,,411195104,411195104,411195104,4,,gift_first_text12
109,4,3,skin_name_100,City_Skin_1,,1,,411195105,411195105,411195105,5,,gift_first_text13
110,0,3,artifact_name_40002,artifact_desc_40002,,1,,411195201,411195201,411195201,1,,gift_first_text1
111,1,3,goods_name_10028,exchange_desc_castle,,1,,411195202,411195202,411195202,2,,gift_first_text2
112,2,3,artifact_name_40002,artifact_desc_40002,,1,,411195203,411195203,411195203,3,,gift_first_text3
113,3,3,goods_name_237,goods_desc_237,,1,,411195204,411195204,411195204,4,,gift_first_text12
114,4,3,goods_name_408284001,goods_name_408284001,,1,,411195205,411195205,411195205,5,,gift_first_text13
115,5,3,goods_name_238,goods_desc_238,,1,,411195206,411195206,411195206,6,,gift_first_text14
116,6,3,goods_name_407190000,exchange_desc_407180003,,1,,411195207,411195207,411195207,7,,gift_first_text15
117,0,2,first_charge_name1,first_charge_desc1,,1,,411228002,411228002,411228002,1,,gift_first_text1
118,1,2,first_charge_name_zizhuang,first_charge_desc2,,1,,411228003,411228003,411228003,2,,gift_first_text2
119,2,2,first_charge_name3,first_charge_desc3,,1,,404165013,404165013,404165013,3,,gift_first_text3
120,0,2,first_charge_name1,first_charge_desc1,,1,,411228001,411228001,411228001,1,,gift_first_text1
121,1,2,first_charge_name_zizhuang,first_charge_desc2,,1,,411228003,411228003,411228003,2,,gift_first_text2
122,2,2,first_charge_name3,first_charge_desc3,,1,,404165013,404165013,404165013,3,,gift_first_text3
