id,apple,apple_cn,apple_vn,empty_exchange_id,googleplay,googleplay_vn,is_show,price,price_dollar,price_usd,Refund_diamonds,score,vip_point
10000,apple.topheroes.product_pack_6,apple.topheroes.cn.product_pack_6,apple.topheroes.vn.product_pack_6,131,gp.topheroes.product_6,gp.topheroes.vn.product_pack_6,1,6,USD$0.99,0.99,160,10,6
10001,apple.topheroes.product_pack_68,apple.topheroes.cn.product_pack_68,apple.topheroes.vn.product_pack_68,136,gp.topheroes.product_68,gp.topheroes.vn.product_pack_68,-1,68,USD$9.99,9.99,1600,100,68
101,apple.topheroes.product_pack_6,apple.topheroes.cn.product_pack_6,apple.topheroes.vn.product_pack_6,131,gp.topheroes.product_6,gp.topheroes.vn.product_pack_6,-1,6,USD$0.99,0.99,160,10,6
102,apple.topheroes.product_pack_30,apple.topheroes.cn.product_pack_30,apple.topheroes.vn.product_pack_30,134,gp.topheroes.product_30,gp.topheroes.vn.product_pack_30,1,30,USD$4.99,4.99,800,50,30
103,apple.topheroes.product_pack_68,apple.topheroes.cn.product_pack_68,apple.topheroes.vn.product_pack_68,136,gp.topheroes.product_68,gp.topheroes.vn.product_pack_68,1,68,USD$9.99,9.99,1600,100,68
104,apple.topheroes.product_pack_98,apple.topheroes.cn.product_pack_98,apple.topheroes.vn.product_pack_98,137,gp.topheroes.product_98,gp.topheroes.vn.product_pack_98,1,98,USD$14.99,14.99,2400,150,98
105,apple.topheroes.product_pack_128,apple.topheroes.cn.product_pack_128,apple.topheroes.vn.product_pack_128,138,gp.topheroes.product_128,gp.topheroes.vn.product_pack_128,1,128,USD$19.99,19.99,3200,200,128
106,apple.topheroes.product_pack_198_copy,apple.topheroes.cn.product_pack_198_copy,apple.topheroes.vn.product_pack_198_copy,139,gp.topheroes.product_198_backup,gp.topheroes.vn.product_pack_198_backup,-1,198,USD$29.99,29.99,4800,300,198
107,apple.topheroes.product_pack_328,apple.topheroes.cn.product_pack_328,apple.topheroes.vn.product_pack_328,140,gp.topheroes.product_328,gp.topheroes.vn.product_pack_328,1,328,USD$49.99,49.99,8000,500,328
108,apple.topheroes.product_pack_648,apple.topheroes.cn.product_pack_648,apple.topheroes.vn.product_pack_648,141,gp.topheroes.product_648,gp.topheroes.vn.product_pack_648,1,648,USD$99.99,99.99,16000,1000,648
201,apple.topheroes.product_pack_6,apple.topheroes.cn.product_pack_6,apple.topheroes.vn.product_pack_6,131,gp.topheroes.product_pack_6,gp.topheroes.vn.product_pack_6,-1,6,USD$0.99,0.99,160,10,6
202,apple.topheroes.product_pack_30,apple.topheroes.cn.product_pack_30,apple.topheroes.vn.product_pack_30,134,gp.topheroes.product_pack_30,gp.topheroes.vn.product_pack_30,-1,30,USD$4.99,4.99,800,50,30
203,apple.topheroes.product_pack_68,apple.topheroes.cn.product_pack_68,apple.topheroes.vn.product_pack_68,136,gp.topheroes.product_pack_68,gp.topheroes.vn.product_pack_68,-1,68,USD$9.99,9.99,1600,100,68
204,apple.topheroes.product_pack_98,apple.topheroes.cn.product_pack_98,apple.topheroes.vn.product_pack_98,137,gp.topheroes.product_pack_98,gp.topheroes.vn.product_pack_98,-1,98,USD$14.99,14.99,2400,150,98
205,apple.topheroes.product_pack_128,apple.topheroes.cn.product_pack_128,apple.topheroes.vn.product_pack_128,138,gp.topheroes.product_pack_128,gp.topheroes.vn.product_pack_128,-1,128,USD$19.99,19.99,3200,200,128
206,apple.topheroes.product_pack_198_copy,apple.topheroes.cn.product_pack_198_copy,apple.topheroes.vn.product_pack_198_copy,139,gp.topheroes.product_pack_198_copy,gp.topheroes.vn.product_pack_198_copy,-1,198,USD$29.99,29.99,4800,300,198
207,apple.topheroes.product_pack_328,apple.topheroes.cn.product_pack_328,apple.topheroes.vn.product_pack_328,140,gp.topheroes.product_pack_328,gp.topheroes.vn.product_pack_328,-1,328,USD$49.99,49.99,8000,500,328
208,apple.topheroes.product_pack_648,apple.topheroes.cn.product_pack_648,apple.topheroes.vn.product_pack_648,141,gp.topheroes.product_pack_648,gp.topheroes.vn.product_pack_648,-1,648,USD$99.99,99.99,16000,1000,648
301,apple.topheroes.product_pack_12,apple.topheroes.cn.product_pack_12,apple.topheroes.vn.product_pack_12,132,gp.topheroes.product_pack_12,gp.topheroes.vn.product_pack_12,-1,12,USD$1.99,1.99,320,20,12
302,apple.topheroes.product_pack_18,apple.topheroes.cn.product_pack_18,apple.topheroes.vn.product_pack_18,133,gp.topheroes.product_pack_18,gp.topheroes.vn.product_pack_18,-1,18,USD$2.99,2.99,480,30,18
303,apple.topheroes.product_pack_40,apple.topheroes.cn.product_pack_40,apple.topheroes.vn.product_pack_40,135,gp.topheroes.product_pack_40,gp.topheroes.vn.product_pack_40,-1,40,USD$5.99,5.99,960,60,40
304,apple.topheroes.product_pack_168,apple.topheroes.cn.product_pack_168,apple.topheroes.vn.product_pack_168,144,gp.topheroes.product_pack_168,gp.topheroes.vn.product_pack_168,-1,168,USD$24.99,24.99,4000,250,168
601,apple.topheroes.product_pack_3240,apple.topheroes.cn.product_pack_3240,apple.topheroes.vn.product_pack_3240,142,gp.topheroes.product_pack_3240,gp.topheroes.vn.product_pack_3240,-1,3240,USD$499.99,499.99,80000,5000,3240
602,apple.topheroes.product_pack_6480,apple.topheroes.cn.product_pack_6480,apple.topheroes.vn.product_pack_6480,143,gp.topheroes.product_pack_6480,gp.topheroes.vn.product_pack_6480,-1,6480,USD$999.99,999.99,160000,10000,6480
603,apple.topheroes.product_pack_46,apple.topheroes.cn.product_pack_46,apple.topheroes.vn.product_pack_46,145,gp.topheroes.product_pack_46,gp.topheroes.vn.product_pack_46,-1,46,USD$6.99,6.99,1120,70,46
401,apple.topheroes.product_pack_6,apple.topheroes.cn.product_pack_6,apple.topheroes.vn.product_pack_6,131,gp.topheroes.product_pack_6,gp.topheroes.vn.product_pack_6,-1,6,USD$0.99,0.99,160,-1,-1
402,apple.topheroes.product_pack_12,apple.topheroes.cn.product_pack_12,apple.topheroes.vn.product_pack_12,132,gp.topheroes.product_pack_12,gp.topheroes.vn.product_pack_12,-1,12,USD$1.99,1.99,320,-1,-1
403,apple.topheroes.product_pack_18,apple.topheroes.cn.product_pack_18,apple.topheroes.vn.product_pack_18,133,gp.topheroes.product_pack_18,gp.topheroes.vn.product_pack_18,-1,18,USD$2.99,2.99,480,-1,-1
404,apple.topheroes.product_pack_30,apple.topheroes.cn.product_pack_30,apple.topheroes.vn.product_pack_30,134,gp.topheroes.product_pack_30,gp.topheroes.vn.product_pack_30,-1,30,USD$4.99,4.99,800,-1,-1
405,apple.topheroes.product_pack_40,apple.topheroes.cn.product_pack_40,apple.topheroes.vn.product_pack_40,135,gp.topheroes.product_pack_40,gp.topheroes.vn.product_pack_40,-1,40,USD$5.99,5.99,960,-1,-1
406,apple.topheroes.product_pack_68,apple.topheroes.cn.product_pack_68,apple.topheroes.vn.product_pack_68,136,gp.topheroes.product_pack_68,gp.topheroes.vn.product_pack_68,-1,68,USD$9.99,9.99,1600,-1,-1
407,apple.topheroes.product_pack_98,apple.topheroes.cn.product_pack_98,apple.topheroes.vn.product_pack_98,137,gp.topheroes.product_pack_98,gp.topheroes.vn.product_pack_98,-1,98,USD$14.99,14.99,2400,-1,-1
408,apple.topheroes.product_pack_128,apple.topheroes.cn.product_pack_128,apple.topheroes.vn.product_pack_128,138,gp.topheroes.product_pack_128,gp.topheroes.vn.product_pack_128,-1,128,USD$19.99,19.99,3200,-1,-1
409,apple.topheroes.product_pack_198_copy,apple.topheroes.cn.product_pack_198_copy,apple.topheroes.vn.product_pack_198_copy,139,gp.topheroes.product_pack_198_copy,gp.topheroes.vn.product_pack_198_copy,-1,198,USD$29.99,29.99,4800,-1,-1
410,apple.topheroes.product_pack_328,apple.topheroes.cn.product_pack_328,apple.topheroes.vn.product_pack_328,140,gp.topheroes.product_pack_328,gp.topheroes.vn.product_pack_328,-1,328,USD$49.99,49.99,8000,-1,-1
411,apple.topheroes.product_pack_648,apple.topheroes.cn.product_pack_648,apple.topheroes.vn.product_pack_648,141,gp.topheroes.product_pack_648,gp.topheroes.vn.product_pack_648,-1,648,USD$99.99,99.99,16000,-1,-1
412,apple.topheroes.product_pack_3240,apple.topheroes.cn.product_pack_3240,apple.topheroes.vn.product_pack_3240,142,gp.topheroes.product_pack_3240,gp.topheroes.vn.product_pack_3240,-1,3240,USD$499.99,499.99,80000,-1,-1
413,apple.topheroes.product_pack_6480,apple.topheroes.cn.product_pack_6480,apple.topheroes.vn.product_pack_6480,143,gp.topheroes.product_pack_6480,gp.topheroes.vn.product_pack_6480,-1,6480,USD$999.99,999.99,160000,-1,-1
414,apple.topheroes.product_pack_46,apple.topheroes.cn.product_pack_46,apple.topheroes.vn.product_pack_46,145,gp.topheroes.product_pack_46,gp.topheroes.vn.product_pack_46,-1,46,USD$6.99,6.99,1120,-1,-1
421,apple.topheroes.product_pack_168,apple.topheroes.cn.product_pack_168,apple.topheroes.vn.product_pack_168,144,gp.topheroes.product_pack_168,gp.topheroes.vn.product_pack_168,-1,168,USD$24.99,24.99,4000,-1,-1
502,ap.topheroes.subs_30,gp.topheroes.cn.subs_30,ap.topheroes.vn.subs_30,134,gp.topheroes.subs_30,gp.topheroes.vn.subs_30,1,30,USD$4.99,4.99,800,50,30
