id,attribute,attrs,cost,costArr,exclusive_component,index,lv,power,skillArr
1810001,[3|170|4|4225|103|280|104|560],[[3|170]|[4|4225]|[103|280]|[104|560]],[2|11025|5],[[2|11025|5]],[1002514|1],181,1,3176,[[1002514|1]]
1810002,[3|340|4|8450|103|560|104|1130],[[3|340]|[4|8450]|[103|560]|[104|1130]],[2|11025|10],[[2|11025|10]],[1002514|1],181,2,6355,[[1002514|1]]
1810003,[3|505|4|12675|103|850|104|1690],[[3|505]|[4|12675]|[103|850]|[104|1690]],[2|11025|15],[[2|11025|15]],[1002514|1],181,3,9535,[[1002514|1]]
1810004,[3|675|4|16900|103|1130|104|2250],[[3|675]|[4|16900]|[103|1130]|[104|2250]],[2|11025|20],[[2|11025|20]],[1002514|1],181,4,12712,[[1002514|1]]
1810005,[3|895|4|22395|103|1490|104|2990],[[3|895]|[4|22395]|[103|1490]|[104|2990]],[2|11025|25],[[2|11025|25]],[1002514|2],181,5,16831,[[1002514|2]]
1810006,[3|1115|4|27885|103|1860|104|3720],[[3|1115]|[4|27885]|[103|1860]|[104|3720]],[2|11025|30],[[2|11025|30]],[1002514|2],181,6,20970,[[1002514|2]]
1810007,[3|1335|4|33380|103|2230|104|4450],[[3|1335]|[4|33380]|[103|2230]|[104|4450]],[2|11025|35],[[2|11025|35]],[1002514|2],181,7,25112,[[1002514|2]]
1810008,[3|1555|4|38875|103|2590|104|5180],[[3|1555]|[4|38875]|[103|2590]|[104|5180]],[2|11025|40],[[2|11025|40]],[1002514|2],181,8,29229,[[1002514|2]]
1810009,[3|1775|4|44365|103|2960|104|5920],[[3|1775]|[4|44365]|[103|2960]|[104|5920]],[2|11025|45],[[2|11025|45]],[1002514|2],181,9,33370,[[1002514|2]]
1810010,[3|2080|4|51970|103|3460|104|6930],[[3|2080]|[4|51970]|[103|3460]|[104|6930]],[2|11025|50],[[2|11025|50]],[1002514|3],181,10,39075,[[1002514|3]]
1810011,[3|2385|4|59575|103|3970|104|7940],[[3|2385]|[4|59575]|[103|3970]|[104|7940]],[2|11025|55],[[2|11025|55]],[1002514|3],181,11,44803,[[1002514|3]]
1810012,[3|2685|4|67185|103|4480|104|8960],[[3|2685]|[4|67185]|[103|4480]|[104|8960]],[2|11025|60],[[2|11025|60]],[1002514|3],181,12,50516,[[1002514|3]]
1810013,[3|2990|4|74790|103|4990|104|9970],[[3|2990]|[4|74790]|[103|4990]|[104|9970]],[2|11025|65],[[2|11025|65]],[1002514|3],181,13,56244,[[1002514|3]]
1810014,[3|3295|4|82395|103|5490|104|10990],[[3|3295]|[4|82395]|[103|5490]|[104|10990]],[2|11025|70],[[2|11025|70]],[1002514|3],181,14,61951,[[1002514|3]]
1810015,[3|3720|4|92960|103|6200|104|12390],[[3|3720]|[4|92960]|[103|6200]|[104|12390]],[2|11025|80],[[2|11025|80]],[1002514|4],181,15,69917,[[1002514|4]]
1810016,[3|4140|4|103520|103|6900|104|13800],[[3|4140]|[4|103520]|[103|6900]|[104|13800]],[2|11025|90],[[2|11025|90]],[1002514|4],181,16,77840,[[1002514|4]]
1810017,[3|4565|4|114085|103|7610|104|15210],[[3|4565]|[4|114085]|[103|7610]|[104|15210]],[2|11025|100],[[2|11025|100]],[1002514|4],181,17,85808,[[1002514|4]]
1810018,[3|4985|4|124650|103|8310|104|16620],[[3|4985]|[4|124650]|[103|8310]|[104|16620]],[2|11025|110],[[2|11025|110]],[1002514|4],181,18,93732,[[1002514|4]]
1810019,[3|5410|4|135210|103|9010|104|18030],[[3|5410]|[4|135210]|[103|9010]|[104|18030]],[2|11025|130],[[2|11025|130]],[1002514|4],181,19,101675,[[1002514|4]]
1810020,[3|6000|4|150000|103|10000|104|20000],[[3|6000]|[4|150000]|[103|10000]|[104|20000]],[2|11025|150],[[2|11025|150]],[1002514|5],181,20,112800,[[1002514|5]]
1000801,[3|170|4|4225|103|280|104|560],[[3|170]|[4|4225]|[103|280]|[104|560]],[2|11008|5],[[2|11008|5]],[1000814|1],10008,1,3176,[[1000814|1]]
1000802,[3|340|4|8450|103|560|104|1130],[[3|340]|[4|8450]|[103|560]|[104|1130]],[2|11008|10],[[2|11008|10]],[1000814|1],10008,2,6355,[[1000814|1]]
1000803,[3|505|4|12675|103|850|104|1690],[[3|505]|[4|12675]|[103|850]|[104|1690]],[2|11008|15],[[2|11008|15]],[1000814|1],10008,3,9535,[[1000814|1]]
1000804,[3|675|4|16900|103|1130|104|2250],[[3|675]|[4|16900]|[103|1130]|[104|2250]],[2|11008|20],[[2|11008|20]],[1000814|1],10008,4,12712,[[1000814|1]]
1000805,[3|895|4|22395|103|1490|104|2990],[[3|895]|[4|22395]|[103|1490]|[104|2990]],[2|11008|25],[[2|11008|25]],[1000814|2],10008,5,16831,[[1000814|2]]
1000806,[3|1115|4|27885|103|1860|104|3720],[[3|1115]|[4|27885]|[103|1860]|[104|3720]],[2|11008|30],[[2|11008|30]],[1000814|2],10008,6,20970,[[1000814|2]]
1000807,[3|1335|4|33380|103|2230|104|4450],[[3|1335]|[4|33380]|[103|2230]|[104|4450]],[2|11008|35],[[2|11008|35]],[1000814|2],10008,7,25112,[[1000814|2]]
1000808,[3|1555|4|38875|103|2590|104|5180],[[3|1555]|[4|38875]|[103|2590]|[104|5180]],[2|11008|40],[[2|11008|40]],[1000814|2],10008,8,29229,[[1000814|2]]
1000809,[3|1775|4|44365|103|2960|104|5920],[[3|1775]|[4|44365]|[103|2960]|[104|5920]],[2|11008|45],[[2|11008|45]],[1000814|2],10008,9,33370,[[1000814|2]]
1000810,[3|2080|4|51970|103|3460|104|6930],[[3|2080]|[4|51970]|[103|3460]|[104|6930]],[2|11008|50],[[2|11008|50]],[1000814|3],10008,10,39075,[[1000814|3]]
