id,atk_death_rate,atk_injury_rate,atk_serious_injury_rate,blackscreen,client_fight_type,def_death_rate,def_injury_rate,def_serious_injury_rate,fight_type_name,ispvp,not_effective_type,pet_adventure,switch_death_attr,switch_death_stage,switch_pvpdamage,switch_troop_carry,switch_troop_morale,switch_water,switch_water_build_max
0,0,0,0,1,2,0,0,0,没有战损的pve,-1,1,-1,-1,-1,-1,-1,-1,1,-1
101,0,9700,300,-1,2,10000,0,0,野怪pve,-1,-1,-1,-1,1,-1,-1,-1,1,-1
102,0,9700,300,-1,2,10000,0,0,资源田pve,-1,-1,-1,-1,1,-1,-1,-1,1,-1
103,0,9500,500,-1,2,10000,0,0,集结gve（战锤|公会）,-1,-1,-1,-1,1,-1,-1,-1,1,-1
104,0,9000,1000,-1,3,10000,0,0,遗迹pve,-1,-1,-1,-1,1,-1,-1,-1,1,-1
105,0,0,0,-1,2,0,0,0,冒险火盆战斗pve,-1,-1,-1,-1,-1,-1,-1,-1,1,1
201,2000,5000,3000,-1,1,0,7000,3000,打田pvp,1,-1,-1,1,-1,-1,1,1,1,-1
202,2000,8000,0,-1,1,0,7000,3000,竞技场pvp,1,1,-1,1,-1,1,-1,1,-1,-1
203,0,7000,3000,-1,1,0,7000,3000,遗迹pvp（遗迹|王城）,1,-1,-1,-1,-1,-1,1,1,1,-1
204,0,10000,0,-1,2,10000,0,0,世界Boss,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
205,2000,5000,3000,-1,1,0,7000,3000,掠夺PVP（掠夺）,1,-1,-1,1,-1,1,1,1,1,-1
206,2000,5000,3000,-1,1,0,7000,3000,打田盖pvp,1,-1,-1,1,-1,-1,1,1,1,-1
207,2000,8000,0,-1,1,0,7000,3000,商队掠夺pvp,1,1,-1,1,-1,1,-1,1,-1,-1
208,0,8000,2000,-1,2,10000,0,0,沙虫入侵活动（pve）,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
209,2000,8000,0,-1,1,0,7000,3000,商队掠夺pvp,1,1,-1,1,-1,1,-1,1,-1,-1
210,2000,8000,0,-1,1,0,7000,3000,3v3天梯赛pvp,1,1,-1,1,-1,1,-1,1,-1,-1
211,2000,8000,0,-1,1,0,7000,3000,巅峰积分赛pvp,1,1,-1,1,-1,1,-1,1,-1,-1
212,2000,8000,0,-1,1,0,7000,3000,玩家间切磋pvp,1,1,-1,1,-1,1,-1,1,-1,-1
213,2000,5000,3000,-1,1,0,7000,3000,掠夺pvp（赛事）,1,-1,-1,1,-1,1,1,1,1,-1
214,0,7000,3000,-1,1,0,7000,3000,遗迹pvp（赛事）,1,-1,-1,-1,-1,-1,1,1,1,-1
215,0,7000,3000,-1,1,0,7000,3000,kvk王城pvp（赛事）,1,-1,-1,-1,-1,1,1,1,-1,-1
216,0,7000,3000,-1,1,0,7000,3000,赛事职业建筑（赛事）,1,-1,-1,-1,-1,-1,1,1,-1,-1
217,2000,5000,3000,-1,1,0,7000,3000,打田pvp（赛事）,1,-1,-1,1,-1,-1,1,1,1,-1
301,0,0,0,-1,-1,0,0,0,冒险战斗（pve）,-1,-1,1,-1,-1,-1,-1,-1,1,-1
