id,idle_reward,idle_reward_2,idle_time,idle_time_2,idle_time_max
1,1020001,-1,60,600,480
2,1020002,-1,60,600,480
3,1020003,-1,60,600,480
4,1020004,-1,60,600,480
5,1020005,-1,60,600,480
6,1020006,-1,60,600,480
7,1020007,-1,60,600,480
8,1020008,-1,60,600,480
9,1020009,-1,60,600,480
10,1020010,-1,60,600,480
11,1020011,-1,60,600,480
12,1020012,-1,60,600,480
13,1020013,-1,60,600,480
14,1020014,-1,60,600,480
15,1020015,-1,60,600,480
16,1020016,1023016,60,600,480
17,1020017,1023017,60,600,480
18,1020018,1023018,60,600,480
19,1020019,1023019,60,600,480
20,1020020,1023020,60,600,480
21,1020021,1023021,60,600,480
22,1020022,1023022,60,600,480
23,1020023,1023023,60,600,480
24,1020024,1023024,60,600,480
25,1020025,1023025,60,600,480
26,1020026,1023026,60,600,480
27,1020027,1023027,60,600,480
28,1020028,1023028,60,600,480
29,1020029,1023029,60,600,480
30,1020030,1023030,60,600,480
31,1020031,1023031,60,600,480
32,1020032,1023032,60,600,480
33,1020033,1023033,60,600,480
34,1020034,1023034,60,600,480
35,1020035,1023035,60,600,480
36,1020036,1023036,60,600,480
37,1020037,1023037,60,600,480
38,1020038,1023038,60,600,480
39,1020039,1023039,60,600,480
40,1020040,1023040,60,600,480
41,1020041,1023041,60,600,480
42,1020042,1023042,60,600,480
43,1020043,1023043,60,600,480
44,1020044,1023044,60,600,480
45,1020045,1023045,60,600,480
46,1020046,1023046,60,600,480
47,1020047,1023047,60,600,480
48,1020048,1023048,60,600,480
49,1020049,1023049,60,600,480
50,1020050,1023050,60,600,480
51,1020051,1023051,60,600,480
52,1020052,1023052,60,600,480
53,1020053,1023053,60,600,480
54,1020054,1023054,60,600,480
55,1020055,1023055,60,600,480
56,1020056,1023056,60,600,480
57,1020057,1023057,60,600,480
58,1020058,1023058,60,600,480
59,1020059,1023059,60,600,480
60,1020060,1023060,60,600,480
61,1020061,1023061,60,600,480
62,1020062,1023062,60,600,480
63,1020063,1023063,60,600,480
64,1020064,1023064,60,600,480
65,1020065,1023065,60,600,480
66,1020066,1023066,60,600,480
67,1020067,1023067,60,600,480
68,1020068,1023068,60,600,480
69,1020069,1023069,60,600,480
70,1020070,1023070,60,600,480
71,1020071,1023071,60,600,480
72,1020072,1023072,60,600,480
73,1020073,1023073,60,600,480
74,1020074,1023074,60,600,480
75,1020075,1023075,60,600,480
76,1020076,1023076,60,600,480
77,1020077,1023077,60,600,480
78,1020078,1023078,60,600,480
79,1020079,1023079,60,600,480
80,1020080,1023080,60,600,480
81,1020081,1023081,60,600,480
82,1020082,1023082,60,600,480
83,1020083,1023083,60,600,480
84,1020084,1023084,60,600,480
85,1020085,1023085,60,600,480
86,1020086,1023086,60,600,480
87,1020087,1023087,60,600,480
88,1020088,1023088,60,600,480
89,1020089,1023089,60,600,480
90,1020090,1023090,60,600,480
91,1020091,1023091,60,600,480
92,1020092,1023092,60,600,480
93,1020093,1023093,60,600,480
94,1020094,1023094,60,600,480
95,1020095,1023095,60,600,480
96,1020096,1023096,60,600,480
97,1020097,1023097,60,600,480
98,1020098,1023098,60,600,480
99,1020099,1023099,60,600,480
100,1020100,1023100,60,600,480
101,1020101,1023101,60,600,480
102,1020102,1023102,60,600,480
103,1020103,1023103,60,600,480
104,1020104,1023104,60,600,480
105,1020105,1023105,60,600,480
