id,_condition,btn_fly_target,camera_target,condition_type,func_open_param,giftid,icon,icon_show_condition,isActivity,isShowinCity,isShowUp,isStatic,loginOpen,name,openPanel,order,recommend_type,show_condition,tips,value
101,ServerConditionVO,,,2,2|10005,-1,sys_3,,-1,-1,-1,-1,0,function_name_101,show_small_map,-1,-1,-1,function_tips_30,10005
102,ServerConditionVO,,,1,1|1,-1,sys_2,,-1,-1,-1,-1,0,function_name_102,show_bag_panel,-1,-1,-1,function_tips_30,1
103,ServerConditionVO,,,2,2|101,-1,sys_1,,-1,-1,-1,-1,0,function_name_103,show_hero_main_panel,-1,-1,-1,function_tips_30,101
104,ServerConditionVO,,,6,6|116,-1,sys_4,,-1,-1,-1,-1,0,function_name_104,,-1,-1,-1,function_tips_30,116
105,ServerConditionVO,,,2,2|10001,-1,sys_8,,-1,-1,-1,-1,0,function_name_105,,-1,-1,-1,function_tips_30,10001
106,ServerConditionVO,,[1|144],6,6|144,-1,sys_5,[7|117|6],-1,-1,-1,-1,0,function_name_106,,-1,-1,-1,function_tips_106,144
107,ServerConditionVO,,,2,2|10201,-1,sys_6,,-1,-1,-1,-1,0,function_name_107,,-1,-1,-1,function_tips_30,10201
108,ServerConditionVO,,,2,2|20021,-1,sys_7,,-1,-1,-1,-1,0,function_name_108,,-1,-1,-1,function_tips_30,20021
109,ServerConditionVO,,,-1,,-1,,,-1,-1,-1,-1,-1,,,-1,-1,-1,,-1
110,ServerConditionVO,,,6,6|114,-1,func_14,,-1,-1,-1,-1,0,function_name_110,show_forge_panel,-1,-1,-1,function_tips_30,114
111,ServerConditionVO,,,6,6|117,-1,func_1,,-1,-1,-1,-1,0,function_name_111,,-1,-1,-1,function_tips_30,117
112,ServerConditionVO,,,6,6|119,-1,func_15,,-1,-1,-1,-1,0,function_name_112,,-1,-1,-1,function_tips_30,119
113,ServerConditionVO,,,6,6|113,-1,func_20,,-1,-1,-1,-1,0,function_name_113,,-1,-1,-1,function_tips_30,113
114,ServerConditionVO,,,7,7|118|1,-1,pvp_rukou_jifensai,,-1,-1,1,-1,-1,function_name_114,,-1,-1,-1,,118
115,ServerConditionVO,,,6,6|115,-1,func_16,,-1,-1,-1,-1,-1,function_name_115,show_new_gacha_panel,-1,-1,-1,,115
116,ServerConditionVO,,,6,6|144,-1,sys_12,,-1,-1,1,-1,-1,function_name_116,ShowBountyQuestPanel,-1,-1,-1,,144
117,ServerConditionVO,,,2,2|20021,-1,,,-1,-1,-1,-1,0,,,-1,-1,-1,function_tips_30,20021
118,ServerConditionVO,,,6,6|155,-1,func_16,,-1,-1,-1,-1,-1,function_name_118,show_new_gacha_panel,-1,-1,-1,,155
119,ServerConditionVO,,,7,7|171|1,-1,func_119,,-1,-1,-1,-1,0,function_name_119,SHOW_H_T_FURNACE_PANEL,-1,-1,-1,function_tips_30,171
201,ServerConditionVO,,,1,1|1,-1,Activity_9,,-1,-1,-1,-1,0,function_name_201,show_mail_info_panel,-1,-1,-1,function_tips_30,1
202,ServerConditionVO,,,1,1|5,1,Activity_13,,1,-1,-1,-1,0,function_name_202,ShowFirstRechargePanel,2,-1,-1,function_tips_30,5
203,ServerConditionVO,,,1,1|6,0,Activity_2,,-1,-1,-1,-1,0,function_name_203,show_discord_panel,-1,-1,-1,function_tips_30,6
204,ServerConditionVO,,,1,1|999,-1,Activity_3,,-1,-1,-1,-1,0,function_name_204,show_announcement_panel,-1,-1,-1,function_tips_30,999
205,ServerConditionVO,,,1,1|1,-1,Activity_8,,-1,-1,-1,-1,0,function_name_205,show_setting_panel,-1,-1,-1,function_tips_30,1
206,ServerConditionVO,,,10,10|1,-1,Activity_7,,1,-1,1,-1,0,function_name_206,show_seven_day,5,-1,-1,function_tips_30,1
207,ServerConditionVO,,,1,1|10,-1,Activity_10,,1,-1,-1,-1,0,function_name_207,show_shop_panel,4,-1,-1,function_tips_30,10
208,ServerConditionVO,,,1,1|20,-1,Activity_5,,-1,-1,-1,-1,0,function_name_208,show_achievement_panel,-1,-1,-1,function_tips_30,20
