id,condition,des,freeReward,group,icon,payReward,payReward2,reward1,reward2,reward3,type
101,1,ui_adventurefund_des,[999|2|10],1,,[999|2|3000],[],[999|2|10],[999|2|3000],,1
102,5,ui_adventurefund_des,[999|2|20],1,,[999|2|500],[2|203034|3],[999|2|20],[999|2|500],[2|203034|3],1
103,10,ui_adventurefund_des,[999|2|20],1,,[999|2|500],[],[999|2|20],[999|2|500],,1
104,15,ui_adventurefund_des,[999|2|50],1,,[999|2|500],[2|203034|3],[999|2|50],[999|2|500],[2|203034|3],1
105,20,ui_adventurefund_des,[999|2|50],1,,[999|2|2000],[],[999|2|50],[999|2|2000],,1
106,25,ui_adventurefund_des,[999|2|50],1,,[999|2|500],[2|203034|3],[999|2|50],[999|2|500],[2|203034|3],1
107,30,ui_adventurefund_des,[999|2|50],1,,[999|2|500],[],[999|2|50],[999|2|500],,1
108,35,ui_adventurefund_des,[999|2|50],1,,[999|2|500],[2|203034|3],[999|2|50],[999|2|500],[2|203034|3],1
109,40,ui_adventurefund_des,[999|2|50],1,,[999|2|500],[],[999|2|50],[999|2|500],,1
110,45,ui_adventurefund_des,[999|2|50],1,,[999|2|500],[2|203034|3],[999|2|50],[999|2|500],[2|203034|3],1
111,50,ui_adventurefund_des,[999|2|50],1,,[999|2|3000],[],[999|2|50],[999|2|3000],,1
112,55,ui_adventurefund_des,[999|2|100],1,,[999|2|500],[2|203034|3],[999|2|100],[999|2|500],[2|203034|3],1
113,60,ui_adventurefund_des,[999|2|100],1,,[999|2|500],[],[999|2|100],[999|2|500],,1
114,65,ui_adventurefund_des,[999|2|100],1,,[999|2|500],[2|203034|6],[999|2|100],[999|2|500],[2|203034|6],1
115,70,ui_adventurefund_des,[999|2|100],1,,[999|2|500],[],[999|2|100],[999|2|500],,1
116,80,ui_adventurefund_des,[999|2|100],1,,[999|2|500],[2|203034|6],[999|2|100],[999|2|500],[2|203034|6],1
117,90,ui_adventurefund_des,[999|2|100],1,,[999|2|500],[],[999|2|100],[999|2|500],,1
118,100,ui_adventurefund_des,[999|2|100],1,,[999|2|5000],[2|203034|6],[999|2|100],[999|2|5000],[2|203034|6],1
201,117|1,ui_cityfund_des,[999|2|100],2,,[6|20004|1],[],[999|2|100],[6|20004|1],,2
202,117|2,ui_cityfund_des,[2|206104|10],2,,[2|206104|20],[2|206204|20],[2|206104|10],[2|206104|20],[2|206204|20],2
203,117|3,ui_cityfund_des,[2|206204|10],2,,[2|206104|20],[2|206204|20],[2|206204|10],[2|206104|20],[2|206204|20],2
204,128|4,ui_cityfund_des,[2|200402|5],2,,[2|200402|20],[2|200402|20],[2|200402|5],[2|200402|20],[2|200402|20],2
205,117|5,ui_cityfund_des,[2|206204|10],2,,[2|130008|28],[999|6|300],[2|206204|10],[2|130008|28],[999|6|300],2
206,117|6,ui_cityfund_des,[2|200402|5],2,,[2|130008|28],[999|6|300],[2|200402|5],[2|130008|28],[999|6|300],2
207,117|7,ui_cityfund_des,[2|206104|20],2,,[999|6|300],[999|6|200],[2|206104|20],[999|6|300],[999|6|200],2
208,139|8,ui_cityfund_des,[2|200402|5],2,,[2|130008|70],[999|6|300],[2|200402|5],[2|130008|70],[999|6|300],2
