id,gacha_id,gacha_level,need_gacha_exp
1,2,1,20
2,2,2,30
3,2,3,50
4,2,4,50
5,2,5,50
6,2,6,50
7,2,7,50
8,2,8,100
9,2,9,100
10,2,10,200
11,2,11,200
12,2,12,200
13,2,13,300
14,2,14,300
15,2,15,300
16,2,16,500
17,3,1,20
18,3,2,30
19,3,3,50
20,3,4,100
21,3,5,100
22,3,6,100
23,3,7,100
24,3,8,200
25,3,9,300
26,3,10,200
27,3,11,300
28,3,12,200
29,3,13,300
30,3,14,200
31,3,15,300
32,3,16,500
33,3,17,500
34,3,18,500
35,4,1,10
36,4,2,10
37,4,3,20
38,4,4,20
39,4,5,40
40,4,6,100
41,4,7,200
42,4,8,300
43,4,9,300
44,4,10,300
45,4,11,300
46,4,12,300
47,4,13,300
48,4,14,300
49,4,15,500
50,4,16,500
51,4,17,500
52,4,18,500
53,4,19,500
54,4,20,500
