id,group,hero,hero_day_need,hero_need,hero_star_need,need_building_level,need_gacha_level,type,weight
10001,1003,10001,-1,-1,,,-1,1,1000
10002,1003,10002,-1,-1,,,-1,1,1000
10003,1002,10003,-1,-1,,,-1,1,1000
10004,1002,10004,-1,-1,,,-1,1,1000
10005,1002,10005,-1,-1,,,-1,1,1000
10006,1003,10006,-1,-1,,,-1,1,1000
10007,1003,10007,-1,-1,,,-1,1,1000
10008,1001,10008,-1,10008,,[115|24],10,1,1000
10009,1003,10009,-1,-1,,,-1,1,1000
10010,1003,10010,-1,-1,,,-1,1,1000
10011,1002,10011,-1,-1,,,-1,1,1000
10012,1001,10012,4,10012,,,-1,1,1000
10013,1002,10013,-1,-1,,,-1,1,1000
10014,1002,10014,-1,-1,,,-1,1,1000
10015,1002,10015,-1,-1,,,-1,1,1000
10016,1002,10016,-1,-1,,,-1,1,1000
10017,1001,10017,-1,10017,,[115|3],1,1,1000
10018,1001,10018,-1,10018,,[115|9],5,1,1000
10019,1001,10019,-1,10019,,[115|6],-1,1,1000
10020,1001,10020,-1,10020,,,6,1,1000
10021,1001,10021,-1,-1,,,-1,1,1000
10022,1001,10022,-1,-1,,,-1,1,1000
10023,1001,10023,-1,10023,,[115|28],9,1,1000
10024,1001,10024,-1,10024,,[115|26],8,1,1000
10025,1001,10025,-1,10025,,[115|18],2,1,1000
10026,1001,10026,-1,10026,,[115|15],1,1,1000
10027,1001,10027,-1,10027,,[115|32],11,1,1000
10028,1001,10028,-1,10028,,[115|34],3,1,1000
10029,1001,10029,-1,-1,,,-1,1,0
10030,1001,10030,-1,-1,,,-1,1,1000
10031,1001,10031,-1,10031,,[115|38],14,1,1000
10032,1001,10032,-1,-1,[10032|8],,-1,1,1000
10033,1001,10033,-1,-1,,,-1,1,0
10034,1001,10034,-1,10034,,[115|12],12,1,1000
10035,1001,10035,-1,10035,,[115|30],4,1,1000
10036,1001,10036,-1,10036,,[115|36],13,1,1000
10037,1001,10037,-1,-1,,,-1,1,0
10038,1001,10038,-1,10038,,[115|40],15,1,1000
10039,1001,10039,-1,-1,,,-1,1,0
10040,1001,10040,-1,10040,,,-1,1,1000
10041,1001,10041,-1,-1,,,-1,1,0
10042,1001,10042,-1,-1,,,-1,1,0
20001,2003,10001,-1,-1,,,-1,1,1000
20002,2003,10002,-1,-1,,,-1,1,1000
20003,2005,10003,-1,-1,,,-1,1,250
20004,2005,10004,-1,-1,,,-1,1,250
20005,2005,10005,-1,-1,,,-1,1,250
20006,2003,10006,-1,-1,,,-1,1,1000
20007,2003,10007,-1,-1,,,-1,1,1000
20008,2001,10008,-1,10008,,,10,1,1000
20009,2003,10009,-1,-1,,,-1,1,1000
20010,2003,10010,-1,-1,,,-1,1,1000
20011,2005,10011,-1,-1,,,-1,1,250
20012,2001,10012,4,10012,,,-1,1,1000
20013,2005,10013,-1,-1,,,-1,1,250
20014,2005,10014,-1,-1,,,-1,1,250
20015,2005,10015,-1,-1,,,-1,1,250
20016,2005,10016,-1,-1,,,-1,1,250
20017,2001,10017,-1,10017,,,1,1,1000
