id,num,poor_type,rate,reward_id,server_open_day,type
3032001,1,1,263,10001,0,1
3032002,1,1,263,10002,0,1
3032003,1,1,263,10006,0,1
3032004,1,1,263,10007,0,1
3032005,1,1,263,10009,0,1
3032006,1,1,263,10010,0,1
3032007,1,1,34,10003,0,1
3032008,1,1,34,10004,0,1
3032009,1,1,34,10005,0,1
3032010,1,1,34,10011,0,1
3032011,1,1,34,10013,0,1
3032012,1,1,34,10014,0,1
3032013,1,1,34,10015,0,1
3032014,1,1,34,10016,0,1
3032015,1,1,100,10018,0,1
3032016,1,1,787,10001,0,2
3032017,1,1,787,10002,0,2
3032018,1,1,787,10006,0,2
3032019,1,1,787,10007,0,2
3032020,1,1,787,10009,0,2
3032021,1,1,787,10010,0,2
3032022,1,1,102,10003,0,2
3032023,1,1,102,10004,0,2
3032024,1,1,102,10005,0,2
3032025,1,1,102,10011,0,2
3032026,1,1,102,10013,0,2
3032027,1,1,102,10014,0,2
3032028,1,1,102,10015,0,2
3032029,1,1,102,10016,0,2
3032030,1,1,200,10018,0,2
3032031,20,1,525,250,0,2
3032032,200,1,68,250,0,2
3032033,1,1,533,206001,0,2
3032034,1,1,68,206004,0,2
3032035,10,1,525,206,0,2
3032036,20,1,525,206,0,2
3032037,100,1,68,206,0,2
4032001,1,2,800,130001,0,4
4032002,1,2,800,130002,0,4
4032003,1,2,800,130003,0,4
4032004,1,2,500,140001,0,4
4032005,1,2,500,140002,0,4
4032006,1,2,500,140003,0,4
4032007,1,2,500,140004,0,4
4032008,1,2,500,140005,0,4
4032009,1,2,500,140006,0,4
4032010,1,2,500,140007,0,4
4032011,1,2,100,150001,0,4
4032018,20,2,900,250,0,2
4032019,100,2,400,250,0,2
4032020,100,2,900,237,0,2
4032021,1000,2,400,237,0,2
4032022,1,2,200,238,0,2
4032023,20,2,900,206,0,2
4032024,100,2,300,206,0,2
