id,gacha,icon,name,weight
1001,1,dc_title_3,gacha_preview_group_3,100
1002,1,dc_title_2,gacha_preview_group_2,2475
1003,1,dc_title_1,gacha_preview_group_1,7425
2001,2,dc_title_3,gacha_preview_group_3,279
2002,2,dc_title_2,gacha_preview_group_2,2222
2003,2,dc_title_1,gacha_preview_group_1,4444
2004,2,dc_title_2,gacha_preview_group_0,3055
3001,3,dc_title_3,gacha_preview_group_3,279
3002,3,dc_title_2,gacha_preview_group_2,2222
3003,3,dc_title_1,gacha_preview_group_1,4444
3004,3,dc_title_2,gacha_preview_group_0,3055
4001,4,dc_title_3,gacha_preview_group_3,300
4002,4,dc_title_2,gacha_preview_group_2,1090
4003,4,dc_title_1,gacha_preview_group_1,6300
4004,4,dc_title_2,gacha_preview_group_0,2310
10001,100,dc_title_3,UI_Common_Tips_016,-1
10002,100,dc_title_2,UI_Common_Tips_015,2222
10003,100,dc_title_1,UI_Common_Tips_014,3333
10004,100,dc_title_2,gacha_preview_group_0,4445
20001,200,dc_title_3,UI_Common_Tips_016,-1
20002,200,dc_title_2,UI_Common_Tips_015,2222
20003,200,dc_title_1,UI_Common_Tips_014,3333
20004,200,dc_title_2,gacha_preview_group_0,4445
