id,be_sure,condition_param,condition_type,draw_weight,level_max,level_min,need_building_level,need_gacha_level,open_server_day_need,pool_id,pool_times_max,pool_times_min,pool_weight,quality,reward,times_min
10101,-1,,-1,1000,999,1,,-1,-1,101,99999,0,1000,3,4101,1
10102,-1,,-1,1000,999,1,,-1,-1,101,99999,0,1000,3,4102,1
10103,-1,,-1,1000,999,1,,-1,-1,101,99999,0,1000,3,4106,1
10104,-1,,-1,1000,999,1,,-1,-1,101,99999,0,1000,3,4107,1
10105,-1,,-1,1000,999,1,,-1,-1,101,99999,0,1000,3,4109,1
10106,-1,,-1,1000,999,1,,-1,-1,101,99999,0,1000,3,4110,1
10201,1,10003,1,600,999,1,,-1,-1,102,99999,0,1000,4,4103,1
10202,1,,-1,600,999,1,,-1,-1,102,99999,0,1000,4,4104,1
10203,1,,-1,600,999,1,,-1,-1,102,99999,0,1000,4,4105,1
10204,1,,-1,600,999,1,,-1,-1,102,99999,0,1000,4,4111,1
10205,1,,-1,600,999,999,,-1,-1,102,99999,0,1000,4,4112,1
10206,1,,-1,600,999,1,,-1,-1,102,99999,0,1000,4,4113,1
10207,1,,-1,600,999,1,,-1,-1,102,99999,0,1000,4,4114,1
10208,1,,-1,600,999,1,,-1,-1,102,99999,0,1000,4,4115,1
10209,1,,-1,600,999,1,,-1,-1,102,99999,0,1000,4,4116,1
10301,2,10008,1,100,999,999,115|24,-1,-1,103,99999,0,1000,5,4108,1
10351,2,10008,2,100,999,999,115|24,-1,-1,103,99999,0,1000,5,4108,1
10302,2,10020,2,100,999,999,,-1,-1,103,99999,0,1000,5,4120,1
10352,2,10020,1,100,999,999,,-1,-1,103,99999,0,1000,5,4120,1
10303,2,,-1,100,999,999,115|28,-1,-1,103,99999,0,1000,5,4123,1
10304,2,10024,2,100,999,999,115|26,-1,-1,103,99999,0,1000,5,4124,1
10354,2,10024,1,100,999,999,115|26,-1,-1,103,99999,0,1000,5,4124,1
10305,2,10025,2,100,999,999,115|18,-1,-1,103,99999,0,1000,5,4125,1
10355,2,10025,1,100,999,999,115|18,-1,-1,103,99999,0,1000,5,4125,1
10306,2,10027,2,100,999,999,115|32,-1,-1,103,99999,0,1000,5,4127,1
10356,2,10027,1,100,999,999,115|32,-1,-1,103,99999,0,1000,5,4127,1
10307,2,,-1,100,999,999,,-1,-1,103,99999,0,1000,5,4129,1
10308,2,,-1,100,999,999,115|1,-1,-1,103,99999,0,1000,5,4130,1
10309,2,,-1,100,999,999,115|9,-1,-1,103,99999,0,1000,5,4118,1
10310,2,,-1,100,999,999,115|3,-1,-1,103,99999,0,1000,5,4117,1
10311,2,10021,1,100,999,999,115|1,-1,-1,103,99999,0,1000,5,4121,1
10361,2,10021,2,100,999,999,115|1,-1,-1,103,99999,0,1000,5,4121,1
10312,2,10022,1,100,999,999,115|1,-1,-1,103,99999,0,1000,5,4122,1
10362,2,10022,2,100,999,999,115|1,-1,-1,103,99999,0,1000,5,4122,1
10313,2,10026,1,100,999,999,115|15,-1,-1,103,99999,0,1000,5,4126,1
10363,2,10026,2,100,999,999,115|15,-1,-1,103,99999,0,1000,5,4126,1
10314,2,10031,1,100,999,999,115|38,-1,-1,103,99999,0,1000,5,4131,1
10364,2,10031,2,100,999,999,115|38,-1,-1,103,99999,0,1000,5,4131,1
10315,2,,-1,100,999,999,115|6,-1,-1,103,99999,0,1000,5,4119,1
10412,2,10012,1,100,999,1,,-1,4,104,99999,0,1000,5,4112,1
10408,2,10008,1,100,999,1,115|24,10,-1,104,99999,0,1000,5,4108,1
10417,2,,-1,100,999,1,115|3,-1,-1,104,99999,0,1000,5,4117,1
10418,2,10018,1,100,999,1,115|9,5,-1,104,99999,0,1000,5,4118,1
10419,2,10019,1,100,999,1,115|6,-1,-1,104,99999,0,1000,5,4119,1
10420,2,10020,1,100,999,1,,6,-1,104,99999,0,1000,5,4120,1
10421,2,,-1,100,999,1,115|1,-1,-1,104,99999,0,1000,5,4121,1
10422,2,,-1,100,999,1,115|1,-1,-1,104,99999,0,1000,5,4122,1
10423,2,10023,1,100,999,1,115|28,9,-1,104,99999,0,1000,5,4123,1
10424,2,10024,1,100,999,1,115|26,8,-1,104,99999,0,1000,5,4124,1
10425,2,10025,1,100,999,1,115|18,2,-1,104,99999,0,1000,5,4125,1
10426,2,10026,1,100,999,1,115|15,1,-1,104,99999,0,1000,5,4126,1
10427,2,10027,1,100,999,1,115|32,11,-1,104,99999,0,1000,5,4127,1
10428,2,10028,1,100,999,1,115|34,3,-1,104,99999,0,1000,5,4128,1
10429,2,10029,1,100,999,999,,-1,-1,104,99999,99999,1000,5,4129,1
10430,2,,-1,100,999,1,115|1,-1,-1,104,99999,0,1000,5,4130,1
10431,2,10031,1,100,999,1,115|38,14,-1,104,99999,0,1000,5,4131,1
10432,2,15032|8,3,100,999,1,,-1,-1,104,99999,0,1000,5,4132,1
10433,2,,-1,100,999,999,,-1,-1,104,99999,99999,1000,5,4133,1
10434,2,10034,1,100,999,1,115|12,12,-1,104,99999,0,1000,5,4134,1
10435,2,10035,1,100,999,1,115|30,4,-1,104,99999,0,1000,5,4135,1
10436,2,10036,1,100,999,1,115|36,13,-1,104,99999,0,1000,5,4136,1
10437,2,,-1,100,999,999,,-1,-1,104,99999,99999,1000,5,4137,1
10438,2,10038,1,100,999,1,115|40,15,-1,104,99999,0,1000,5,4138,1
10440,2,10040,1,100,999,1,,-1,-1,104,99999,0,1000,5,4140,1
20101,-1,,-1,1000,999,1,,-1,-1,201,99999,0,1000,3,4101,2
20102,-1,,-1,1000,999,1,,-1,-1,201,99999,0,1000,3,4102,2
20103,-1,,-1,1000,999,1,,-1,-1,201,99999,0,1000,3,4106,2
20104,-1,,-1,1000,999,1,,-1,-1,201,99999,0,1000,3,4107,2
20105,-1,,-1,1000,999,1,,-1,-1,201,99999,0,1000,3,4109,2
20106,-1,,-1,1000,999,1,,-1,-1,201,99999,0,1000,3,4110,2
20201,1,,-1,100,999,1,,-1,-1,202,99999,0,1000,4,4104,1
204001,2,,-1,100,999,1,115|1,-1,-1,204,0,0,1000,5,4122,1
204002,2,,-1,100,999,1,115|1,-1,-1,204,1,1,1000,5,4130,1
204003,2,,-1,100,999,1,115|1,-1,-1,204,2,2,1000,5,4122,1
204004,2,,-1,100,999,1,115|1,-1,-1,204,3,3,1000,5,4121,1
204005,2,,-1,100,999,1,115|1,-1,-1,204,4,4,1000,5,4130,1
204006,2,,-1,100,999,1,115|1,-1,-1,204,5,5,1000,5,4121,1
204007,2,,-1,100,999,1,115|1,-1,-1,204,6,6,1000,5,4122,1
204008,2,,-1,100,999,1,115|9,-1,-1,204,7,7,1000,5,4118,1
204009,2,,-1,100,999,1,115|1,-1,-1,204,8,8,1000,5,4130,1
204010,2,,-1,100,999,1,115|1,-1,-1,204,9,9,1000,5,4121,1
204011,2,,-1,100,999,1,115|12,-1,-1,204,10,10,1000,5,4134,1
204012,2,,-1,100,999,1,115|9,-1,-1,204,11,11,1000,5,4118,1
204013,2,,-1,100,999,1,115|12,-1,-1,204,12,12,1000,5,4134,1
20412,2,10012,1,100,999,1,,-1,4,204,99999,13,1000,5,4112,1
20408,2,10008,1,100,999,1,115|24,-1,-1,204,99999,13,1000,5,4108,1
20417,2,,-1,100,999,1,115|3,-1,-1,204,99999,13,1000,5,4117,1
20418,2,10018,1,100,999,1,115|9,-1,-1,204,99999,13,1000,5,4118,1
20419,2,10019,1,100,999,1,115|6,-1,-1,204,99999,13,1000,5,4119,1
20420,2,10020,1,100,999,1,,-1,-1,204,99999,13,1000,5,4120,1
20421,2,,-1,100,999,1,115|1,-1,-1,204,99999,13,1000,5,4121,1
20422,2,,-1,100,999,1,115|1,-1,-1,204,99999,13,1000,5,4122,1
20423,2,10023,1,100,999,1,115|28,-1,-1,204,99999,13,1000,5,4123,1
20424,2,10024,1,100,999,1,115|26,-1,-1,204,99999,13,1000,5,4124,1
20425,2,10025,1,100,999,1,115|18,-1,-1,204,99999,13,1000,5,4125,1
20426,2,10026,1,100,999,1,115|15,-1,-1,204,99999,13,1000,5,4126,1
20427,2,10027,1,100,999,1,115|32,-1,-1,204,99999,13,1000,5,4127,1
20428,2,10028,1,100,999,1,115|34,-1,-1,204,99999,13,1000,5,4128,1
20429,2,10029,1,100,999,1,,-1,-1,204,99999,13,1000,5,4129,1
20430,2,,-1,100,999,1,115|1,-1,-1,204,99999,13,1000,5,4130,1
20431,2,10031,1,100,999,1,115|38,-1,-1,204,99999,13,1000,5,4131,1
20432,2,15032|8,3,100,999,1,,-1,-1,204,99999,13,1000,5,4132,1
20433,2,,-1,100,999,999,,-1,-1,204,99999,13,1000,5,4133,1
20434,2,10034,1,100,999,1,115|12,-1,-1,204,99999,13,1000,5,4134,1
20435,2,10035,1,100,999,1,115|30,-1,-1,204,99999,13,1000,5,4135,1
20436,2,10036,1,100,999,1,115|36,-1,-1,204,99999,13,1000,5,4136,1
20437,2,,-1,100,999,999,,-1,-1,204,99999,13,1000,5,4137,1
20438,2,10038,1,100,999,1,115|40,-1,-1,204,99999,13,1000,5,4138,1
20440,2,10040,1,100,999,1,,-1,-1,204,99999,13,1000,5,4140,1
30101,-1,,-1,1000,999,1,,-1,-1,301,99999,0,1000,3,4101,1
30102,-1,,-1,1000,999,1,,-1,-1,301,99999,0,1000,3,4102,1
30103,-1,,-1,1000,999,1,,-1,-1,301,99999,0,1000,3,4106,1
30104,-1,,-1,1000,999,1,,-1,-1,301,99999,0,1000,3,4107,1
30105,-1,,-1,1000,999,1,,-1,-1,301,99999,0,1000,3,4109,1
30106,-1,,-1,1000,999,1,,-1,-1,301,99999,0,1000,3,4110,1
30201,1,10003,1,600,999,1,,-1,-1,302,99999,0,1000,4,4103,1
30202,1,,-1,600,999,1,,-1,-1,302,99999,0,1000,4,4104,1
30203,1,,-1,600,999,1,,-1,-1,302,99999,0,1000,4,4105,1
