id,flash,group,Mr_big,power,quality,reward_id,reward_show,take_turns,times
1,1,1,1,40,5,409121001,-1,1,1
2,-1,1,-1,80,2,409121002,-1,1,2
3,-1,1,-1,40,4,409121003,-1,1,1
4,-1,1,-1,50,3,409121004,-1,1,2
5,-1,1,-1,40,2,409121005,-1,1,2
6,-1,1,-1,20,3,409121006,-1,1,1
7,-1,1,-1,50,4,409121007,-1,1,1
8,1,1,1,20,5,409121101,-1,2,1
9,1,1,1,20,5,409121102,-1,2,1
10,-1,1,-1,80,2,409121103,-1,2,5
11,-1,1,-1,40,4,409121104,-1,2,4
12,-1,1,-1,50,3,409121105,-1,2,4
13,-1,1,-1,40,2,409121106,-1,2,2
14,-1,1,-1,20,3,409121107,-1,2,1
15,-1,1,-1,50,4,409121108,-1,2,2
16,1,1,1,20,5,409121201,-1,3,1
17,1,1,1,20,5,409121202,-1,3,1
18,-1,1,-1,80,2,409121203,-1,3,10
19,-1,1,-1,40,4,409121204,-1,3,10
20,-1,1,-1,50,3,409121205,-1,3,6
21,-1,1,-1,40,2,409121206,-1,3,5
22,-1,1,-1,20,3,409121207,-1,3,2
23,-1,1,-1,50,4,409121208,-1,3,5
24,1,1,1,20,5,409121301,-1,4,1
25,1,1,1,20,5,409121302,-1,4,1
26,-1,1,-1,80,2,409121303,-1,4,10
27,-1,1,-1,40,4,409121304,-1,4,10
28,-1,1,-1,50,3,409121305,-1,4,6
29,-1,1,-1,40,2,409121306,-1,4,5
30,-1,1,-1,20,3,409121307,-1,4,2
31,-1,1,-1,50,4,409121308,-1,4,5
32,1,1,1,20,5,409121401,-1,5,1
33,1,1,1,20,5,409121402,-1,5,1
34,1,1,1,20,5,409121403,-1,5,1
35,-1,1,-1,40,4,409121404,-1,5,5
36,-1,1,-1,80,2,409121405,-1,5,20
37,-1,1,-1,40,4,409121406,-1,5,10
38,-1,1,-1,50,3,409121407,-1,5,5
39,-1,1,-1,40,2,409121408,-1,5,5
40,-1,1,-1,20,3,409121409,-1,5,2
41,-1,1,-1,50,4,409121410,-1,5,10
42,1,1,1,20,5,409121401,-1,6,1
43,1,1,1,20,5,409121402,-1,6,1
44,1,1,1,20,5,409121403,-1,6,1
45,-1,1,-1,40,4,409121404,-1,6,5
46,-1,1,-1,80,2,409121405,-1,6,20
47,-1,1,-1,40,4,409121406,-1,6,10
48,-1,1,-1,50,3,409121407,-1,6,5
49,-1,1,-1,40,2,409121408,-1,6,5
50,-1,1,-1,20,3,409121409,-1,6,2
51,-1,1,-1,50,4,409121410,-1,6,10
52,1,1,1,20,5,409121401,-1,7,1
53,1,1,1,20,5,409121402,-1,7,1
54,1,1,1,20,5,409121403,-1,7,1
55,-1,1,-1,40,4,409121404,-1,7,5
56,-1,1,-1,80,2,409121405,-1,7,20
57,-1,1,-1,40,4,409121406,-1,7,10
58,-1,1,-1,50,3,409121407,-1,7,5
59,-1,1,-1,40,2,409121408,-1,7,5
60,-1,1,-1,20,3,409121409,-1,7,2
61,-1,1,-1,50,4,409121410,-1,7,10
62,1,1,1,20,5,409121401,-1,8,1
63,1,1,1,20,5,409121402,-1,8,1
64,1,1,1,20,5,409121403,-1,8,1
65,-1,1,-1,40,4,409121404,-1,8,5
66,-1,1,-1,80,2,409121405,-1,8,20
67,-1,1,-1,40,4,409121406,-1,8,10
68,-1,1,-1,50,3,409121407,-1,8,5
69,-1,1,-1,40,2,409121408,-1,8,5
70,-1,1,-1,20,3,409121409,-1,8,2
71,-1,1,-1,50,4,409121410,-1,8,10
72,1,1,1,20,5,409121401,-1,9,1
73,1,1,1,20,5,409121402,-1,9,1
74,1,1,1,20,5,409121403,-1,9,1
75,-1,1,-1,40,4,409121404,-1,9,5
76,-1,1,-1,80,2,409121405,-1,9,20
77,-1,1,-1,40,4,409121406,-1,9,10
78,-1,1,-1,50,3,409121407,-1,9,5
79,-1,1,-1,40,2,409121408,-1,9,5
80,-1,1,-1,20,3,409121409,-1,9,2
81,-1,1,-1,50,4,409121410,-1,9,10
82,1,1,1,20,5,409121701,-1,10,1
83,1,1,1,20,5,409121702,-1,10,1
84,1,1,1,20,5,409121703,-1,10,1
85,-1,1,-1,40,4,409121704,-1,10,5
86,-1,1,-1,80,2,409121705,-1,10,20
87,-1,1,-1,40,4,409121706,-1,10,10
88,-1,1,-1,50,3,409121707,-1,10,5
