id,AED,AUD,BRL,CAD,CHF,CNY,EUR,GBP,HKD,IDR,INR,JPY,KRW,MXN,MYR,PHP,PLN,price,RUB,SAR,SEK,SGD,THB,TWD,USD,VND,ZAR
10000,3.49,1.49,4.9,1.39,1,6,0.99,0.89,8,15000,89,150,1300,19,4.9,49,3.99,6,99,3.99,10,1.48,35,30,0.99,25000,19.99
10001,36.99,14.99,49.9,13.99,10,68,9.99,8.99,78,155000,829,1450,13000,189,44.9,549,39.99,68,799,37.99,99,14.98,349,310,9.99,229000,189.99
101,3.49,1.49,4.9,1.39,1,6,0.99,0.89,8,15000,89,150,1300,19,4.9,49,3.99,6,99,3.99,10,1.48,35,30,0.99,25000,19.99
102,17.99,7.99,24.9,6.99,5,30,4.99,4.49,38,77000,399,700,6500,89,23.9,279,19.99,30,399,18.99,50,6.98,179,160,4.99,119000,95.99
103,36.99,14.99,49.9,13.99,10,68,9.99,8.99,78,155000,829,1450,13000,189,44.9,549,39.99,68,799,37.99,99,14.98,349,310,9.99,229000,189.99
104,54.99,22.99,79.9,20.99,15,98,14.99,13.99,118,230000,1299,2200,20000,279,69.9,799,59.99,98,1190,59.99,159,21.98,549,470,14.99,329000,299.99
105,74.99,30.99,99.9,27.99,20,128,19.99,17.99,158,310000,1699,2900,26000,369,94.9,1090,79.99,128,1590,74.99,219,28.98,729,620,19.99,449000,379.99
106,114.99,47.99,149.9,39.99,30,198,29.99,26.99,238,465000,2499,4200,39000,549,144.9,1590,119.99,198,2390,119.99,319,43.98,1090,990,29.99,699000,599.99
107,184.99,79.99,249.9,69.99,50,328,49.99,45.99,388,775000,4100,7000,66000,899,239.9,2750,199.99,328,3990,199.99,549,68.98,1800,1590,49.99,1199000,999.99
108,369.99,149.99,499.9,139.99,100,648,99.99,89.99,788,1549000,8200,14500,132000,1799,469.9,5550,399.99,648,7990,399.99,1095,139.98,3600,3190,99.99,2399000,1999.99
201,3.49,1.49,4.9,1.39,1,6,0.99,0.89,8,15000,89,150,1300,19,4.9,49,3.99,6,99,3.99,10,1.48,35,30,0.99,25000,19.99
202,17.99,7.99,24.9,6.99,5,30,4.99,4.49,38,77000,399,700,6500,89,23.9,279,19.99,30,399,18.99,50,6.98,179,160,4.99,119000,95.99
203,36.99,14.99,49.9,13.99,10,68,9.99,8.99,78,155000,829,1450,13000,189,44.9,549,39.99,68,799,37.99,99,14.98,349,310,9.99,229000,189.99
204,54.99,22.99,79.9,20.99,15,98,14.99,13.99,118,230000,1299,2200,20000,279,69.9,799,59.99,98,1190,59.99,159,21.98,549,470,14.99,329000,299.99
205,74.99,30.99,99.9,27.99,20,128,19.99,17.99,158,310000,1699,2900,26000,369,94.9,1090,79.99,128,1590,74.99,219,28.98,729,620,19.99,449000,379.99
206,114.99,47.99,149.9,39.99,30,198,29.99,26.99,238,465000,2499,4200,39000,549,144.9,1590,119.99,198,2390,119.99,319,43.98,1090,990,29.99,699000,599.99
