id,mediatorRootPath,showMask,arrow_Pos,highlight_Pos,highlight_Size,key_Pos,step_arrow_seat,step_arrow_type,step_get,step_get_value,step_highlight_seat,step_highlight_size,step_highlight_type,step_key,step_key_seat,step_mask,step_passmark,step_request,step_request_value,step_time,stepConditionList,stepConditionParamList,ui_root_path
10010,,false,"(0.0, 0.0)","(0.0, 0.0)",[],"(0.0, 0.0)",,4,,,,,1,,,0,-1,1,UIContainer/UILayer/MainUI/Top/TaskArea/Btn_uncomplete/Icon,-1,,,
20010,,false,"(0.0, 0.0)","(0.0, 0.0)",[],"(0.0, 0.0)",,3,,,,,1,,,-1,-1,1,UIContainer/UILayer/MainUI/Bot/Function_BotR/Entra_Hero/Hero_Ani/HeroBtn,-1,,,
30010,,false,"(0.0, 0.0)","(0.0, 0.0)",[],"(0.0, 0.0)",,-1,,,,,-1,,,-1,-1,12,27,-1,,,
40010,,true,"(0.0, 0.0)","(0.0, 0.0)",[],"(0.0, 0.0)",,3,,,,,-1,,,1,-1,1,UIContainer/UILayer/MainUI/Bot/Function_BotR/Entra_Hero/Hero_Ani/HeroBtn,-1,,,
100,,false,"(0.0, 0.0)","(0.0, 0.0)",[],"(0.0, 0.0)",,-1,,,,,-1,,,-1,-1,12,105,-1,,,
101,,false,"(0.0, 0.0)","(0.0, 0.0)",[],"(0.0, 0.0)",,-1,,,,,-1,,,-1,1,13,dragon_around,-1,,,
102,,false,"(0.0, 0.0)","(0.0, 0.0)",[],"(0.0, 0.0)",,-1,,,,,-1,,,-1,-1,12,107,-1,,,
300,,false,"(0.0, 0.0)","(0.0, 0.0)",[],"(0.0, 0.0)",,-1,,,,,-1,,,-1,1,12,108,-1,,,
301,,false,"(0.0, 0.0)","(0.0, 0.0)",[],"(0.0, 0.0)",,-1,,,,,-1,,,-1,-1,13,"camera_dialog,17_106",-1,,,
302,,false,"(0.0, 0.0)","(0.0, 0.0)",[],"(0.0, 0.0)",,-1,,,,,-1,,,-1,1,12,104,-1,,,
400,,false,"(0.0, 0.0)","(0.0, 0.0)",[],"(0.0, 0.0)",,4,,,,,1,,,-1,-1,1,UIContainer/UILayer/MainUI/Bot/FunctionTaskLayout/Function_BotL/Entra_BuildingList/HeroBtn,-1,,,
401,,false,"(0.0, 0.0)","(0.0, 0.0)",[],"(0.0, 0.0)",,4,,,,,1,,,-1,-1,1,UIContainer/PopLayer/BuildingListPanel(Clone)/Window/Scroll View/Viewport/Content/0,-1,,,
200001,,false,"(0.0, 0.0)","(0.0, 0.0)",[],"(0.0, 0.0)",,4,,,,,1,,,-1,-1,3,145,-1,,,
200002,,false,"(0.0, 0.0)","(0.0, 0.0)",[],"(0.0, 0.0)",,4,,,,,1,,,-1,-1,14,145|function,-1,,,
200003,,false,"(0.0, 0.0)","(0.0, 0.0)",[],"(0.0, 0.0)",,-1,,,,,-1,,,-1,-1,12,200,-1,,,
