id,guidebook_points,reward_id
1,5,61011
2,30,61012
3,55,61013
4,80,61014
5,105,61011
6,130,61012
7,155,61013
8,180,61014
9,205,61011
10,230,61012
11,255,61013
12,280,61014
13,305,61011
14,330,61012
15,355,61013
16,380,61014
17,405,61011
18,430,61012
19,455,61013
20,480,61014
21,505,61011
22,530,61012
23,555,61013
24,580,61014
25,605,61011
26,630,61012
27,655,61013
28,680,61014
29,705,61011
30,730,61012
31,755,61013
32,780,61014
33,805,61011
34,830,61012
35,855,61013
36,880,61014
37,905,61011
38,930,61012
39,955,61013
40,980,61014
41,1005,61011
42,1030,61012
43,1055,61013
44,1080,61014
45,1105,61011
46,1130,61012
47,1155,61013
48,1180,61014
49,1205,61011
50,1230,61012
51,1255,61013
52,1280,61014
53,1305,61011
54,1330,61012
55,1355,61013
56,1380,61014
57,1405,61011
58,1430,61012
59,1455,61013
60,1480,61014
61,1580,61021
62,1680,61022
63,1780,61023
64,1880,61024
65,1980,61021
66,2080,61022
67,2180,61023
68,2280,61024
69,2380,61021
70,2480,61022
71,2580,61023
72,2680,61024
73,2780,61021
74,2880,61022
75,2980,61023
76,3080,61024
77,3180,61021
78,3280,61022
79,3380,61023
80,3480,61024
81,3580,61021
82,3680,61022
83,3780,61023
84,3880,61024
85,3980,61021
86,4080,61022
87,4180,61023
88,4280,61024
89,4380,61021
90,4480,61022
91,4630,61033
92,4780,61034
93,4930,61031
94,5080,61032
95,5230,61033
96,5380,61034
97,5530,61031
98,5680,61032
99,5830,61033
100,5980,61034
101,6130,61031
102,6280,61032
103,6430,61033
104,6580,61034
105,6730,61031
106,6880,61032
107,7030,61033
108,7180,61034
109,7330,61031
110,7480,61032
111,7630,61033
112,7780,61034
113,7930,61031
114,8080,61032
115,8230,61033
116,8380,61034
117,8530,61031
118,8680,61032
119,8830,61033
120,8980,61034
121,9180,61043
122,9380,61044
123,9580,61041
124,9780,61042
125,9980,61043
126,10180,61044
127,10380,61041
128,10580,61042
129,10780,61043
130,10980,61044
131,11180,61041
132,11380,61042
133,11580,61043
134,11780,61044
135,11980,61041
136,12180,61042
137,12380,61043
138,12580,61044
139,12780,61041
140,12980,61042
141,13180,61043
142,13380,61044
143,13580,61041
144,13780,61042
145,13980,61043
146,14180,61044
147,14380,61041
148,14580,61042
149,14780,61043
150,14980,61044
151,15180,61041
152,15380,61042
153,15580,61043
154,15780,61044
155,15980,61041
156,16180,61042
157,16380,61043
158,16580,61044
159,16780,61041
160,16980,61042
161,17180,61043
