id,battle_icon,bounty_point,build_desc,build_prefab,build_type,buildArea,building_image,coordinate_x,coordinate_y,desc,effect,effect_icon,enemy,first_condition,first_occupied_alliance,first_occupied_personal,force_capacity,fortree_small_icon,gvg_type,height,index,last_time,ligeance_height,ligeance_width,name,note,offset,pointType,prefab,scorePerson,scoreTeam,size,socre_alliance,socre_personal,thumbnail_pos,width,x,y,zoom_icon
1001101,icon_building_battlefield_6,0,,,9,MapArea,banner_bubble_Battlefield_6,31,65,gvg_buid_desc001,2|4,,-1,300,100,100,-1,icon_mini_battlefield6,1,2,0,20,8,8,gvg_building001,联盟哨站(上),,-1,gvg_building001,150,150,150,25,25,,2,31,65,icon_mini_battlefield6
1001102,icon_building_battlefield_4,0,,,9,MapArea,banner_bubble_Battlefield_4,55,69,gvg_buid_desc002,1|1022|5000,,-1,300,40,40,-1,icon_mini_battlefield4,1,2,1,20,8,8,gvg_building002,妖精之泉(上),,-1,gvg_building002,60,60,150,10,10,,2,55,69,icon_mini_battlefield4
1001103,icon_building_battlefield_5,0,,,9,MapArea,banner_bubble_Battlefield_5,98,66,gvg_buid_desc003,2|4,,-1,300,100,100,-1,icon_mini_battlefield5,1,2,2,20,8,8,gvg_building003,部落堡垒(上),,-1,gvg_building003,150,150,150,25,25,,2,98,66,icon_mini_battlefield5
1001104,icon_building_battlefield_7,0,,,9,MapArea,banner_bubble_Battlefield_7,75,69,gvg_buid_desc004,,,-1,300,200,200,-1,icon_mini_battlefield7,1,2,3,20,8,8,gvg_building004,魔能矿场(上),,-1,gvg_building004,300,300,150,50,50,,2,75,69,icon_mini_battlefield7
1001105,icon_building_battlefield_6,0,,,9,MapArea,banner_bubble_Battlefield_6,31,189,gvg_buid_desc001,2|4,,-1,300,100,100,-1,icon_mini_battlefield6,1,2,4,20,8,8,gvg_building001,联盟哨站(下),,-1,gvg_building001,150,150,150,25,25,,2,31,189,icon_mini_battlefield6
1001106,icon_building_battlefield_4,0,,,9,MapArea,banner_bubble_Battlefield_4,55,185,gvg_buid_desc002,1|1022|5000,,-1,300,40,40,-1,icon_mini_battlefield4,1,2,5,20,8,8,gvg_building002,妖精之泉(下),,-1,gvg_building002,60,60,150,10,10,,2,55,185,icon_mini_battlefield4
1001107,icon_building_battlefield_5,0,,,9,MapArea,banner_bubble_Battlefield_5,98,188,gvg_buid_desc003,2|4,,-1,300,100,100,-1,icon_mini_battlefield5,1,2,6,20,8,8,gvg_building003,部落堡垒(下),,-1,gvg_building003,150,150,150,25,25,,2,98,188,icon_mini_battlefield5
1001108,icon_building_battlefield_7,0,,,9,MapArea,banner_bubble_Battlefield_7,75,185,gvg_buid_desc004,,,-1,300,200,200,-1,icon_mini_battlefield7,1,2,7,20,8,8,gvg_building004,魔能矿场(下),,-1,gvg_building004,300,300,150,50,50,,2,75,185,icon_mini_battlefield7
1001109,icon_building_battlefield_3,0,,,9,MapArea,banner_bubble_Battlefield_3,36,128,gvg_buid_desc005,1|10003|2000,,-1,900,30,30,-1,icon_mini_battlefield3,1,2,8,20,10,10,gvg_building009,王者之剑,,-1,gvg_building009,90,90,150,15,15,,2,36,128,icon_mini_battlefield3
1001110,icon_building_battlefield_2,0,,,9,MapArea,banner_bubble_Battlefield_2,92,128,gvg_buid_desc006,1|10004|2000,,-1,900,30,30,-1,icon_mini_battlefield2,1,2,9,20,10,10,gvg_building010,王者之盾,,-1,gvg_building010,90,90,150,15,15,,2,92,128,icon_mini_battlefield2
1001111,icon_building_battlefield_1,0,,,8,MapArea,banner_bubble_Battlefield_1,64,128,gvg_buid_desc007,,,-1,900,-1,-1,-1,icon_mini_battlefield1,1,3,10,-1,6,6,gvg_building011,乱斗竞技场,,-1,gvg_building011,-6,-6,100,-1,-1,,3,64,128,icon_mini_battlefield1
2000001,icon_building_battlefield_6,0,,,9,MapArea,banner_bubble_Battlefield_6,48,102,g_5v5_buid_desc001,1|3104|100,,-1,30,800,2000,-1,icon_mini_battlefield6,2,2,11,10,10,10,g_5v5_building001,联盟哨站,,-1,gvg_building001,6000,2400,150,400,1000,,2,48,102,icon_mini_battlefield6
2000002,icon_building_battlefield_4,0,,,9,MapArea,banner_bubble_Battlefield_4,82,102,g_5v5_buid_desc002,1|5104|100,,-1,30,800,2000,-1,icon_mini_battlefield4,2,2,12,10,10,10,g_5v5_building002,妖精之泉,,-1,gvg_building002,6000,2400,150,400,1000,,2,82,102,icon_mini_battlefield4
2000003,icon_building_battlefield_5,0,,,9,MapArea,banner_bubble_Battlefield_5,47,163,g_5v5_buid_desc003,1|4104|100,,-1,30,800,2000,-1,icon_mini_battlefield5,2,2,13,10,10,10,g_5v5_building003,部落堡垒,,-1,gvg_building003,6000,2400,150,400,1000,,2,47,163,icon_mini_battlefield5
2000004,icon_building_battlefield_7,0,,,9,MapArea,banner_bubble_Battlefield_7,83,163,g_5v5_buid_desc004,1|104|50,,-1,30,1200,3000,-1,icon_mini_battlefield7,2,2,14,10,10,10,g_5v5_building004,魔能矿场,,-1,gvg_building004,9000,3600,150,600,1500,,2,83,163,icon_mini_battlefield7
3001101,icon_building_battlefield_6,0,,,9,MapArea,banner_bubble_Battlefield_6,31,69,gvg4_buid_desc006,1|18|2000,,-1,300,120,120,-1,icon_mini_battlefield6,3,2,15,20,8,8,gvg_building001,联盟哨站(上),,-1,gvg_building001,180,180,150,30,30,,2,31,69,icon_mini_battlefield6
3001102,icon_building_battlefield_4,0,,,9,MapArea,banner_bubble_Battlefield_4,55,69,gvg4_buid_desc007,2|4,,-1,300,60,60,-1,icon_mini_battlefield4,3,2,16,20,8,8,gvg_building002,妖精之泉(上),,-1,gvg_building002,90,90,150,15,15,,2,55,69,icon_mini_battlefield4
