id,attr_1,attr_2,break_cost,break_extra_cost,break_extra_cost_num,hero_id,link_goods,link_skill,link_star,power,quality,rate_1,rate_2,show_star,skin,special,star,star_dec,star_name,star_sub,universal_cost,unlock_time,unlock_weekday,unlock_weekday_2
10020000,,,2|10020|5,3017,1,10020,-1,-1,11,1,-1,3|1,4|1,9,-1,-1,0,,,0,142,31,0|1,0|1
10020100,,,2|10020|5,-1,-1,10020,-1,1002013,11,1.07,-1,3|1.13,4|1.07,9,-1,1,1,hero_awaken_10020_dec_1,hero_awaken_10020_stage_1,0,-1,31,0|1,0|1
10020101,,,2|10020|10,-1,-1,10020,-1,-1,11,1.08,-1,3|1.13,4|1.08,9,-1,-1,1,,,1,-1,31,0|1,0|1
10020102,,,2|10020|10,-1,-1,10020,-1,-1,11,1.1,-1,3|1.13,4|1.09,9,-1,-1,1,,,2,-1,31,0|1,0|1
10020103,,,2|10020|10,-1,-1,10020,-1,-1,11,1.11,-1,3|1.13,4|1.1,9,-1,-1,1,,,3,-1,31,0|1,0|1
10020104,,,2|10020|15,-1,-1,10020,-1,-1,11,1.12,-1,3|1.13,4|1.12,9,-1,-1,1,,,4,-1,31,0|1,0|1
10020105,,,2|10020|15,3017,2,10020,-1,-1,11,1.14,-1,3|1.13,4|1.14,9,-1,-1,1,,,5,142,31,0|1,0|1
10020200,,,2|10020|15,-1,-1,10020,-1,1002004,11,1.17,-1,3|1.22,4|1.14,9,-1,2,2,hero_awaken_10020_dec_2,hero_awaken_10020_stage_2,0,-1,31,0|1,0|1
10020201,,,2|10020|15,-1,-1,10020,-1,-1,11,1.19,-1,3|1.22,4|1.16,9,-1,-1,2,,,1,-1,31,0|1,0|1
10020202,,,2|10020|20,-1,-1,10020,-1,-1,11,1.19,-1,3|1.22,4|1.19,9,-1,-1,2,,,2,-1,31,0|1,0|1
10020203,,,2|10020|20,-1,-1,10020,-1,-1,11,1.23,-1,3|1.22,4|1.24,9,-1,-1,2,,,3,-1,31,0|1,0|1
10020204,,,2|10020|20,-1,-1,10020,-1,-1,11,1.27,-1,3|1.22,4|1.27,9,-1,-1,2,,,4,-1,31,0|1,0|1
10020205,,,2|10020|20,3017,2,10020,-1,-1,11,1.31,-1,3|1.22,4|1.31,9,-1,-1,2,,,5,142,31,0|1,0|1
10020300,,,2|10020|20,-1,-1,10020,-1,1002013,11,1.32,-1,3|1.37,4|1.31,9,-1,3,3,hero_awaken_10020_dec_3,hero_awaken_10020_stage_3,0,-1,31,0|1,0|1
10020301,,,2|10020|20,-1,-1,10020,-1,-1,11,1.35,-1,3|1.37,4|1.35,9,-1,-1,3,,,1,-1,31,0|1,0|1
10020302,,,2|10020|30,-1,-1,10020,-1,-1,11,1.4,-1,3|1.37,4|1.4,9,-1,-1,3,,,2,-1,31,0|1,0|1
10020303,,,2|10020|30,-1,-1,10020,-1,-1,11,1.45,-1,3|1.37,4|1.45,9,-1,-1,3,,,3,-1,31,0|1,0|1
