id,specialAttribute4Self,attrAllExtraIdArr,attribute_all1,attribute_all2,attribute_self1,attribute_self2,attribute_self3,attribute_team1,attribute_team2,attribute1,attribute2,attributeAllExtras,attributeAllExtrasMax,attributesAll1,attributesAll2,attributeSelfExtras,attributeSelfExtrasMax,attributesSelf,attributesTeam1,attributesTeam2,attributeTeamExtras,attributeTeamExtrasMax,attrSelfExtraIdArr,attrTeamExtraIdArr,desc,desc_parameter1,desc_parameter2,desc_parameter3,desc_parameter4,desc_parameter5,desc1,desc2,desc3,desc4,desc5,descParams,descs,extraAttribute_all1,extraAttribute_self1,extraAttribute_team1,extraAttribute1,fightforce,fightforces,icon,icon_artclass,level_desc,level_desc_parameter,maxlevel_desc,maxlv,name,para,skill,skills,special_desc,specialAttribute_self1,specialAttribute_team1,specialAttribute_team2,specialTroopAttribute_team1,type
1,,,,,[3|1000000|1000000|1000000|1000000],[103|1000000|1000000|1000000|1000000],,,,,,,,{},{},,,{3:[1000000|1000000|1000000|1000000]|103:[1000000|1000000|1000000|1000000]},{},{},,,,,,[140|100|3|8],[35],[35],[35],,hero_skill_desc_1000101_1,hero_skill_desc_damage,hero_skill_desc_damage,hero_skill_desc_damage,,[[140|100|3|8]|[35]|[35]|[35]|[]],[hero_skill_desc_1000101_1|hero_skill_desc_damage|hero_skill_desc_damage|hero_skill_desc_damage|],,,,,,[],1001,Atlas/UI_Skill,skill_enhance_01,140|7,skill_enhance_03,4,hero_skill_name_1,-1,[1],[1],[2|0|0|0],,,,,1
2,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,[109|20|2.8|15],[54.5],[54.5],[54.5],,hero_skill_desc_1000102_1,hero_skill_desc_damage,hero_skill_desc_damage,hero_skill_desc_damage,,[[109|20|2.8|15]|[54.5]|[54.5]|[54.5]|[]],[hero_skill_desc_1000102_1|hero_skill_desc_damage|hero_skill_desc_damage|hero_skill_desc_damage|],,,,,,[],1002,Atlas/UI_Skill,skill_enhance_01|skill_enhance_03,"109|5.45,20|0",skill_enhance_03|skill_enhance_03,4,hero_skill_name_2,-1,[2],[2],[2|2|0|0],,,,,1
3,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,,[],,,,,,1,,-1,[3],[3],,,,,,2
4,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,,[],,,,,,1,,-1,[4],[4],,,,,,2
5,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,,[],,,,,,1,,-1,[5],[5],,,,,,2
6,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,,[],,,,,,1,,-1,[6],[6],,,,,,2
10001,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[20001],[20001],,,,,,2
10002,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[20002],[20002],,,,,,2
10003,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[20003],[20003],,,,,,2
10004,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[20004],[20004],,,,,,2
10005,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[20005],[20005],,,,,,2
10006,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[20006],[20006],,,,,,2
10007,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[20007],[20007],,,,,,2
10008,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[20008],[20008],,,,,,2
10009,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[20009],[20009],,,,,,2
10010,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[20010],[20010],,,,,,2
10011,,,,,,,,,,,,,,{},{},,,{},{},{},,,,,,,,,,,,,,,,[[]|[]|[]|[]|[]],[||||],,,,,[0|0|0],[0|0|0],,,,,,1,,-1,[20011],[20011],,,,,,2
