id,attribute_all1,attribute_all2,attribute_self1,attribute_self2,attribute_self3,attribute_team1,attribute_team2,enhance_cost,enhance_level,extraAttribute_all1,extraAttribute_self1,extraAttribute_team1,fightforce,maxLevel
1000101,-1,-1,0,0,0,-1,-1,1301,"0|2,1|5,2|10,3|15",,,,360,15
1000102,-1,-1,0,0,0,-1,-1,1302,"0|2,1|5,2|10,3|15",,,,360,15
1000111,-1,-1,50,0,0,-1,-1,1301,"0|2,1|5,2|10",,,,360,10
1000112,-1,-1,0,0,0,-1,-1,1301,"0|2,1|5,2|10",,,0|25,360,10
1000201,-1,-1,0,0,0,-1,-1,3301,"0|2,1|5,2|10,3|15",,,,360,15
1000202,-1,-1,0,0,0,-1,-1,3302,"0|2,1|5,2|10,3|15",,,,360,15
1000211,-1,-1,25,0,0,-1,-1,3301,"0|2,1|5,2|10",,,,360,10
1000212,-1,-1,0,0,0,-1,-1,3301,"0|2,1|5,2|10",,,0|25,360,10
1000301,-1,-1,0,0,0,-1,-1,1401,"0|2,1|5,2|10,3|15",,,,360,15
1000302,-1,-1,0,0,0,-1,-1,1402,"0|2,1|5,2|10,3|15",,,,360,15
1000311,-1,-1,50,0,0,-1,-1,1401,"0|2,1|5,2|10,3|15",,,,360,15
1000312,-1,-1,0,0,0,-1,-1,1401,"0|2,1|5,2|10,3|15",,0|50,,360,15
1000401,-1,-1,0,0,0,-1,-1,1401,"0|2,1|5,2|10,3|15",,,,360,15
1000402,-1,-1,0,0,0,-1,-1,1402,"0|2,1|5,2|10,3|15",,,,360,15
1000411,-1,-1,0,0,0,50,-1,1401,"0|2,1|5,2|10,3|15",,,,360,15
1000412,-1,-1,0,0,0,-1,25,1401,"0|2,1|5,2|10,3|15",,,,360,15
1000501,-1,-1,0,0,0,-1,-1,3401,"0|2,1|5,2|10,3|15",,,,360,15
1000502,-1,-1,0,0,0,-1,-1,3402,"0|2,1|5,2|10,3|15",,,,360,15
1000511,-1,-1,50,0,0,-1,-1,3401,"0|2,1|5,2|10,3|15",,,,360,15
1000512,-1,-1,50,0,0,-1,-1,3401,"0|2,1|5,2|10,3|15",,,,360,15
1000601,-1,-1,0,0,0,-1,-1,1301,"0|2,1|5,2|10,3|15",,,,360,15
1000602,-1,-1,0,0,0,-1,-1,1302,"0|2,1|5,2|10,3|15",,,,360,15
1000611,-1,-1,25,0,0,-1,-1,1301,"0|2,1|5,2|10",,,,360,10
1000612,-1,-1,0,0,0,-1,-1,1301,"0|2,1|5,2|10",,,0|25,360,10
1000701,-1,-1,0,0,0,-1,-1,3301,"0|2,1|5,2|10,3|15",,,,360,15
1000702,-1,-1,0,0,0,-1,-1,3302,"0|2,1|5,2|10,3|15",,,,360,15
1000711,-1,-1,50,0,0,-1,-1,3301,"0|2,1|5,2|10",,,,360,10
1000712,25,-1,0,0,0,-1,-1,3301,"0|2,1|5,2|10",,,,360,10
1000801,-1,-1,0,0,0,-1,-1,3501,"0|2,1|5,2|10,3|15",,,,360,15
1000802,-1,-1,0,0,0,-1,-1,3501,"0|2,1|5,2|10,3|15",,,,360,15
1000803,-1,-1,0,0,0,-1,-1,3502,"0|2,1|5,2|10,3|15",,,,360,15
1000811,-1,-1,0,0,0,-1,-1,3501,"0|2,1|5,2|10,3|15",,,,360,15
1000812,-1,-1,0,0,0,-1,-1,3501,"0|2,1|5,2|10,3|15",,,,360,15
1000804,-1,-1,0,0,0,-1,-1,3501,"0|2,1|5,2|10,3|15",,,,360,15
1000813,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1",,,,360,1
1000814,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1,2|1,3|1,4|1",,,,360,1
1000816,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1",,,,360,1
1000901,-1,-1,0,0,0,-1,-1,2301,"0|2,1|5,2|10,3|15",,,,360,15
1000902,-1,-1,0,0,0,-1,-1,2302,"0|2,1|5,2|10,3|15",,,,360,15
1000911,-1,-1,50,0,0,-1,-1,2301,"0|2,1|5,2|10",,,,360,10
1000912,-1,-1,0,0,0,-1,-1,2301,"0|2,1|5,2|10",,,0|25,360,10
1001001,-1,-1,0,0,0,-1,-1,2301,"0|2,1|5,2|10,3|15",,,,360,15
1001002,-1,-1,0,0,0,-1,-1,2302,"0|2,1|5,2|10,3|15",,,,360,15
1001011,-1,-1,25,0,0,-1,-1,2301,"0|2,1|5,2|10",,,,360,10
1001012,-1,-1,0,0,0,-1,-1,2301,"0|2,1|5,2|10",,,0|25,360,10
1001101,-1,-1,0,0,0,-1,-1,2401,"0|2,1|5,2|10,3|15",,,,360,15
1001102,-1,-1,0,0,0,-1,-1,2402,"0|2,1|5,2|10,3|15",,,,360,15
1001111,-1,-1,0,0,0,-1,-1,2401,"0|2,1|5,2|10,3|15",,,0|25,360,15
1001112,-1,-1,0,0,0,-1,-1,2401,"0|2,1|5,2|10,3|15",,,0|25,360,15
1001201,-1,-1,0,0,0,-1,-1,3501,"0|2,1|5,2|10,3|15",,,,360,15
1001202,-1,-1,0,0,0,-1,-1,3501,"0|2,1|5,2|10,3|15",,,,360,15
1001203,-1,-1,0,0,0,-1,-1,3502,"0|2,1|5,2|10,3|15",,,,360,15
1001211,125,-1,0,0,0,-1,-1,3501,"0|2,1|5,2|10,3|15",,,,360,15
1001212,-1,-1,75,0,0,-1,-1,3501,"0|2,1|5,2|10,3|15",,,,360,15
1001204,-1,-1,0,0,0,-1,-1,3501,"0|2,1|5,2|10,3|15",,,,360,15
1001213,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1",,,,360,1
1001301,-1,-1,0,0,0,-1,-1,3401,"0|2,1|5,2|10,3|15",,,,360,15
1001302,-1,-1,0,0,0,-1,-1,3402,"0|2,1|5,2|10,3|15",,,,360,15
1001311,-1,-1,0,0,0,25,-1,3401,"0|2,1|5,2|10,3|15",,,,360,15
1001312,-1,-1,0,0,0,-1,-1,3401,"0|2,1|5,2|10,3|15",,,0|25,360,15
1001401,-1,-1,0,0,0,-1,-1,1401,"0|2,1|5,2|10,3|15",,,,360,15
1001402,-1,-1,0,0,0,-1,-1,1402,"0|2,1|5,2|10,3|15",,,,360,15
1001411,-1,-1,50,0,0,-1,-1,1401,"0|2,1|5,2|10,3|15",,,,360,15
1001412,-1,-1,0,0,0,-1,-1,1401,"0|2,1|5,2|10,3|15",,,,360,15
1001501,-1,-1,0,0,0,-1,-1,2401,"0|2,1|5,2|10,3|15",,,,360,15
1001502,-1,-1,0,0,0,-1,-1,2402,"0|2,1|5,2|10,3|15",,,,360,15
1001511,-1,-1,50,0,0,-1,-1,2401,"0|2,1|5,2|10,3|15",,,,360,15
1001512,40,-1,0,0,0,-1,-1,2401,"0|2,1|5,2|10,3|15",,,,360,15
1001601,-1,-1,0,0,0,-1,-1,2401,"0|2,1|5,2|10,3|15",,,,360,15
1001602,-1,-1,0,0,0,-1,-1,2402,"0|2,1|5,2|10,3|15",,,,360,15
1001611,-1,-1,0,0,0,25,-1,2401,"0|2,1|5,2|10,3|15",,,,360,15
1001612,-1,-1,0,0,0,-1,-1,2401,"0|2,1|5,2|10,3|15",,,0|25,360,15
1001701,-1,-1,0,0,0,-1,-1,2501,"0|2,1|5,2|10,3|15",,,,360,15
1001702,-1,-1,0,0,0,-1,-1,2501,"0|2,1|5,2|10,3|15",,,,360,15
1001703,-1,-1,0,0,0,-1,-1,2502,"0|2,1|5,2|10,3|15",,,,360,15
1001711,-1,-1,100,50,0,-1,-1,2501,"0|2,1|5,2|10,3|15",,,,360,15
1001712,-1,-1,0,0,0,50,-1,2501,"0|2,1|5,2|10,3|15",,,,360,15
1001704,-1,-1,0,0,0,-1,-1,2502,"0|2,1|5,2|10,3|15",,,,360,15
1001713,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1",,,,360,1
1001714,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1,2|1,3|1,4|1",,,,360,1
1001716,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1",,,,360,1
1001801,-1,-1,0,0,0,-1,-1,1501,"0|2,1|5,2|10,3|15",,,,360,15
1001802,-1,-1,0,0,0,-1,-1,1501,"0|2,1|5,2|10,3|15",,,,360,15
1001803,-1,-1,0,0,0,-1,-1,1502,"0|2,1|5,2|10,3|15",,,,360,15
1001811,-1,-1,50,0,0,-1,-1,1501,"0|2,1|5,2|10,3|15",,,,360,15
1001812,-1,-1,0,0,0,-1,-1,1501,"0|2,1|5,2|10,3|15",,,,360,15
1001804,-1,-1,0,0,0,-1,-1,1501,"0|2,1|5,2|10,3|15",,,,360,15
1001813,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1",,,,360,1
1001814,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1,2|1,3|1,4|1",,,,360,1
1001816,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1",,,,360,1
1001901,-1,-1,0,0,0,-1,-1,3501,"0|2,1|5,2|10,3|15",,,,360,15
1001902,-1,-1,0,0,0,-1,-1,3501,"0|2,1|5,2|10,3|15",,,,360,15
1001903,-1,-1,0,0,0,-1,-1,3502,"0|2,1|5,2|10,3|15",,,,360,15
1001911,-1,-1,0,0,0,-1,-1,3501,"0|2,1|5,2|10,3|15",,,,360,15
1001912,-1,-1,0,0,0,-1,-1,3501,"0|2,1|5,2|10,3|15",,,,360,15
1001904,-1,-1,0,0,0,-1,-1,3501,"0|2,1|5,2|10,3|15",,,,360,15
1001913,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1",,,,360,1
1001914,-1,-1,0,0,0,-1,-1,-1,"0|1,1|1,2|1,3|1,4|1",,,,360,1
