id,iconAtlas,group,icon,icon_atlas,maxlevel,name,unlock_day,use_hero
1810001,Atlas/UI_Equipment,181,equipment_Exclusive001,Atlas/UI_Equipment,20,hero_exclusive_name_10025,50,10025
10008,Atlas/UI_Equipment,10008,equipment_Exclusive023,Atlas/UI_Equipment,20,hero_exclusive_name_10008,50,10008
10017,Atlas/UI_Equipment,10017,equipment_Exclusive017,Atlas/UI_Equipment,20,hero_exclusive_name_10017,50,10017
10018,Atlas/UI_Equipment,10018,equipment_Exclusive010,Atlas/UI_Equipment,20,hero_exclusive_name_10018,50,10018
10019,Atlas/UI_Equipment,10019,equipment_Exclusive029,Atlas/UI_Equipment,20,hero_exclusive_name_10019,50,10019
10020,Atlas/UI_Equipment,10020,equipment_Exclusive026,Atlas/UI_Equipment,20,hero_exclusive_name_10020,50,10020
10023,Atlas/UI_Equipment,10023,equipment_Exclusive003,Atlas/UI_Equipment,20,hero_exclusive_name_10023,50,10023
10024,Atlas/UI_Equipment,10024,equipment_Exclusive005,Atlas/UI_Equipment,20,hero_exclusive_name_10024,50,10024
10027,Atlas/UI_Equipment,10027,equipment_Exclusive007,Atlas/UI_Equipment,20,hero_exclusive_name_10027,50,10027
10028,Atlas/UI_Equipment,10028,equipment_Exclusive025,Atlas/UI_Equipment,20,hero_exclusive_name_10028,50,10028
10030,Atlas/UI_Equipment,10030,equipment_Exclusive012,Atlas/UI_Equipment,20,hero_exclusive_name_10030,50,10030
10031,Atlas/UI_Equipment,10031,equipment_Exclusive002,Atlas/UI_Equipment,20,hero_exclusive_name_10031,50,10031
10032,Atlas/UI_Equipment,10032,equipment_Exclusive027,Atlas/UI_Equipment,20,hero_exclusive_name_10032,50,15032
10033,Atlas/UI_Equipment,10033,equipment_Exclusive008,Atlas/UI_Equipment,20,hero_exclusive_name_10033,50,10033
10034,Atlas/UI_Equipment,10034,equipment_Exclusive028,Atlas/UI_Equipment,20,hero_exclusive_name_10034,50,10034
10035,Atlas/UI_Equipment,10035,equipment_Exclusive019,Atlas/UI_Equipment,20,hero_exclusive_name_10035,50,10035
10036,Atlas/UI_Equipment,10036,equipment_Exclusive020,Atlas/UI_Equipment,20,hero_exclusive_name_10029,50,10036
10037,Atlas/UI_Equipment,10037,equipment_Exclusive022,Atlas/UI_Equipment,20,hero_exclusive_name_10037,50,10037
10038,Atlas/UI_Equipment,10038,equipment_Exclusive014,Atlas/UI_Equipment,20,hero_exclusive_name_10038,50,10038
10039,Atlas/UI_Equipment,10039,equipment_Exclusive013,Atlas/UI_Equipment,20,hero_exclusive_name_10039,50,10039
10040,Atlas/UI_Equipment,10040,equipment_Exclusive004,Atlas/UI_Equipment,20,hero_exclusive_name_10040,50,10040
10041,Atlas/UI_Equipment,10041,equipment_Exclusive015,Atlas/UI_Equipment,20,hero_exclusive_name_10041,50,10041
10042,Atlas/UI_Equipment,10042,equipment_Exclusive021,Atlas/UI_Equipment,20,hero_exclusive_name_10042,50,10042
10043,Atlas/UI_Equipment,10043,equipment_Exclusive009,Atlas/UI_Equipment,20,hero_exclusive_name_10043,50,10043
10044,Atlas/UI_Equipment,10044,equipment_Exclusive024,Atlas/UI_Equipment,20,hero_exclusive_name_10044,50,10044
10045,Atlas/UI_Equipment,10045,equipment_Exclusive016,Atlas/UI_Equipment,20,hero_exclusive_name_10045,50,10045
10046,Atlas/UI_Equipment,10046,equipment_Exclusive011,Atlas/UI_Equipment,20,hero_exclusive_name_10046,50,10046
10047,Atlas/UI_Equipment,10047,equipment_Exclusive006,Atlas/UI_Equipment,20,hero_exclusive_name_10047,50,10047
10048,Atlas/UI_Equipment,10048,equipment_Exclusive018,Atlas/UI_Equipment,20,hero_exclusive_name_10048,50,10048
10049,Atlas/UI_Equipment,10049,equipment_Exclusive030,Atlas/UI_Equipment,20,hero_exclusive_name_10049,50,10049
10050,Atlas/UI_Equipment,10050,equipment_Exclusive031,Atlas/UI_Equipment,20,hero_exclusive_name_10050,50,10050
10051,Atlas/UI_Equipment,10051,equipment_Exclusive032,Atlas/UI_Equipment,20,hero_exclusive_name_10051,50,10051
10052,Atlas/UI_Equipment,10052,equipment_Exclusive036,Atlas/UI_Equipment,20,hero_exclusive_name_10052,50,10052
10053,Atlas/UI_Equipment,10053,equipment_Exclusive037,Atlas/UI_Equipment,20,hero_exclusive_name_10053,50,10053
10054,Atlas/UI_Equipment,10054,equipment_Exclusive038,Atlas/UI_Equipment,20,hero_exclusive_name_10054,50,10054
