id,bonus_attribute,bonus_lv,combat,honor_group
1,[3104|50],50,50,1
2,[3104|100],100,60,1
3,[3104|150],150,70,1
4,[3104|200],200,80,1
5,[3104|250],250,90,1
6,[3104|300],300,100,1
7,[3104|350],350,110,1
8,[3104|400],400,120,1
9,[3104|450],450,130,1
10,[3104|500],500,140,1
11,[4104|50],50,50,2
12,[4104|100],100,60,2
13,[4104|150],150,70,2
14,[4104|200],200,80,2
15,[4104|250],250,90,2
16,[4104|300],300,100,2
17,[4104|350],350,110,2
18,[4104|400],400,120,2
19,[4104|450],450,130,2
20,[4104|500],500,140,2
21,[5104|50],50,50,3
22,[5104|100],100,60,3
23,[5104|150],150,70,3
24,[5104|200],200,80,3
25,[5104|250],250,90,3
26,[5104|300],300,100,3
27,[5104|350],350,110,3
28,[5104|400],400,120,3
29,[5104|450],450,130,3
30,[5104|500],500,140,3
31,[3104|25],50,50,4
32,[3104|50],100,60,4
33,[3104|75],150,70,4
34,[3104|100],200,80,4
35,[3104|125],250,90,4
36,[3104|150],300,100,4
37,[3104|175],350,110,4
38,[3104|200],400,120,4
39,[3104|225],450,130,4
40,[3104|250],500,140,4
41,[4104|25],50,50,5
42,[4104|50],100,60,5
43,[4104|75],150,70,5
44,[4104|100],200,80,5
45,[4104|125],250,90,5
46,[4104|150],300,100,5
47,[4104|175],350,110,5
48,[4104|200],400,120,5
49,[4104|225],450,130,5
50,[4104|250],500,140,5
51,[5104|25],50,50,6
52,[5104|50],100,60,6
53,[5104|75],150,70,6
54,[5104|100],200,80,6
55,[5104|125],250,90,6
56,[5104|150],300,100,6
57,[5104|175],350,110,6
58,[5104|200],400,120,6
59,[5104|225],450,130,6
60,[5104|250],500,140,6
61,[3104|25],50,50,7
62,[3104|50],100,60,7
63,[3104|75],150,70,7
64,[3104|100],200,80,7
65,[3104|125],250,90,7
66,[3104|150],300,100,7
67,[3104|175],350,110,7
68,[3104|200],400,120,7
69,[3104|225],450,130,7
70,[3104|250],500,140,7
71,[4104|25],50,50,8
72,[4104|50],100,60,8
73,[4104|75],150,70,8
74,[4104|100],200,80,8
75,[4104|125],250,90,8
76,[4104|150],300,100,8
77,[4104|175],350,110,8
78,[4104|200],400,120,8
79,[4104|225],450,130,8
80,[4104|250],500,140,8
81,[5104|25],50,50,9
82,[5104|50],100,60,9
83,[5104|75],150,70,9
84,[5104|100],200,80,9
85,[5104|125],250,90,9
86,[5104|150],300,100,9
87,[5104|175],350,110,9
88,[5104|200],400,120,9
89,[5104|225],450,130,9
90,[5104|250],500,140,9
30101,[1052|100],50,2250,301
30102,[1052|200],100,4500,301
30103,[1052|300],150,6750,301
30104,[1052|400],200,9000,301
30105,[1052|500],300,11250,301
40101,[3103|25],50,7500,401
40102,[3103|50],100,15000,401
40103,[3103|75],150,22500,401
40104,[3103|100],200,30000,401
40105,[3103|125],300,37500,401
40201,[3104|25],50,7500,402
40202,[3104|50],100,15000,402
40203,[3104|75],150,22500,402
40204,[3104|100],200,30000,402
40205,[3104|125],300,37500,402
40301,[4103|25],50,7500,403
40302,[4103|50],100,15000,403
40303,[4103|75],150,22500,403
40304,[4103|100],200,30000,403
40305,[4103|125],300,37500,403
40401,[4104|25],50,7500,404
40402,[4104|50],100,15000,404
40403,[4104|75],150,22500,404
40404,[4104|100],200,30000,404
40405,[4104|125],300,37500,404
40501,[5103|25],50,7500,405
40502,[5103|50],100,15000,405
40503,[5103|75],150,22500,405
40504,[5103|100],200,30000,405
40505,[5103|125],300,37500,405
40601,[5104|25],50,7500,406
40602,[5104|50],100,15000,406
40603,[5104|75],150,22500,406
40604,[5104|100],200,30000,406
40605,[5104|125],300,37500,406
50101,[3103|50],50,15000,501
50102,[3103|100],100,30000,501
50103,[3103|150],150,45000,501
50104,[3103|200],200,60000,501
50105,[3103|250],300,75000,501
50201,[3104|50],50,15000,502
50202,[3104|100],100,30000,502
50203,[3104|150],150,45000,502
50204,[3104|200],200,60000,502
50205,[3104|250],300,75000,502
50301,[4103|50],50,15000,503
50302,[4103|100],100,30000,503
50303,[4103|150],150,45000,503
50304,[4103|200],200,60000,503
50305,[4103|250],300,75000,503
50401,[4104|50],50,15000,504
50402,[4104|100],100,30000,504
50403,[4104|150],150,45000,504
50404,[4104|200],200,60000,504
50405,[4104|250],300,75000,504
50501,[5103|50],50,15000,505
50502,[5103|100],100,30000,505
50503,[5103|150],150,45000,505
50504,[5103|200],200,60000,505
50505,[5103|250],300,75000,505
50601,[5104|50],50,15000,506
50602,[5104|100],100,30000,506
50603,[5104|150],150,45000,506
50604,[5104|200],200,60000,506
50605,[5104|250],300,75000,506
60101,[3103|50],50,15000,601
60102,[3103|100],100,30000,601
60103,[3103|150],150,45000,601
60104,[3103|200],200,60000,601
60105,[3103|250],300,75000,601
60201,[3104|50],50,15000,602
60202,[3104|100],100,30000,602
60203,[3104|150],150,45000,602
60204,[3104|200],200,60000,602
60205,[3104|250],300,75000,602
60301,[4103|50],50,15000,603
60302,[4103|100],100,30000,603
60303,[4103|150],150,45000,603
60304,[4103|200],200,60000,603
60305,[4103|250],300,75000,603
60401,[4104|50],50,15000,604
60402,[4104|100],100,30000,604
60403,[4104|150],150,45000,604
60404,[4104|200],200,60000,604
60405,[4104|250],300,75000,604
60501,[5103|50],50,15000,605
60502,[5103|100],100,30000,605
60503,[5103|150],150,45000,605
60504,[5103|200],200,60000,605
60505,[5103|250],300,75000,605
60601,[5104|50],50,15000,606
60602,[5104|100],100,30000,606
60603,[5104|150],150,45000,606
60604,[5104|200],200,60000,606
60605,[5104|250],300,75000,606
60701,[4104|50],50,15000,607
60702,[4104|100],100,30000,607
60703,[4104|150],150,45000,607
60704,[4104|200],200,60000,607
60705,[4104|250],300,75000,607
60801,[4104|50],50,15000,608
60802,[4104|100],100,30000,608
60803,[4104|150],150,45000,608
60804,[4104|200],200,60000,608
60805,[4104|250],300,75000,608
60901,[5104|50],50,15000,609
60902,[5104|100],100,30000,609
60903,[5104|150],150,45000,609
60904,[5104|200],200,60000,609
60905,[5104|250],300,75000,609
61001,[3104|50],50,15000,610
61002,[3104|100],100,30000,610
61003,[3104|150],150,45000,610
61004,[3104|200],200,60000,610
61005,[3104|250],300,75000,610
61101,[5104|50],50,15000,611
61102,[5104|100],100,30000,611
61103,[5104|150],150,45000,611
61104,[5104|200],200,60000,611
61105,[5104|250],300,75000,611
61201,[4104|50],50,15000,612
61202,[4104|100],100,30000,612
61203,[4104|150],150,45000,612
61204,[4104|200],200,60000,612
61205,[4104|250],300,75000,612
61301,[3104|50],50,15000,613
61302,[3104|100],100,30000,613
61303,[3104|150],150,45000,613
61304,[3104|200],200,60000,613
61305,[3104|250],300,75000,613
61401,[5104|50],50,15000,614
61402,[5104|100],100,30000,614
61403,[5104|150],150,45000,614
61404,[5104|200],200,60000,614
61405,[5104|250],300,75000,614
