id,army_count,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attrList,downgrade,exp,exp_die,fightforce,level,mainAttribute,prebuilding_level,quality,unlock_lv,unlock_lv_new
13001,2,[3|30],[4|200],[10|5000],[5|350],[57|0],[24|0],[1021|410],[[3|30]|[4|200]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|410]],0,5,-1,200,1,1,[117|1],3,1,1
13002,4,[3|36],[4|240],[10|5000],[5|350],[57|0],[24|0],[1021|420],[[3|36]|[4|240]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|420]],0,10,-1,240,2,1,[117|1],3,1,1
13003,6,[3|42],[4|280],[10|5000],[5|350],[57|0],[24|0],[1021|430],[[3|42]|[4|280]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|430]],0,15,-1,280,3,1,[117|1],3,1,1
13004,8,[3|48],[4|320],[10|5000],[5|350],[57|0],[24|0],[1021|440],[[3|48]|[4|320]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|440]],0,20,-1,320,4,1,[117|1],3,1,1
13005,10,[3|54],[4|360],[10|5000],[5|350],[57|0],[24|0],[1021|450],[[3|54]|[4|360]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|450]],0,25,-1,360,5,1,[117|1],3,1,1
13006,12,[3|60],[4|400],[10|5000],[5|350],[57|0],[24|0],[1021|460],[[3|60]|[4|400]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|460]],0,30,-1,400,6,1,[117|1],3,1,1
13007,14,[3|66],[4|440],[10|5000],[5|350],[57|0],[24|0],[1021|470],[[3|66]|[4|440]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|470]],0,35,-1,440,7,1,[117|1],3,1,1
13008,16,[3|72],[4|480],[10|5000],[5|350],[57|0],[24|0],[1021|480],[[3|72]|[4|480]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|480]],0,40,-1,480,8,1,[117|1],3,1,1
13009,18,[3|78],[4|520],[10|5000],[5|350],[57|0],[24|0],[1021|490],[[3|78]|[4|520]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|490]],0,45,-1,520,9,1,[117|1],3,1,1
13010,20,[3|84],[4|560],[10|5000],[5|350],[57|0],[24|0],[1021|500],[[3|84]|[4|560]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|500]],0,50,-1,560,10,1,[117|1],3,1,1
13011,22,[3|90],[4|600],[10|5000],[5|350],[57|0],[24|0],[1021|510],[[3|90]|[4|600]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|510]],0,60,-1,600,11,1,[117|1],3,1,1
13012,24,[3|96],[4|640],[10|5000],[5|350],[57|0],[24|0],[1021|520],[[3|96]|[4|640]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|520]],0,60,-1,640,12,1,[117|1],3,1,1
13013,26,[3|102],[4|680],[10|5000],[5|350],[57|0],[24|0],[1021|530],[[3|102]|[4|680]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|530]],0,60,-1,680,13,1,[117|1],3,1,1
13014,28,[3|108],[4|720],[10|5000],[5|350],[57|0],[24|0],[1021|540],[[3|108]|[4|720]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|540]],0,60,-1,720,14,1,[117|1],3,1,1
13015,30,[3|114],[4|760],[10|5000],[5|350],[57|0],[24|0],[1021|550],[[3|114]|[4|760]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|550]],0,70,-1,760,15,1,[117|2],3,1,1
13016,32,[3|120],[4|800],[10|5000],[5|350],[57|0],[24|0],[1021|560],[[3|120]|[4|800]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|560]],0,70,-1,800,16,1,[117|2],3,1,1
13017,34,[3|126],[4|840],[10|5000],[5|350],[57|0],[24|0],[1021|570],[[3|126]|[4|840]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|570]],0,70,-1,840,17,1,[117|2],3,1,1
13018,36,[3|132],[4|880],[10|5000],[5|350],[57|0],[24|0],[1021|580],[[3|132]|[4|880]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|580]],0,80,-1,880,18,1,[117|2],3,1,1
13019,38,[3|138],[4|920],[10|5000],[5|350],[57|0],[24|0],[1021|590],[[3|138]|[4|920]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|590]],0,80,-1,920,19,1,[117|2],3,1,1
13020,40,[3|144],[4|960],[10|5000],[5|350],[57|0],[24|0],[1021|600],[[3|144]|[4|960]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|600]],0,80,-1,960,20,1,[117|3],3,2,1
13021,42,[3|150],[4|1000],[10|5000],[5|350],[57|0],[24|0],[1021|610],[[3|150]|[4|1000]|[10|5000]|[5|350]|[57|0]|[24|0]|[1021|610]],0,90,-1,1000,21,1,[117|3],3,2,1
