id,attr,dec,hero_group,name,open_server,power,serverLists,type
101,18|1000,hero_link_dec_101,[10024|10031|10033],hero_link_name_101,[2-501|1001-1004|10001-10107],5000,[[2|501]|[1001|1004]|[10001|10107]],1
102,18|1000,hero_link_dec_101,[10023|10038|10039],hero_link_name_101,[2-501|1001-1004|10001-10107],5000,[[2|501]|[1001|1004]|[10001|10107]],1
103,18|1000,hero_link_dec_101,[10035|10036|10037],hero_link_name_101,[2-501|1001-1004|10001-10107],5000,[[2|501]|[1001|1004]|[10001|10107]],1
104,18|1500,hero_link_dec_101,[10039|10041|10045],hero_link_name_101,[2-501|1001-1004|10001-10107],10000,[[2|501]|[1001|1004]|[10001|10107]],1
105,"18|900,18|1500",hero_link_dec_101,[10041|10047|10048],hero_link_name_101,[2-501|1001-1004|10001-10107],10000,[[2|501]|[1001|1004]|[10001|10107]],1
106,"18|900,18|1500",hero_link_dec_101,[10043|10050|10031],hero_link_name_101,[2-501|1001-1004|10001-10107],10000,[[2|501]|[1001|1004]|[10001|10107]],1
107,"18|900,18|1500",hero_link_dec_101,[10037|10035|10054],hero_link_name_101,[2-501|1001-1004|10001-10107],10000,[[2|501]|[1001|1004]|[10001|10107]],1
201,19|1000,hero_link_dec_101,[10025|10018|10027],hero_link_name_201,[2-501|1001-1004|10001-10107],5000,[[2|501]|[1001|1004]|[10001|10107]],2
202,19|1000,hero_link_dec_101,[10020|10034|10028],hero_link_name_201,[2-501|1001-1004|10001-10107],5000,[[2|501]|[1001|1004]|[10001|10107]],2
203,19|1000,hero_link_dec_101,[10008|10019|10040],hero_link_name_201,[2-501|1001-1004|10001-10107],5000,[[2|501]|[1001|1004]|[10001|10107]],2
204,19|1500,hero_link_dec_101,[10033|10043|10046],hero_link_name_201,[2-501|1001-1004|10001-10107],10000,[[2|501]|[1001|1004]|[10001|10107]],2
205,19|1500,hero_link_dec_101,[10037|10042|10044],hero_link_name_201,[2-501|1001-1004|10001-10107],10000,[[2|501]|[1001|1004]|[10001|10107]],2
206,"19|900,19|1500",hero_link_dec_101,[10049|10042|10051],hero_link_name_201,[2-501|1001-1004|10001-10107],10000,[[2|501]|[1001|1004]|[10001|10107]],2
207,"19|900,19|1500",hero_link_dec_101,[10039|10017|10052],hero_link_name_201,[2-501|1001-1004|10001-10107],10000,[[2|501]|[1001|1004]|[10001|10107]],2
208,"19|900,19|1500",hero_link_dec_101,[10043|10018|10053],hero_link_name_201,[2-501|1001-1004|10001-10107],10000,[[2|501]|[1001|1004]|[10001|10107]],2
301,104|500,hero_link_dec_101,[15032|10030],hero_link_name_301,[2-501|1001-1004|10001-10107],5000,[[2|501]|[1001|1004]|[10001|10107]],3
302,104|500,hero_link_dec_101,[10017|10023],hero_link_name_301,[2-501|1001-1004|10001-10107],5000,[[2|501]|[1001|1004]|[10001|10107]],3
303,104|500,hero_link_dec_101,[10021|10019],hero_link_name_301,[2-501|1001-1004|10001-10107],5000,[[2|501]|[1001|1004]|[10001|10107]],3
304,104|500,hero_link_dec_101,[10021|10026],hero_link_name_301,[2-501|10001-10107],5000,[[2|501]|[10001|10107]],3
401,18|1500,hero_link_dec_101,[10033|10037|10039],hero_link_name_101,[2-501|1001-1004|10001-10107],5000,[[2|501]|[1001|1004]|[10001|10107]],1
1101,18|1000,hero_link_dec_101,[10024|10031|10033],hero_link_name_101,[1|1005-9999|10108-99999],5000,[[1]|[1005|9999]|[10108|99999]],1
1102,18|1000,hero_link_dec_101,[10023|10038|10039],hero_link_name_101,[1|1005-9999|10108-99999],5000,[[1]|[1005|9999]|[10108|99999]],1
