id,dec_1,dec_2,exchage,exchages,hero_change,hero_id,heroChanges,heroIds,key_id,sit_id,sorts,unlock_weekday,unlockWeekday
1,hero_recommend_dec_4,hero_recommend_detail_4,[10018|10019|10008],[10018|10019|10008],[10025],[10018|10019|10025|10008|10034|10023],[10025],[10018|10019|10025|10008|10034|10023],hero_recommend_5,[1|2|3|4|5|6],[1|2|3|4|5|6],,[]
2,hero_recommend_dec_1,hero_recommend_detail_1,[10030|10031|10025],[10030|10031|10025],[10024],[10018|10031|10025|10030|10024|10027],[10024],[10018|10031|10025|10030|10024|10027],hero_recommend_1,[1|2|3|4|5|6],[1|2|3|4|5|6],,[]
3,hero_recommend_dec_2,hero_recommend_detail_2,[10040|10035|10008],[10040|10035|10008],[10036],[10019|10035|10037|10040|10008|10036],[10036],[10019|10035|10037|10040|10008|10036],hero_recommend_2,[1|2|3|4|5|6],[1|2|3|4|5|6],,[]
4,hero_recommend_dec_3,hero_recommend_detail_13,[10017|10038|10023],[10017|10038|10023],[10028],[10017|10020|10038|10023|10028|10034],[10028],[10017|10020|10038|10023|10028|10034],hero_recommend_8,[1|2|3|4|5|6],[1|2|3|4|5|6],,[]
5,hero_recommend_dec_4,hero_recommend_detail_10,[10024|10027|10037],[10024|10027|10037],[10025],[10018|10019|10025|10024|10037|10027],[10025],[10018|10019|10025|10024|10037|10027],hero_recommend_5,[1|2|3|4|5|6],[1|2|3|4|5|6],,[]
6,hero_recommend_dec_1,hero_recommend_detail_1,[10030|10031|10025],[10030|10031|10025],[10024],[10018|10031|10025|10030|10024|10027],[10024],[10018|10031|10025|10030|10024|10027],hero_recommend_1,[1|2|3|4|5|6],[1|2|3|4|5|6],,[]
7,hero_recommend_dec_2,hero_recommend_detail_2,[10040|10035|10008],[10040|10035|10008],[10036],[10019|10035|10037|10040|10008|10036],[10036],[10019|10035|10037|10040|10008|10036],hero_recommend_2,[1|2|3|4|5|6],[1|2|3|4|5|6],,[]
8,hero_recommend_dec_3,hero_recommend_detail_13,[10017|10038|10023],[10017|10038|10023],[10028],[10017|10020|10038|10023|10028|10034],[10028],[10017|10020|10038|10023|10028|10034],hero_recommend_8,[1|2|3|4|5|6],[1|2|3|4|5|6],,[]
9,hero_recommend_dec_14,hero_recommend_detail_14,[10043|10046|10031],[10043|10046|10031],[10033],[10043|10031|10046|10027|10025|10033],[10033],[10043|10031|10046|10027|10025|10033],hero_recommend_9,[1|2|3|4|5|6],[1|2|3|4|5|6],,[]
10,hero_recommend_dec_15,hero_recommend_detail_15,[10038|10045|10041],[10038|10045|10041],[10039],[10039|10017|10028|10038|10045|10041],[10039],[10039|10017|10028|10038|10045|10041],hero_recommend_10,[1|2|3|4|5|6],[1|2|3|4|5|6],,[]
11,hero_recommend_dec_16,hero_recommend_detail_16,[10042|10035|10037],[10042|10035|10037],[10044],[10042|10035|10008|10036|10044|10037],[10044],[10042|10035|10008|10036|10044|10037],hero_recommend_11,[1|2|3|4|5|6],[1|2|3|4|5|6],,[]
12,hero_recommend_dec_14,hero_recommend_detail_14,[10043|10046|10031],[10043|10046|10031],[10033],[10043|10031|10046|10027|10025|10033],[10033],[10043|10031|10046|10027|10025|10033],hero_recommend_12,[1|2|3|4|5|6],[1|2|3|4|5|6],,[]
13,hero_recommend_dec_15,hero_recommend_detail_17,[10039|10048|10045],[10039|10048|10045],[10047],[10039|10048|10047|10038|10045|10041],[10047],[10039|10048|10047|10038|10045|10041],hero_recommend_13,[1|2|3|4|5|6],[1|2|3|4|5|6],,[]
14,hero_recommend_dec_16,hero_recommend_detail_18,[10042|10037|10044],[10042|10037|10044],[10049],[10042|10049|10008|10036|10037|10044],[10049],[10042|10049|10008|10036|10037|10044],hero_recommend_14,[1|2|3|4|5|6],[1|2|3|4|5|6],,[]
15,hero_recommend_dec_14,hero_recommend_detail_19,[10043|10050|10046],[10043|10050|10046],[10033],[10043|10031|10046|10027|10050|10033],[10033],[10043|10031|10046|10027|10050|10033],hero_recommend_15,[1|2|3|4|5|6],[1|2|3|4|5|6],,[]
16,hero_recommend_dec_15,hero_recommend_detail_17,[10039|10048|10045],[10039|10048|10045],[10047],[10039|10048|10047|10038|10045|10041],[10047],[10039|10048|10047|10038|10045|10041],hero_recommend_16,[1|2|3|4|5|6],[1|2|3|4|5|6],,[]
17,hero_recommend_dec_16,hero_recommend_detail_20,[10042|10051|10044],[10042|10051|10044],[10049],[10042|10049|10051|10036|10037|10044],[10049],[10042|10049|10051|10036|10037|10044],hero_recommend_17,[1|2|3|4|5|6],[1|2|3|4|5|6],,[]
