id,add_power,attr1,attr2,exchange_id,hero_id,is_awaken,order,quality,repeat_reward,skin_goods,skin_id,skin_name,suit,suit_attr,unlock_dec
11008,0,,,-1,10008,1,1,6,,-1,11008,skin_name_1000801,-1,,unlock_dec_awaken
11012,0,,,-1,10012,1,1,6,,-1,11012,skin_name_1001201,-1,,unlock_dec_awaken
11017,0,,,-1,10017,1,1,6,,-1,11017,skin_name_1001701,-1,,unlock_dec_awaken
11018,0,,,-1,10018,1,1,6,,-1,11018,skin_name_1001801,-1,,unlock_dec_awaken
11019,0,,,-1,10019,1,1,6,,-1,11019,skin_name_1001901,-1,,unlock_dec_awaken
11020,0,,,-1,10020,1,1,6,,-1,11020,skin_name_1002001,-1,,unlock_dec_awaken
11021,0,,,-1,10021,1,1,6,,-1,11021,skin_name_1002101,-1,,unlock_dec_awaken
11022,0,,,-1,10022,1,1,6,,-1,11022,skin_name_1002201,-1,,unlock_dec_awaken
11023,0,,,-1,10023,1,1,6,,-1,11023,skin_name_1002301,-1,,unlock_dec_awaken
11024,0,,,-1,10024,1,1,6,,-1,11024,skin_name_1002401,-1,,unlock_dec_awaken
11025,0,,,-1,10025,1,1,6,,-1,11025,skin_name_1002501,-1,,unlock_dec_awaken
11026,0,,,-1,10026,1,1,6,,-1,11026,skin_name_1002601,-1,,unlock_dec_awaken
11027,0,,,-1,10027,1,1,6,,-1,11027,skin_name_1002701,-1,,unlock_dec_awaken
11028,0,,,-1,10028,1,1,6,,-1,11028,skin_name_1002801,-1,,unlock_dec_awaken
11030,0,,,-1,10030,1,1,6,,-1,11030,skin_name_1003001,-1,,unlock_dec_awaken
11031,0,,,-1,10031,1,1,6,,-1,11031,skin_name_1003101,-1,,unlock_dec_awaken
11032,0,,,-1,15032,1,1,6,,-1,11032,skin_name_1003201,-1,,unlock_dec_awaken
11034,0,,,-1,10034,1,1,6,,-1,11034,skin_name_1003401,-1,,unlock_dec_awaken
11035,0,,,-1,10035,1,1,6,,-1,11035,skin_name_1003501,-1,,unlock_dec_awaken
11036,0,,,-1,10036,1,1,6,,-1,11036,skin_name_1003601,-1,,unlock_dec_awaken
11037,0,,,-1,10037,1,1,6,,-1,11037,skin_name_1003701,-1,,unlock_dec_awaken
11038,0,,,-1,10038,1,1,6,,-1,11038,skin_name_1003801,-1,,unlock_dec_awaken
11040,0,,,-1,10040,1,1,6,,-1,11040,skin_name_1004001,-1,,unlock_dec_awaken
15033,0,,,-1,15033,1,1,6,,-1,11033,skin_name_1003901,-1,,unlock_dec_awaken
15039,0,,,-1,15039,1,1,6,,-1,11039,skin_name_1003901,-1,,unlock_dec_awaken
1000802,5500,26|800,,-1,10008,0,2,6,2|312|35,50082,1000802,skin_name_1000802,1004003,21|500,unlock_dec_jiesuo
3000102,0,,,-1,30001,0,2,5,,-1,3000102,,-1,,
1000803,5500,,,-1,10008,0,3,4,2|312|2,50083,1000803,skin_name_1000803,-1,,unlock_dec_jiesuo
1001702,5500,,,-1,10017,0,2,4,2|312|2,50172,1001702,skin_name_1001702,-1,,unlock_dec_jiesuo
1001703,5500,,,-1,10017,0,3,5,2|312|12,50173,1001703,skin_name_1001703,-1,,unlock_dec_jiesuo
1001802,5500,,,-1,10018,0,2,4,2|312|2,50182,1001802,skin_name_1001802,-1,,unlock_dec_jiesuo
1001803,5500,89|1000,,-1,10018,0,3,6,2|312|35,50183,1001803,skin_name_1001803,-1,,unlock_dec_jiesuo
1001902,5500,,,-1,10019,0,2,4,2|312|2,50192,1001902,skin_name_1001902,-1,,unlock_dec_shengdan
1001903,5500,,,-1,10019,0,3,4,2|312|2,50193,1001903,skin_name_1001903,-1,,unlock_dec_jiesuo
1002002,5500,,,-1,10020,0,2,5,2|312|12,50202,1002002,skin_name_1002002,-1,,unlock_dec_jiesuo
1002102,5500,,,-1,10021,0,2,4,2|312|2,50212,1002102,skin_name_1002102,-1,,unlock_dec_jiesuo
1002202,5500,,,-1,10022,0,2,5,2|312|12,50222,1002202,skin_name_1002202,-1,,unlock_dec_jiesuo
1002302,5500,,6|800,-1,10023,0,2,6,2|312|35,50232,1002302,skin_name_1002302,-1,,unlock_dec_jiesuo
1002303,5500,,,-1,10023,0,3,4,2|312|2,50233,1002303,skin_name_1002303,-1,,unlock_dec_jiesuo
3000703,0,,,-1,30007,0,3,5,,-1,30007,,-1,,
1002402,5500,,,-1,10024,0,2,5,2|312|12,50242,1002402,skin_name_1002402,-1,,unlock_dec_jiesuo
1002403,5500,,,-1,10024,0,3,5,2|312|12,50243,1002403,skin_name_1002403,-1,,unlock_dec_jiesuo
1002404,5500,,,-1,10024,0,4,4,2|312|2,50244,1002404,skin_name_1002404,-1,,unlock_dec_jiesuo
1002405,5500,64|2000,,-1,10024,0,5,6,2|312|35,50245,1002405,skin_name_1002405,-1,,unlock_dec_jiesuo
1002502,5500,,,-1,10025,0,2,5,2|312|12,50252,1002502,skin_name_1002502,-1,,unlock_dec_jiesuo
1002503,5500,,,-1,10025,0,3,5,2|312|12,50253,1002503,skin_name_1002503,-1,,unlock_dec_jiesuo
1002504,5500,,15|400,-1,10025,0,4,6,2|312|35,50254,1002504,skin_name_1002504,-1,,unlock_dec_jiesuo
1002702,5500,,,-1,10027,0,2,5,2|312|12,50272,1002702,skin_name_1002702,-1,,unlock_dec_jiesuo
1002703,5500,9|800,,-1,10027,0,3,6,2|312|35,50273,1002703,skin_name_1002703,-1,,unlock_dec_jiesuo
1002704,5500,89|1000,,-1,10027,0,4,6,2|312|35,50274,1002704,skin_name_1002704,1003104,9|600,unlock_dec_jiesuo
1002705,5500,,,-1,10027,0,5,4,2|312|2,50275,1002705,skin_name_1002705,-1,,unlock_dec_jiesuo
1002706,5500,11|1500,,-1,10027,0,6,6,,50276,1002706,skin_name_1002706,-1,,unlock_dec_jiesuo_1002706
1002802,5500,,,-1,10028,0,2,5,2|312|12,50282,1002802,skin_name_1002802,-1,,unlock_dec_jiesuo
1002803,5500,26|800,,-1,10028,0,3,6,2|312|35,50283,1002803,skin_name_1002803,-1,,unlock_dec_jiesuo
1003002,5500,,,-1,10030,0,2,5,2|312|12,50302,1003002,skin_name_1003002,-1,,unlock_dec_jiesuo
1003003,5500,,,-1,10030,0,3,5,2|312|12,50303,1003003,skin_name_1003003,-1,,unlock_dec_jiesuo
1003102,5500,,,-1,10031,0,2,5,2|312|12,50312,1003102,skin_name_1003102,-1,,unlock_dec_jiesuo
1003103,5500,21|500,,-1,10031,0,3,6,2|312|35,50313,1003103,skin_name_1003103,-1,,unlock_dec_jiesuo
1003104,5500,89|1000,,-1,10031,0,4,6,2|312|35,50314,1003104,skin_name_1003104,1002704,9|600,unlock_dec_jiesuo
1003105,5500,89|1000,,-1,10031,0,5,6,,50315,1003105,skin_name_1003105,-1,,unlock_dec_jiesuo_1002706
1003202,5500,,,-1,15032,0,2,5,2|312|12,50322,1003202,skin_name_1003202,-1,,unlock_dec_jiesuo
1003302,5500,8|300,,-1,10033,0,2,6,2|312|35,50332,1003302,skin_name_1003302,-1,,unlock_dec_jiesuo
1003303,5500,79|1000,,-1,10033,0,3,6,2|312|35,50333,1003303,skin_name_1003303,-1,,unlock_dec_jiesuo
1003304,5500,6500|2000,,-1,10033,0,4,6,2|312|35,50334,1003304,skin_name_1003304,-1,,unlock_dec_jiesuo
1003305,5500,,,-1,10033,0,5,4,2|312|2,50335,1003305,skin_name_1003305,-1,,unlock_dec_jiesuo
1003306,5500,,,-1,10033,0,6,5,2|312|12,50336,1003306,skin_name_1003306,-1,,unlock_dec_jiesuo
1003402,5500,,,-1,10034,0,2,4,2|312|2,50342,1003402,skin_name_1003402,-1,,unlock_dec_jiesuo
1003502,5500,,,-1,10035,0,2,5,2|312|12,50352,1003502,skin_name_1003502,-1,,unlock_dec_jiesuo
1003503,5500,26|800,,-1,10035,0,3,6,2|312|35,50353,1003503,skin_name_1003503,-1,,unlock_dec_jiesuo
3000403,0,,,-1,30004,0,3,5,,-1,3000403,,-1,,
3000803,0,,,-1,30008,0,3,5,,-1,3000403,,-1,,
1003504,5500,21|800,,-1,10035,0,4,6,2|312|35,50354,1003504,skin_name_1003504,-1,,unlock_dec_jiesuo
3000404,0,,,-1,30004,0,4,5,,-1,3000404,,-1,,
3000804,0,,,-1,30008,0,4,5,,-1,3000404,,-1,,
1003602,5500,,,-1,10036,0,2,5,2|312|12,50362,1003602,skin_name_1003602,-1,,unlock_dec_jiesuo
1003603,5500,56|1000,,-1,10036,0,3,6,2|312|35,50363,1003603,skin_name_1003603,-1,,unlock_dec_jiesuo
1003604,5500,21|800,,-1,10036,0,4,6,2|312|35,50364,1003604,skin_name_1003604,-1,,unlock_dec_jiesuo
3000303,0,,,-1,30003,0,3,5,,-1,3000303,,-1,,
3000304,0,,,-1,30003,0,4,6,,-1,3000304,,-1,,
3000904,0,,,-1,30009,0,4,6,,-1,3000904,,-1,,
1003702,5500,,,-1,10037,0,2,4,2|312|2,50372,1003702,skin_name_1003702,-1,,unlock_dec_jiesuo
1003703,5500,64|2000,,-1,10037,0,3,6,2|312|35,50373,1003703,skin_name_1003703,-1,,unlock_dec_jiesuo
1003704,5500,,,-1,10037,0,4,5,2|312|12,50374,1003704,skin_name_1003704,-1,,unlock_dec_jiesuo
1003705,5500,15|400,,-1,10037,0,5,6,2|312|35,50375,1003705,skin_name_1003705,1004603,6500|2000,unlock_dec_jiesuo
1003706,5500,8|300,,-1,10037,0,6,6,2|312|35,50376,1003706,skin_name_1003706,-1,,unlock_dec_jiesuo
1003802,5500,,,-1,10038,0,2,5,2|312|12,50382,1003802,skin_name_1003802,-1,,unlock_dec_jiesuo
1003803,5500,21|1000,,-1,10038,0,3,6,2|312|35,50383,1003803,skin_name_1003803,-1,,unlock_dec_jiesuo
1003804,5500,20|800,,-1,10038,0,4,6,2|312|35,50384,1003804,skin_name_1003804,-1,,unlock_dec_jiesuo
1003902,5500,78|500,,-1,10039,0,2,6,2|312|35,50392,1003902,skin_name_1003902,-1,,unlock_dec_jiesuo
1003903,5500,,,-1,10039,0,3,5,2|312|12,50393,1003903,skin_name_1003903,-1,,unlock_dec_jiesuo
1003904,5500,6|800,,-1,10039,0,4,6,2|312|35,50394,1003904,skin_name_1003904,1004403,6500|2000,unlock_dec_jiesuo
1003905,5500,,,-1,10039,0,5,4,2|312|2,50395,1003905,skin_name_1003905,-1,,unlock_dec_jiesuo
1003906,5500,64|2000,,-1,10039,0,6,6,2|312|35,50396,1003906,skin_name_1003906,-1,,unlock_dec_jiesuo
1003907,5500,21|800,,-1,10039,0,7,6,2|312|35,50397,1003907,skin_name_1003907,-1,,unlock_dec_jiesuo
1004002,5500,,,-1,10040,0,2,5,2|312|12,50402,1004002,skin_name_1004002,-1,,unlock_dec_jiesuo
1004003,5500,,25|800,-1,10040,0,3,6,2|312|35,50403,1004003,skin_name_1004003,1000802,21|500,unlock_dec_jiesuo
1004004,5500,,,-1,10040,0,4,4,2|312|2,50404,1004004,skin_name_1004004,-1,,unlock_dec_jiesuo
1004102,5500,20|800,,-1,10041,0,2,6,2|312|35,50412,1004102,skin_name_1004102,-1,,unlock_dec_jiesuo
1004103,5500,6500|1200,,-1,10041,0,3,5,2|312|12,50413,1004103,skin_name_1004103,-1,,unlock_dec_jiesuo
1004104,5500,64|2000,,-1,10041,0,4,6,2|312|35,50414,1004104,skin_name_1004104,-1,,unlock_dec_jiesuo
1004105,5500,8|300,,-1,10041,0,5,6,2|312|35,50415,1004105,skin_name_1004105,-1,,unlock_dec_jiesuo
1004202,5500,26|800,,-1,10042,0,2,6,2|312|35,50422,1004202,skin_name_1004202,-1,,unlock_dec_jiesuo
1004203,5500,,,-1,10042,0,3,4,2|312|2,50423,1004203,skin_name_1004203,-1,,unlock_dec_jiesuo
