id,attrExtraList,attrRatioList,cosr,desc,desc_2,desc_parameter,desc1s,desc2s,extra_1,extra_2,extra_3,extra_4,extra_5,extra_6,fightforce,fightforce_ratio,hero_id,ratio_1,ratio_2,ratio_3,ratio_4,ratio_5,ratio_6,skill,skill_level,skill_level_new,skill_levels,skill_new,skills,special,star,star_sub
10001000,[[3|0]|[4|0]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],1,,,,[],[],[3|0],[4|0],[10|0],[5|0],[57|0],[24|0],0,1,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,0,0
10001001,[[3|7]|[4|121]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],1,,,,[],[],[3|7],[4|121],[10|0],[5|0],[57|0],[24|0],0,1.01,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,0,1
10001002,[[3|14]|[4|243]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],1,,,,[],[],[3|14],[4|243],[10|0],[5|0],[57|0],[24|0],0,1.02,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,0,2
10001003,[[3|21]|[4|365]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],1,,,,[],[],[3|21],[4|365],[10|0],[5|0],[57|0],[24|0],0,1.03,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,0,3
10001004,[[3|28]|[4|487]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],1,,,,[],[],[3|28],[4|487],[10|0],[5|0],[57|0],[24|0],0,1.05,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,0,4
10001010,[[3|54]|[4|664]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],1,[hero_star_desc_1],[hero_skill_name_1000101],1,[hero_star_desc_1],[hero_skill_name_1000101],[3|54],[4|664],[10|0],[5|0],[57|0],[24|0],0,1.09,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],1000101,2,[1],[1],[1000101],[1000101],-1,1,0
10001011,[[3|61]|[4|811]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],1,,,,[],[],[3|61],[4|811],[10|0],[5|0],[57|0],[24|0],0,1.1,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,1,1
10001012,[[3|68]|[4|957]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],1,,,,[],[],[3|68],[4|957],[10|0],[5|0],[57|0],[24|0],0,1.11,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,1,2
10001013,[[3|75]|[4|1104]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],1,,,,[],[],[3|75],[4|1104],[10|0],[5|0],[57|0],[24|0],0,1.12,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,1,3
10001014,[[3|82]|[4|1251]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],1,,,,[],[],[3|82],[4|1251],[10|0],[5|0],[57|0],[24|0],0,1.13,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],-1,-1,,[],,[],-1,1,4
10001020,[[3|108]|[4|1514]|[10|0]|[5|0]|[57|0]|[24|0]],[[3|1]|[4|1]|[10|1]|[5|1]|[57|1]|[24|1]],2,[hero_star_desc_1],[hero_skill_name_1000102],1,[hero_star_desc_1],[hero_skill_name_1000102],[3|108],[4|1514],[10|0],[5|0],[57|0],[24|0],0,1.17,10001,[3|1],[4|1],[10|1],[5|1],[57|1],[24|1],1000102,2,[1],[1],[1000102],[1000102],-1,2,0
