id,group_id,hero_attr,heroAttrs,level,player_attr,playerAttrs,power
1001301,10013,,[],1,[1012|80],[1012|80],528
1002301,10023,,[],1,[1013|80],[1013|80],528
1003301,10033,,[],1,[1014|80],[1014|80],528
1004301,10043,,[],1,[1072|80],[1072|80],528
1005301,10053,,[],1,[1004|80],[1004|80],528
1006301,10063,,[],1,[1005|80],[1005|80],528
1007301,10073,,[],1,[1006|80],[1006|80],528
1008301,10083,,[],1,[1001|60],[1001|60],528
1009301,10093,,[],1,[1033|80],[1033|80],528
1010301,10103,,[],1,[1034|80],[1034|80],528
1011301,10113,,[],1,[1022|80],[1022|80],528
1012301,10123,,[],1,[1016|80],[1016|80],528
2001301,20013,[10103|200],[10103|200],1,,[],528
2002301,20023,[10103|200],[10103|200],1,,[],528
2003301,20033,[8|80],[8|80],1,,[],528
2004301,20043,[10|160],[10|160],1,,[],528
2005301,20053,[9|80],[9|80],1,,[],528
2006301,20063,[12|80],[12|80],1,,[],528
2007301,20073,[13|80],[13|80],1,,[],528
2008301,20083,[16|80],[16|80],1,,[],528
2009301,20093,[17|80],[17|80],1,,[],528
2010301,20103,[20|120],[20|120],1,,[],528
2011301,20113,[21|120],[21|120],1,,[],528
2012301,20123,[37|120],[37|120],1,,[],528
2013301,20133,[38|120],[38|120],1,,[],528
2014301,20143,[15|50],[15|50],1,,[],528
2015301,20153,[33|80],[33|80],1,,[],528
2016301,20163,[34|80],[34|80],1,,[],528
2017301,20173,,[],1,[1002|120],[1002|120],528
2018301,20183,,[],1,[1076|120],[1076|120],528
2019301,20193,,[],1,[1018|40],[1018|40],528
2020301,20203,,[],1,[1093|8000],[1093|8000],528
2021301,20213,,[],1,[1093|8000],[1093|8000],528
2022301,20223,,[],1,[1061|40],[1061|40],528
2023301,20233,,[],1,[57|10],[57|10],528
2024301,20243,,[],1,[1075|1000],[1075|1000],528
2025301,20253,[10104|600],[10104|600],1,,[],528
1001302,10013,,[],2,[1012|160],[1012|160],1056
1002302,10023,,[],2,[1013|160],[1013|160],1056
1003302,10033,,[],2,[1014|160],[1014|160],1056
1004302,10043,,[],2,[1072|160],[1072|160],1056
1005302,10053,,[],2,[1004|160],[1004|160],1056
1006302,10063,,[],2,[1005|160],[1005|160],1056
1007302,10073,,[],2,[1006|160],[1006|160],1056
1008302,10083,,[],2,[1001|120],[1001|120],1056
1009302,10093,,[],2,[1033|160],[1033|160],1056
1010302,10103,,[],2,[1034|160],[1034|160],1056
1011302,10113,,[],2,[1022|160],[1022|160],1056
1012302,10123,,[],2,[1016|160],[1016|160],1056
2001302,20013,[10103|400],[10103|400],2,,[],1056
2002302,20023,[10103|400],[10103|400],2,,[],1056
2003302,20033,[8|160],[8|160],2,,[],1056
2004302,20043,[10|320],[10|320],2,,[],1056
2005302,20053,[9|160],[9|160],2,,[],1056
2006302,20063,[12|160],[12|160],2,,[],1056
2007302,20073,[13|160],[13|160],2,,[],1056
2008302,20083,[16|160],[16|160],2,,[],1056
2009302,20093,[17|160],[17|160],2,,[],1056
2010302,20103,[20|240],[20|240],2,,[],1056
2011302,20113,[21|240],[21|240],2,,[],1056
2012302,20123,[37|240],[37|240],2,,[],1056
2013302,20133,[38|240],[38|240],2,,[],1056
2014302,20143,[15|100],[15|100],2,,[],1056
2015302,20153,[33|160],[33|160],2,,[],1056
2016302,20163,[34|160],[34|160],2,,[],1056
2017302,20173,,[],2,[1002|240],[1002|240],1056
2018302,20183,,[],2,[1076|240],[1076|240],1056
2019302,20193,,[],2,[1018|80],[1018|80],1056
2020302,20203,,[],2,[1093|16000],[1093|16000],1056
2021302,20213,,[],2,[1093|16000],[1093|16000],1056
2022302,20223,,[],2,[1061|80],[1061|80],1056
2023302,20233,,[],2,[57|20],[57|20],1056
2024302,20243,,[],2,[1075|2000],[1075|2000],1056
2025302,20253,[10104|1200],[10104|1200],2,,[],1056
1001303,10013,,[],3,[1012|240],[1012|240],1584
1002303,10023,,[],3,[1013|240],[1013|240],1584
1003303,10033,,[],3,[1014|240],[1014|240],1584
1004303,10043,,[],3,[1072|240],[1072|240],1584
1005303,10053,,[],3,[1004|240],[1004|240],1584
1006303,10063,,[],3,[1005|240],[1005|240],1584
1007303,10073,,[],3,[1006|240],[1006|240],1584
1008303,10083,,[],3,[1001|180],[1001|180],1584
1009303,10093,,[],3,[1033|240],[1033|240],1584
1010303,10103,,[],3,[1034|240],[1034|240],1584
1011303,10113,,[],3,[1022|240],[1022|240],1584
1012303,10123,,[],3,[1016|240],[1016|240],1584
2001303,20013,[10103|600],[10103|600],3,,[],1584
2002303,20023,[10103|600],[10103|600],3,,[],1584
2003303,20033,[8|240],[8|240],3,,[],1584
2004303,20043,[10|480],[10|480],3,,[],1584
2005303,20053,[9|240],[9|240],3,,[],1584
2006303,20063,[12|240],[12|240],3,,[],1584
2007303,20073,[13|240],[13|240],3,,[],1584
2008303,20083,[16|240],[16|240],3,,[],1584
2009303,20093,[17|240],[17|240],3,,[],1584
2010303,20103,[20|360],[20|360],3,,[],1584
2011303,20113,[21|360],[21|360],3,,[],1584
