id,cost,hero_id,slot,talent_dec,talent_group,talent_icon,talent_name,talent_quality,upgrade_cost
1000101,[999|2|200],10001,1,hero_talent_des_101,30101,talent_2001,talent_name_301,1,[2|10001|10]
1000102,[999|2|500],10001,2,hero_talent_des_101,30201,talent_2025,talent_name_302,1,[2|10001|10]
1000103,[999|2|1000],10001,3,hero_talent_des_101,20255,talent_2001,talent_name_201,1,[2|10001|10]
1000104,[999|2|2000],10001,4,hero_talent_des_101,30301,talent_2025,talent_name_303,1,[2|10001|10]
1000201,[999|2|200],10002,1,hero_talent_des_101,30101,talent_2001,talent_name_301,1,[2|10002|10]
1000202,[999|2|500],10002,2,hero_talent_des_101,30201,talent_2025,talent_name_302,1,[2|10002|10]
1000203,[999|2|1000],10002,3,hero_talent_des_101,20255,talent_2001,talent_name_201,1,[2|10002|10]
1000204,[999|2|2000],10002,4,hero_talent_des_101,30301,talent_2025,talent_name_303,1,[2|10002|10]
1000301,[999|2|200],10003,1,hero_talent_des_101,40101,talent_2001,talent_name_301,2,[2|10003|10]
1000302,[999|2|500],10003,2,hero_talent_des_101,40201,talent_2025,talent_name_302,2,[2|10003|10]
1000303,[999|2|1000],10003,3,hero_talent_des_102,10114,talent_1011,talent_name_111,2,[2|10003|10]
1000304,[999|2|2000],10003,4,hero_talent_des_101,40301,talent_2025,talent_name_303,2,[2|10003|10]
1000401,[999|2|200],10004,1,hero_talent_des_101,40101,talent_2001,talent_name_301,2,[2|10004|10]
1000402,[999|2|500],10004,2,hero_talent_des_101,40201,talent_2025,talent_name_302,2,[2|10004|10]
1000403,[999|2|1000],10004,3,hero_talent_des_102,10124,talent_1012,talent_name_112,2,[2|10004|10]
1000404,[999|2|2000],10004,4,hero_talent_des_101,40301,talent_2025,talent_name_303,2,[2|10004|10]
1000501,[999|2|200],10005,1,hero_talent_des_101,40101,talent_2001,talent_name_301,2,[2|10005|10]
1000502,[999|2|500],10005,2,hero_talent_des_101,40201,talent_2025,talent_name_302,2,[2|10005|10]
1000503,[999|2|1000],10005,3,hero_talent_des_102,10114,talent_1011,talent_name_111,2,[2|10005|10]
1000504,[999|2|2000],10005,4,hero_talent_des_101,40301,talent_2025,talent_name_303,2,[2|10005|10]
1000601,[999|2|200],10006,1,hero_talent_des_101,30101,talent_2001,talent_name_301,1,[2|10006|10]
1000602,[999|2|500],10006,2,hero_talent_des_101,30201,talent_2025,talent_name_302,1,[2|10006|10]
1000603,[999|2|1000],10006,3,hero_talent_des_101,20255,talent_2001,talent_name_201,1,[2|10006|10]
1000604,[999|2|2000],10006,4,hero_talent_des_101,30301,talent_2025,talent_name_303,1,[2|10006|10]
1000701,[999|2|200],10007,1,hero_talent_des_101,30101,talent_2001,talent_name_301,1,[2|10007|10]
1000702,[999|2|500],10007,2,hero_talent_des_101,30201,talent_2025,talent_name_302,1,[2|10007|10]
1000703,[999|2|1000],10007,3,hero_talent_des_101,20255,talent_2001,talent_name_201,1,[2|10007|10]
1000704,[999|2|2000],10007,4,hero_talent_des_101,30301,talent_2025,talent_name_303,1,[2|10007|10]
1000801,[999|2|200],10008,1,hero_talent_des_101,50101,talent_2001,talent_name_301,3,[2|10008|10]
1000802,[999|2|500],10008,2,hero_talent_des_101,50201,talent_2025,talent_name_302,3,[2|10008|10]
1000803,[999|2|1000],10008,3,hero_talent_des_101,20155,talent_2015,talent_name_215,3,[2|10008|10]
1000804,[999|2|2000],10008,4,hero_talent_des_101,50301,talent_2025,talent_name_303,3,[2|10008|10]
1000901,[999|2|200],10009,1,hero_talent_des_101,30101,talent_2001,talent_name_201,1,[2|10009|10]
1000902,[999|2|500],10009,2,hero_talent_des_101,30201,talent_2025,talent_name_225,1,[2|10009|10]
1000903,[999|2|1000],10009,3,hero_talent_des_101,20255,talent_2001,talent_name_201,1,[2|10009|10]
1000904,[999|2|2000],10009,4,hero_talent_des_101,30301,talent_2025,talent_name_303,1,[2|10009|10]
1001001,[999|2|200],10010,1,hero_talent_des_101,30101,talent_2001,talent_name_201,1,[2|10010|10]
1001002,[999|2|500],10010,2,hero_talent_des_101,30201,talent_2025,talent_name_225,1,[2|10010|10]
1001003,[999|2|1000],10010,3,hero_talent_des_101,20255,talent_2001,talent_name_201,1,[2|10010|10]
1001004,[999|2|2000],10010,4,hero_talent_des_101,30301,talent_2025,talent_name_303,1,[2|10010|10]
1001101,[999|2|200],10011,1,hero_talent_des_101,40101,talent_2001,talent_name_301,2,[2|10011|10]
1001102,[999|2|500],10011,2,hero_talent_des_101,40201,talent_2025,talent_name_302,2,[2|10011|10]
1001103,[999|2|1000],10011,3,hero_talent_des_104,10064,talent_1006,talent_name_106,2,[2|10011|10]
1001104,[999|2|2000],10011,4,hero_talent_des_101,40301,talent_2025,talent_name_303,2,[2|10011|10]
1001201,[999|2|200],10012,1,hero_talent_des_101,50101,talent_2001,talent_name_301,3,[2|10008|10]
1001202,[999|2|500],10012,2,hero_talent_des_101,50201,talent_2025,talent_name_302,3,[2|10008|10]
1001203,[999|2|1000],10012,3,hero_talent_des_104,20175,talent_2017,talent_name_217,3,[2|10012|10]
1001204,[999|2|2000],10012,4,hero_talent_des_101,50301,talent_2025,talent_name_303,3,[2|10008|10]
1001301,[999|2|200],10013,1,hero_talent_des_101,40101,talent_2001,talent_name_301,2,[2|10013|10]
1001302,[999|2|500],10013,2,hero_talent_des_101,40201,talent_2025,talent_name_302,2,[2|10013|10]
1001303,[999|2|1000],10013,3,hero_talent_des_102,10114,talent_1011,talent_name_111,2,[2|10013|10]
1001304,[999|2|2000],10013,4,hero_talent_des_101,40301,talent_2025,talent_name_303,2,[2|10013|10]
1001401,[999|2|200],10014,1,hero_talent_des_101,40101,talent_2001,talent_name_301,2,[2|10014|10]
1001402,[999|2|500],10014,2,hero_talent_des_101,40201,talent_2025,talent_name_302,2,[2|10014|10]
1001403,[999|2|1000],10014,3,hero_talent_des_104,10074,talent_1007,talent_name_107,2,[2|10014|10]
1001404,[999|2|2000],10014,4,hero_talent_des_101,40301,talent_2025,talent_name_303,2,[2|10014|10]
1001501,[999|2|200],10015,1,hero_talent_des_101,40101,talent_2001,talent_name_301,2,[2|10015|10]
1001502,[999|2|500],10015,2,hero_talent_des_101,40201,talent_2025,talent_name_302,2,[2|10015|10]
