id,citybuild,hero_num,monthcarc_disable,name,recall_unlock_desc,recall_unlock_tech,recallUnlockTech,scene,task_guide,task_guide_num,taskGuideNumArr,type,unlimit_artifact_troopskin,unlock_desc,unlock_level,unlock_param,unlock_param2,unlock_type,unlock_type2
1,-1,6,-1,UI_hero_team_1,,,,-1,-1,,[],0,-1,UI_hero_team_unlock_desc_1,0,1,-1,1,-1
2,130,6,-1,UI_hero_team_1,UI_hero_team_pos_callback_tech,[3070201|10070201|1860001|21700901],[3070201|10070201|1860001|21700901],-1,-1,,[],5,-1,UI_hero_team_unlock_desc_1,0,1,-1,1,-1
3,131,6,-1,UI_hero_team_2,UI_hero_team_pos_callback_tech,[4070201|10070201|1860001|21700901],[4070201|10070201|1860001|21700901],-1,-1,,[],5,-1,UI_hero_team_unlock_desc_3,1,10,-1,1,-1
4,132,6,-1,UI_hero_team_3,UI_hero_team_pos_callback_tech,[5070201|10070201|1860001|21700901],[5070201|10070201|1860001|21700901],-1,-1,,[],5,-1,UI_hero_team_unlock_desc_5,1,25,-1,1,-1
5,133,6,1,UI_hero_team_month,UI_hero_team_pos_callback_tech,[6070201|10070201|1860001|21700901],[6070201|10070201|1860001|21700901],0,12,[212],[212],5,-1,UI_hero_team_unlock_desc_2,1,11130001,-1,5,3
6,-1,6,-1,UI_hero_team_6,,,,-1,-1,,[],0,-1,,999,999,-1,1,-1
7,-1,6,-1,UI_hero_team_7,,,,-1,-1,,[],1,1,UI_hero_team_unlock_desc_1,1,1,-1,1,-1
29,-1,6,-1,UI_hero_team_7,,,,-1,-1,,[],1,1,UI_hero_team_unlock_desc_1,1,1,-1,1,-1
30,-1,6,-1,UI_hero_team_7,,,,-1,-1,,[],1,1,UI_hero_team_unlock_desc_1,1,1,-1,1,-1
8,-1,6,-1,UI_hero_team_9,,,,-1,-1,,[],3,-1,,1,1,-1,1,-1
9,-1,6,-1,UI_hero_team_8,,,,-1,-1,,[],4,-1,,1,1,-1,1,-1
11,-1,6,-1,,,,,-1,-1,,[],7,-1,,1,1,-1,1,-1
12,-1,6,-1,,,,,-1,-1,,[],2,-1,,1,1,-1,1,-1
13,-1,6,-1,,,,,-1,-1,,[],2,-1,,1,1,-1,1,-1
14,-1,6,-1,UI_hero_team_1,UI_hero_team_pos_callback_tech,[3070201|10070201|1860001|21700901],[3070201|10070201|1860001|21700901],-1,-1,,[],8,-1,UI_hero_team_unlock_desc_1,1,1,-1,1,-1
15,-1,6,-1,UI_hero_team_2,UI_hero_team_pos_callback_tech,[4070201|10070201|1860001|21700901],[4070201|10070201|1860001|21700901],-1,-1,,[],8,-1,UI_hero_team_unlock_desc_3,1,10,-1,1,-1
16,-1,6,-1,UI_hero_team_3,UI_hero_team_pos_callback_tech,[5070201|10070201|1860001|21700901],[5070201|10070201|1860001|21700901],-1,-1,,[],8,-1,UI_hero_team_unlock_desc_5,1,25,-1,1,-1
