id,hero_team,pos_id,unlock_desc,unlock_item,unlock_param,unlock_param_2,unlock_type,unlock_type_2,unlockTypeArr
1,1,1,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
2,1,2,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
3,1,3,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
4,1,4,hero_team_pos_unlock_building,-1,117002,,1,-1,[1|-1|5]
5,1,5,UI_hero_team_pos_unlock_5,-1,117007,997|996|10000|995|896|895|885|886|875|876|865|866|766,1,2,[1|2|5]
6,1,6,hero_team_pos_unlock_building,-1,117012,,1,-1,[1|-1|5]
21,2,1,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
22,2,2,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
23,2,3,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
24,2,4,hero_team_pos_unlock_building,-1,117002,,1,-1,[1|-1|5]
25,2,5,UI_hero_team_pos_unlock_5,-1,117007,997|996|10000|995|896|895|885|886|875|876|865|866|766,1,2,[1|2|5]
26,2,6,hero_team_pos_unlock_building,-1,117012,,1,-1,[1|-1|5]
31,3,1,hero_team_pos_unlock_building,-1,117010,,1,-1,[1|-1|5]
32,3,2,hero_team_pos_unlock_building,-1,117010,,1,-1,[1|-1|5]
33,3,3,hero_team_pos_unlock_building,-1,117010,,1,-1,[1|-1|5]
34,3,4,hero_team_pos_unlock_building,-1,117014,,1,-1,[1|-1|5]
35,3,5,hero_team_pos_unlock_building,-1,117016,,1,-1,[1|-1|5]
36,3,6,hero_team_pos_unlock_building,-1,117018,,1,-1,[1|-1|5]
37,4,1,hero_team_pos_unlock_building,-1,117025,,1,-1,[1|-1|5]
38,4,2,hero_team_pos_unlock_building,-1,117025,,1,-1,[1|-1|5]
39,4,3,hero_team_pos_unlock_building,-1,117025,,1,-1,[1|-1|5]
40,4,4,hero_team_pos_unlock_building,-1,117027,,1,-1,[1|-1|5]
41,4,5,hero_team_pos_unlock_building,-1,117029,,1,-1,[1|-1|5]
42,4,6,hero_team_pos_unlock_building,-1,117031,,1,-1,[1|-1|5]
43,5,1,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
44,5,2,hero_team_pos_unlock_building,-1,-1,,4,-1,[4|-1|5]
