id,cn,en,jp,kr,languageAudioMap
10001,[CN/Warrior_1_CN|CN/Warrior_2_CN],[EN/Warrior_1_EN|EN/Warrior_2_EN],[JP/Warrior_1_JP|JP/Warrior_2_JP],[KR/Warrior_1_KR|KR/Warrior_2_KR],{en:[EN/Warrior_1_EN|EN/Warrior_2_EN]|kr:[KR/Warrior_1_KR|KR/Warrior_2_KR]|jp:[JP/Warrior_1_JP|JP/Warrior_2_JP]|cn:[CN/Warrior_1_CN|CN/Warrior_2_CN]}
10002,[CN/Archer_1_CN|CN/Archer_2_CN],[EN/Archer_1_EN|EN/Archer_2_EN],[JP/Archer_1_JP|JP/Archer_2_JP],[KR/Archer_1_KR|KR/Archer_2_KR],{en:[EN/Archer_1_EN|EN/Archer_2_EN]|kr:[KR/Archer_1_KR|KR/Archer_2_KR]|jp:[JP/Archer_1_JP|JP/Archer_2_JP]|cn:[CN/Archer_1_CN|CN/Archer_2_CN]}
10003,[CN/Priest_1_CN|CN/Priest_2_CN],[EN/Priest_1_EN|EN/Priest_2_EN],[JP/Priest_1_JP|JP/Priest_2_JP],[KR/Priest_1_KR|KR/Priest_2_KR],{en:[EN/Priest_1_EN|EN/Priest_2_EN]|kr:[KR/Priest_1_KR|KR/Priest_2_KR]|jp:[JP/Priest_1_JP|JP/Priest_2_JP]|cn:[CN/Priest_1_CN|CN/Priest_2_CN]}
10004,[CN/Knight_1_CN|CN/Knight_2_CN],[EN/Knight_1_EN|EN/Knight_2_EN],[JP/Knight_1_JP|JP/Knight_2_JP],[KR/Knight_1_KR|KR/Knight_2_KR],{en:[EN/Knight_1_EN|EN/Knight_2_EN]|kr:[KR/Knight_1_KR|KR/Knight_2_KR]|jp:[JP/Knight_1_JP|JP/Knight_2_JP]|cn:[CN/Knight_1_CN|CN/Knight_2_CN]}
10005,[CN/Dancer_1_CN|CN/Dancer_2_CN],[EN/Dancer_1_EN|EN/Dancer_2_EN],[JP/Dancer_1_JP|JP/Dancer_2_JP],[KR/Dancer_1_KR|KR/Dancer_2_KR],{en:[EN/Dancer_1_EN|EN/Dancer_2_EN]|kr:[KR/Dancer_1_KR|KR/Dancer_2_KR]|jp:[JP/Dancer_1_JP|JP/Dancer_2_JP]|cn:[CN/Dancer_1_CN|CN/Dancer_2_CN]}
10006,[CN/Mage_1_CN|CN/Mage_2_CN],[EN/Mage_1_EN|EN/Mage_2_EN],[JP/Mage_1_JP|JP/Mage_2_JP],[KR/Mage_1_KR|KR/Mage_2_KR],{en:[EN/Mage_1_EN|EN/Mage_2_EN]|kr:[KR/Mage_1_KR|KR/Mage_2_KR]|jp:[JP/Mage_1_JP|JP/Mage_2_JP]|cn:[CN/Mage_1_CN|CN/Mage_2_CN]}
10007,[CN/Alchemist_1_CN|CN/Alchemist_2_CN],[EN/Alchemist_1_EN|EN/Alchemist_2_EN],[JP/Alchemist_1_JP|JP/Alchemist_2_JP],[KR/Alchemist_1_KR|KR/Alchemist_2_KR],{en:[EN/Alchemist_1_EN|EN/Alchemist_2_EN]|kr:[KR/Alchemist_1_KR|KR/Alchemist_2_KR]|jp:[JP/Alchemist_1_JP|JP/Alchemist_2_JP]|cn:[CN/Alchemist_1_CN|CN/Alchemist_2_CN]}
10008,[CN/Druid_1_CN|CN/Druid_2_CN],[EN/Druid_1_EN|EN/Druid_2_EN],[JP/Druid_1_JP|JP/Druid_2_JP],[KR/Druid_1_KR|KR/Druid_2_KR],{en:[EN/Druid_1_EN|EN/Druid_2_EN]|kr:[KR/Druid_1_KR|KR/Druid_2_KR]|jp:[JP/Druid_1_JP|JP/Druid_2_JP]|cn:[CN/Druid_1_CN|CN/Druid_2_CN]}
10009,[CN/Blacksmith_1_CN|CN/Blacksmith_2_CN],[EN/Blacksmith_1_EN|EN/Blacksmith_2_EN],[JP/Blacksmith_1_JP|JP/Blacksmith_2_JP],[KR/Blacksmith_1_KR|KR/Blacksmith_2_KR],{en:[EN/Blacksmith_1_EN|EN/Blacksmith_2_EN]|kr:[KR/Blacksmith_1_KR|KR/Blacksmith_2_KR]|jp:[JP/Blacksmith_1_JP|JP/Blacksmith_2_JP]|cn:[CN/Blacksmith_1_CN|CN/Blacksmith_2_CN]}
10010,[CN/Guard_1_CN|CN/Guard_2_CN],[EN/Guard_1_EN|EN/Guard_2_EN],[JP/Guard_1_JP|JP/Guard_2_JP],[KR/Guard_1_KR|KR/Guard_2_KR],{en:[EN/Guard_1_EN|EN/Guard_2_EN]|kr:[KR/Guard_1_KR|KR/Guard_2_KR]|jp:[JP/Guard_1_JP|JP/Guard_2_JP]|cn:[CN/Guard_1_CN|CN/Guard_2_CN]}
10011,[CN/Thief_1_CN|CN/Thief_2_CN],[EN/Thief_1_EN|EN/Thief_2_EN],[JP/Thief_1_JP|JP/Thief_2_JP],[KR/Thief_1_KR|KR/Thief_2_KR],{en:[EN/Thief_1_EN|EN/Thief_2_EN]|kr:[KR/Thief_1_KR|KR/Thief_2_KR]|jp:[JP/Thief_1_JP|JP/Thief_2_JP]|cn:[CN/Thief_1_CN|CN/Thief_2_CN]}
10012,[CN/Pathfinder_1_CN|CN/Pathfinder_2_CN],[EN/Pathfinder_1_EN|EN/Pathfinder_2_EN],[JP/Pathfinder_1_JP|JP/Pathfinder_2_JP],[KR/Pathfinder_1_KR|KR/Pathfinder_2_KR],{en:[EN/Pathfinder_1_EN|EN/Pathfinder_2_EN]|kr:[KR/Pathfinder_1_KR|KR/Pathfinder_2_KR]|jp:[JP/Pathfinder_1_JP|JP/Pathfinder_2_JP]|cn:[CN/Pathfinder_1_CN|CN/Pathfinder_2_CN]}
10013,[CN/ElfShaman_1_CN|CN/ElfShaman_2_CN],[EN/ElfShaman_1_EN|EN/ElfShaman_2_EN],[JP/ElfShaman_1_JP|JP/ElfShaman_2_JP],[KR/ElfShaman_1_KR|KR/ElfShaman_2_KR],{en:[EN/ElfShaman_1_EN|EN/ElfShaman_2_EN]|kr:[KR/ElfShaman_1_KR|KR/ElfShaman_2_KR]|jp:[JP/ElfShaman_1_JP|JP/ElfShaman_2_JP]|cn:[CN/ElfShaman_1_CN|CN/ElfShaman_2_CN]}
10014,[CN/Ranger_1_CN|CN/Ranger_2_CN],[EN/Ranger_1_EN|EN/Ranger_2_EN],[JP/Ranger_1_JP|JP/Ranger_2_JP],[KR/Ranger_1_KR|KR/Ranger_2_KR],{en:[EN/Ranger_1_EN|EN/Ranger_2_EN]|kr:[KR/Ranger_1_KR|KR/Ranger_2_KR]|jp:[JP/Ranger_1_JP|JP/Ranger_2_JP]|cn:[CN/Ranger_1_CN|CN/Ranger_2_CN]}
10015,[CN/Criminal_1_CN|CN/Criminal_2_CN],[EN/Criminal_1_EN|EN/Criminal_2_EN],[JP/Criminal_1_JP|JP/Criminal_2_JP],[KR/Criminal_1_KR|KR/Criminal_2_KR],{en:[EN/Criminal_1_EN|EN/Criminal_2_EN]|kr:[KR/Criminal_1_KR|KR/Criminal_2_KR]|jp:[JP/Criminal_1_JP|JP/Criminal_2_JP]|cn:[CN/Criminal_1_CN|CN/Criminal_2_CN]}
10016,[CN/Fighter_1_CN|CN/Fighter_2_CN],[EN/Fighter_1_EN|EN/Fighter_2_EN],[JP/Fighter_1_JP|JP/Fighter_2_JP],[KR/Fighter_1_KR|KR/Fighter_2_KR],{en:[EN/Fighter_1_EN|EN/Fighter_2_EN]|kr:[KR/Fighter_1_KR|KR/Fighter_2_KR]|jp:[JP/Fighter_1_JP|JP/Fighter_2_JP]|cn:[CN/Fighter_1_CN|CN/Fighter_2_CN]}
10017,[CN/Barbarian_1_CN|CN/Barbarian_2_CN],[EN/Barbarian_1_EN|EN/Barbarian_2_EN],[JP/Barbarian_1_JP|JP/Barbarian_2_JP],[KR/Barbarian_1_KR|KR/Barbarian_2_KR],{en:[EN/Barbarian_1_EN|EN/Barbarian_2_EN]|kr:[KR/Barbarian_1_KR|KR/Barbarian_2_KR]|jp:[JP/Barbarian_1_JP|JP/Barbarian_2_JP]|cn:[CN/Barbarian_1_CN|CN/Barbarian_2_CN]}
10018,[CN/KeeperSecrets_1_CN|CN/KeeperSecrets_2_CN],[EN/KeeperSecrets_1_EN|EN/KeeperSecrets_2_EN],[JP/KeeperSecrets_1_JP|JP/KeeperSecrets_2_JP],[KR/KeeperSecrets_1_KR|KR/KeeperSecrets_2_KR],{en:[EN/KeeperSecrets_1_EN|EN/KeeperSecrets_2_EN]|kr:[KR/KeeperSecrets_1_KR|KR/KeeperSecrets_2_KR]|jp:[JP/KeeperSecrets_1_JP|JP/KeeperSecrets_2_JP]|cn:[CN/KeeperSecrets_1_CN|CN/KeeperSecrets_2_CN]}
10019,[CN/TreantGuardian_1_CN|CN/TreantGuardian_2_CN],[EN/TreantGuardian_1_EN|EN/TreantGuardian_2_EN],[JP/TreantGuardian_1_JP|JP/TreantGuardian_2_JP],[KR/TreantGuardian_1_KR|KR/TreantGuardian_2_KR],{en:[EN/TreantGuardian_1_EN|EN/TreantGuardian_2_EN]|kr:[KR/TreantGuardian_1_KR|KR/TreantGuardian_2_KR]|jp:[JP/TreantGuardian_1_JP|JP/TreantGuardian_2_JP]|cn:[CN/TreantGuardian_1_CN|CN/TreantGuardian_2_CN]}
10020,[CN/SwordsInstructor_1_CN|CN/SwordsInstructor_2_CN],[EN/SwordsInstructor_1_EN|EN/SwordsInstructor_2_EN],[JP/SwordsInstructor_1_JP|JP/SwordsInstructor_2_JP],[KR/SwordsInstructor_1_KR|KR/SwordsInstructor_2_KR],{en:[EN/SwordsInstructor_1_EN|EN/SwordsInstructor_2_EN]|kr:[KR/SwordsInstructor_1_KR|KR/SwordsInstructor_2_KR]|jp:[JP/SwordsInstructor_1_JP|JP/SwordsInstructor_2_JP]|cn:[CN/SwordsInstructor_1_CN|CN/SwordsInstructor_2_CN]}
10021,[CN/Watcher_1_CN|CN/Watcher_2_CN],[EN/Watcher_1_EN|EN/Watcher_2_EN],[JP/Watcher_1_JP|JP/Watcher_2_JP],[KR/Watcher_1_KR|KR/Watcher_2_KR],{en:[EN/Watcher_1_EN|EN/Watcher_2_EN]|kr:[KR/Watcher_1_KR|KR/Watcher_2_KR]|jp:[JP/Watcher_1_JP|JP/Watcher_2_JP]|cn:[CN/Watcher_1_CN|CN/Watcher_2_CN]}
10022,[CN/Headhunter_1_CN|CN/Headhunter_2_CN],[EN/Headhunter_1_EN|EN/Headhunter_2_EN],[JP/Headhunter_1_JP|JP/Headhunter_2_JP],[KR/Headhunter_1_KR|KR/Headhunter_2_KR],{en:[EN/Headhunter_1_EN|EN/Headhunter_2_EN]|kr:[KR/Headhunter_1_KR|KR/Headhunter_2_KR]|jp:[JP/Headhunter_1_JP|JP/Headhunter_2_JP]|cn:[CN/Headhunter_1_CN|CN/Headhunter_2_CN]}
10023,[CN/WildernessHunter_1_CN|CN/WildernessHunter_2_CN],[EN/WildernessHunter_1_EN|EN/WildernessHunter_2_EN],[JP/WildernessHunter_1_JP|JP/WildernessHunter_2_JP],[KR/WildernessHunter_1_KR|KR/WildernessHunter_2_KR],{en:[EN/WildernessHunter_1_EN|EN/WildernessHunter_2_EN]|kr:[KR/WildernessHunter_1_KR|KR/WildernessHunter_2_KR]|jp:[JP/WildernessHunter_1_JP|JP/WildernessHunter_2_JP]|cn:[CN/WildernessHunter_1_CN|CN/WildernessHunter_2_CN]}
10024,[CN/Astrologer_1_CN|CN/Astrologer_2_CN],[EN/Astrologer_1_EN|EN/Astrologer_2_EN],[JP/Astrologer_1_JP|JP/Astrologer_2_JP],[KR/Astrologer_1_KR|KR/Astrologer_2_KR],{en:[EN/Astrologer_1_EN|EN/Astrologer_2_EN]|kr:[KR/Astrologer_1_KR|KR/Astrologer_2_KR]|jp:[JP/Astrologer_1_JP|JP/Astrologer_2_JP]|cn:[CN/Astrologer_1_CN|CN/Astrologer_2_CN]}
10025,[CN/Pyromancer_1_CN|CN/Pyromancer_2_CN],[EN/Pyromancer_1_EN|EN/Pyromancer_2_EN],[JP/Pyromancer_1_JP|JP/Pyromancer_2_JP],[KR/Pyromancer_1_KR|KR/Pyromancer_2_KR],{en:[EN/Pyromancer_1_EN|EN/Pyromancer_2_EN]|kr:[KR/Pyromancer_1_KR|KR/Pyromancer_2_KR]|jp:[JP/Pyromancer_1_JP|JP/Pyromancer_2_JP]|cn:[CN/Pyromancer_1_CN|CN/Pyromancer_2_CN]}
10026,[CN/StoneGiant_1_CN|CN/StoneGiant_2_CN],[EN/StoneGiant_1_EN|EN/StoneGiant_2_EN],[JP/StoneGiant_1_JP|JP/StoneGiant_2_JP],[KR/StoneGiant_1_KR|KR/StoneGiant_2_KR],{en:[EN/StoneGiant_1_EN|EN/StoneGiant_2_EN]|kr:[KR/StoneGiant_1_KR|KR/StoneGiant_2_KR]|jp:[JP/StoneGiant_1_JP|JP/StoneGiant_2_JP]|cn:[CN/StoneGiant_1_CN|CN/StoneGiant_2_CN]}
