id,exchange,exhibition,group,order,reward,reward2,type,value
1,-1,[bg_LuckyBox_blue|bg_LuckyBox_blue|bg_LuckyBox_blue],1,1,408144000,-1,1,[0|0|0]
2,408144001,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,2,408144002,408144003,1,[2625|0|0]
3,408144004,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,3,408144005,408144006,1,[2422|0|0]
4,408144007,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,4,408144008,408144009,1,[2421|0|0]
5,408144010,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,5,408144011,408144012,1,[2196|0|0]
6,408144101,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,2,408144102,408144103,1,[3226|0|0]
7,408144104,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,3,408144105,408144106,1,[2802|0|0]
8,408144107,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,4,408144108,408144109,1,[2238|0|0]
9,408144110,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,5,408144111,408144112,1,[2050|0|0]
10,408144201,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],4,2,408144202,408144203,1,[2104|0|0]
11,408144204,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],4,3,408144205,408144206,1,[2102|0|0]
12,408144207,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],4,4,408144208,408144209,1,[2000|0|0]
13,408144210,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],4,5,408144211,408144212,1,[1860|0|0]
14,-1,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],1,1,408144000,-1,2,[0|0|0]
15,408144004,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,2,408144005,408144006,2,[2422|0|0]
16,408144007,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,3,408144008,408144009,2,[2421|0|0]
17,408144010,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,4,408144011,408144012,2,[2196|0|0]
18,408144013,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,5,408144014,408144015,2,[2196|0|0]
19,408144104,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,2,408144105,408144106,2,[2802|0|0]
20,408144107,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,3,408144108,408144109,2,[2238|0|0]
21,408144110,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,4,408144111,408144112,2,[2050|0|0]
22,408144113,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,5,408144114,408144115,2,[2050|0|0]
23,408144204,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],4,2,408144205,408144206,2,[2102|0|0]
24,408144207,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],4,3,408144208,408144209,2,[2000|0|0]
25,408144210,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],4,4,408144211,408144212,2,[1860|0|0]
26,408144213,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],4,5,408144214,408144215,2,[1860|0|0]
27,-1,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],1,1,408144000,-1,3,[0|0|0]
28,408144010,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,2,408144011,408144012,3,[2196|0|0]
29,408144013,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,3,408144014,408144015,3,[2196|0|0]
30,408144014,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,4,408144014,408144015,3,[2196|0|0]
31,408144015,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,5,408144014,408144015,3,[2196|0|0]
32,408144110,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,2,408144111,408144112,3,[2050|0|0]
33,408144113,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,3,408144114,408144115,3,[2050|0|0]
34,408144114,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,4,408144114,408144115,3,[2050|0|0]
35,408144115,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,5,408144114,408144115,3,[2050|0|0]
36,408144210,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],4,2,408144211,408144212,3,[1860|0|0]
37,408144213,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],4,3,408144214,408144215,3,[1860|0|0]
38,408144214,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],4,4,408144214,408144215,3,[1860|0|0]
39,408144215,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],4,5,408144214,408144215,3,[1860|0|0]
40,-1,[bg_LuckyBox_blue|bg_LuckyBox_blue|bg_LuckyBox_blue],1,1,408144000,-1,4,[0|0|0]
41,408144001,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,2,408144002,408144003,4,[2625|0|0]
42,408144004,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,3,408144005,408144006,4,[2422|0|0]
43,408144007,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,4,408144008,408144009,4,[2421|0|0]
44,408144010,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],2,5,408144011,408144012,4,[2196|0|0]
45,408144101,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,2,408144102,408144103,4,[3226|0|0]
46,408144104,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,3,408144105,408144106,4,[2802|0|0]
47,408144107,[bg_LuckyBox_yellow|bg_LuckyBox_purple|bg_LuckyBox_purple],3,4,408144108,408144109,4,[2238|0|0]
