id,iconAtlas,button,city_lv,desc,function,go_target,goTargetArr,icon,icon_atlas,name,numerical_show,recommend,scene,task_guide,type
108,Atlas/UI_Function,jump_btn_701,-1,jump_desc_108,108,108,[108],func_1,,citybuilding_name_8,-1,1,1,1,1
118,Atlas/UI_Function,jump_btn_701,-1,jump_desc_118,-1,118,[118],func_20,,citybuilding_name_118,-1,-1,1,1,1
115,Atlas/UI_Function,jump_btn_701,-1,,-1,115,[115],func_16,,citybuilding_name_115,-1,1,1,1,1
116,Atlas/UI_Function,jump_btn_701,-1,,-1,116,[116],sys_12,,function_name_116,-1,1,1,1,1
125,Atlas/UI_Function,jump_btn_701,-1,,-1,125,[125],,,citybuilding_name_125,-1,1,1,1,1
126,Atlas/UI_Function,jump_btn_701,-1,,-1,126,[126],,,citybuilding_name_126,-1,1,1,1,1
127,Atlas/UI_Function,jump_btn_701,-1,,-1,127,[127],,,citybuilding_name_127,-1,1,1,1,1
160,Atlas/UI_Building_List,jump_btn_701,25,,-1,163,[163],icon_building_pet,Atlas/UI_Building_List,citybuilding_name_160,-1,-1,1,1,1
163,Atlas/UI_Building_List,jump_btn_701,25,,-1,163,[163],icon_building_kouliangchang,Atlas/UI_Building_List,citybuilding_name_163,-1,-1,1,1,1
169,Atlas/UI_Building_List,jump_btn_701,25,,-1,169,[169],icon_building_Radiance,Atlas/UI_Building_List,citybuilding_name_169,-1,-1,1,1,1
172,Atlas/UI_Building_List,jump_btn_701,40,jump_desc_19016,-1,172,[172],icon_building_longjinggongfang,Atlas/UI_Building_List,citybuilding_name_172,-1,-1,1,1,1
301,Atlas/UI_Function,jump_btn_701,-1,jump_desc_301,-1,35111|35121|35131,[35111|35121|35131],sys_3,,jump_name_301,-1,-1,1,3,1
302,Atlas/UI_Function,jump_btn_701,-1,jump_desc_302,-1,,[],Activity_37,,jump_name_302,-1,1,0,17,1
303,Atlas/UI_Function,jump_btn_701,-1,jump_desc_303,-1,,[],sys_3,,jump_name_303,-1,-1,0,18,1
701,Atlas/UI_Function,jump_btn_701,-1,jump_desc_701,106,1,[1],sys_5,,jump_name_701,-1,-1,2,7,1
702,Atlas/UI_Function,jump_btn_701,-1,jump_desc_701,106,2,[2],sys_5,,jump_name_701,-1,-1,2,7,1
703,Atlas/UI_Function,jump_btn_701,-1,jump_desc_701,106,3,[3],sys_5,,jump_name_701,-1,-1,2,7,1
704,Atlas/UI_Function,jump_btn_701,10,jump_desc_701,106,4,[4],jump_1,,jump_name_701,-1,1,0,7,1
708,Atlas/UI_Function,jump_btn_701,10,jump_desc_701,106,8,[8],jump_2,,jump_name_701,-1,1,0,7,1
709,Atlas/UI_Function,jump_btn_701,10,jump_desc_701,106,9,[9],jump_7,,jump_name_701,-1,1,0,7,1
710,Atlas/UI_Monster_Head,jump_btn_701,10,jump_desc_1311,106,112,[112],Head_60156,Atlas/UI_Monster_Head,jump_name_1311,-1,1,0,7,1
711,Atlas/UI_Monster_Head,jump_btn_701,10,jump_desc_1311,106,113,[113],Head_60131,Atlas/UI_Monster_Head,jump_name_1311,-1,1,0,7,1
712,Atlas/UI_Monster_Head,jump_btn_701,10,jump_desc_1311,106,114,[114],Head_60211,Atlas/UI_Monster_Head,jump_name_1311,-1,1,0,7,1
801,Atlas/UI_Function,jump_btn_701,-1,jump_desc_801,106,101,[101],jump_3,,jump_name_801,-1,1,0,8,1
802,Atlas/UI_Function,jump_btn_701,-1,jump_desc_801,106,501,[501],jump_4,,jump_name_801,-1,1,0,8,1
803,Atlas/UI_Function,jump_btn_701,-1,jump_desc_801,106,701,[701],jump_5,,jump_name_801,-1,1,0,8,1
1041,Atlas/UI_Function,jump_btn_701,-1,,41,41,[41],func_44,,function_name_41,-1,1,0,12,1
1042,Atlas/UI_Function,jump_btn_701,-1,,41,41,[41],func_44,,jump_name_1042,-1,1,0,12,1
1043,Atlas/UI_Building_LvUp,jump_btn_701,-1,jump_desc_1043,36,36,[36],icon_50019,Atlas/UI_Building_LvUp,jump_name_1043,-1,1,0,12,1
1202,Atlas/UI_Function,jump_btn_701,-1,gift_first_tips,202,202,[202],Activity_1,,function_name_202,-1,1,0,12,1
1207,Atlas/UI_Function,jump_btn_701,-1,jump_desc_1207,207,207,[207],Activity_10,,function_name_207,-1,1,0,12,1
1210,Atlas/UI_Function,jump_btn_701,-1,jump_desc_1210,210,0|105,[0|105],Activity_11,,function_name_210,-1,1,0,14,1
1214,Atlas/UI_Function,jump_btn_701,-1,jump_desc_1210,214,0|106,[0|106],Activity_11,,UI_Activity_004,-1,1,0,14,1
1213,Atlas/UI_Function,jump_btn_701,-1,jump_desc_1213,214,0|105,[0|105],Activity_11,,UI_Activity_003,-1,1,0,14,1
1215,Atlas/UI_Function,jump_btn_701,-1,showname_318,42,0|318,[0|318],Activity_11,,showname_318,-1,1,0,14,1
1115,Atlas/UI_Function,jump_btn_701,-1,,115,115,[115],func_16,,citybuilding_name_115,-1,1,0,12,1
1116,Atlas/UI_Function,jump_btn_701,-1,,116,116,[116],sys_12,,function_name_116,-1,1,0,12,1
1117,Atlas/UI_Function,jump_btn_701,-1,,21,21,[21],sys_12,,function_name_21_daily,-1,1,0,12,1
1118,Atlas/UI_Function,jump_btn_701,-1,,-1,224,[224],,,function_name_207,-1,-1,0,12,1
1119,Atlas/UI_Function,,-1,jump_desc_1210,-1,,[],Activity_11,,function_name_210,-1,-1,-1,-1,1
1120,Atlas/UI_Function,jump_btn_701,-1,,115,115,[115],func_16,,citybuilding_name_115,0,1,0,12,1
1311,Atlas/UI_Function,jump_btn_701,15,jump_desc_1311,106,11,[11],jump_6,,jump_name_1311,-1,1,0,13,1
2000,Atlas/UI_Function,jump_btn_701,-1,jump_desc_2001,-1,2003,[2003],func_19,,jump_name_2001,-1,-1,1,5,2
2001,Atlas/UI_Function,,-1,pcplay_jump_desc,-1,10003,[10003],Activity_8,,pcplay_jump_title,-1,-1,-1,20,1
2002,Atlas/UI_Function,jump_btn_701,-1,activity_name_280_all,-1,34,[34],Activity_160,,activity_name_280_all,-1,-1,-1,23,1
2003,Atlas/UI_Function,jump_btn_701,-1,activity_name203,-1,10003,[10003],Activity_165,,activity_name203,-1,-1,-1,20,1
2004,Atlas/UI_Function,jump_btn_701,-1,activity_name181,-1,35,[35],Activity_160,,activity_name181,-1,-1,-1,23,1
2005,Atlas/UI_Function,jump_btn_701,-1,jump_desc_2001,-1,2005,[2005],func_19,,jump_name_2001,-1,-1,1,5,2
2006,Atlas/UI_Function,jump_btn_701,-1,jump_desc_2001,-1,2006,[2006],func_19,,jump_name_2001,-1,-1,1,5,2
2007,Atlas/UI_Function,jump_btn_701,-1,activity_name591,-1,46,[46],Activity_165,,activity_name591,-1,-1,-1,24,1
2008,Atlas/UI_Function,jump_btn_701,-1,Activity_DrakKnight_1,-1,60,[60],Activity_264,,Activity_DrakKnight_1,-1,-1,-1,24,1
2009,Atlas/UI_Function,jump_btn_701,-1,activity_name12002,-1,59,[59],Activity_232,,activity_name12002,-1,-1,-1,24,1
2010,Atlas/UI_Function,jump_btn_701,-1,competition_title1,-1,88,[88],Activity_185,,competition_title1,-1,-1,-1,24,1
2011,Atlas/UI_Function,jump_btn_701,-1,server_move_btn_01,-1,0|356,[0|356],icon_kingdom_Migration,,server_move_btn_01,-1,-1,0,14,1
2101,Atlas/UI_Function,jump_btn_701,-1,jump_desc_2001,-1,2101,[2101],func_19,,jump_name_2001,-1,1,1,5,1
130000,Atlas/UI_Item,jump_btn_3,-1,goods_desc_130000,-1,130000,[130000],icon_30055,Atlas/UI_Item,goods_name_130000,-1,1,0,13,3
130005,Atlas/UI_Item,jump_btn_3,-1,goods_desc_130005,-1,130005,[130005],icon_30042,Atlas/UI_Item,goods_name_130005,-1,1,0,13,3
130006,Atlas/UI_Item,jump_btn_3,-1,goods_desc_130006,-1,130006,[130006],icon_30042,Atlas/UI_Item,goods_name_130006,-1,1,0,13,3
130007,Atlas/UI_Item,jump_btn_3,-1,goods_desc_130007,-1,130007,[130007],icon_30042,Atlas/UI_Item,goods_name_130007,-1,1,0,13,3
130008,Atlas/UI_Item,jump_btn_3,-1,goods_desc_130008,-1,130008,[130008],icon_30043,Atlas/UI_Item,goods_name_130008,-1,1,0,13,3
100001,Atlas/UI_Item,jump_btn_3,-1,goods_desc_100001,-1,100001,[100001],icon_10007,Atlas/UI_Item,goods_name_100001,-1,1,0,13,3
100002,Atlas/UI_Item,jump_btn_3,-1,goods_desc_100002,-1,100002,[100002],icon_30920,Atlas/UI_Item,goods_name_100002,-1,1,0,13,3
100003,Atlas/UI_Item,jump_btn_3,-1,goods_desc_100003,-1,100003,[100003],icon_30921,Atlas/UI_Item,goods_name_100003,-1,1,0,13,3
100004,Atlas/UI_Item,jump_btn_3,-1,goods_desc_297,-1,297,[297],icon_30824,Atlas/UI_Item,goods_name_297,-1,-1,0,13,3
206001,Atlas/UI_Item,jump_btn_3,-1,goods_desc_206001,-1,206001,[206001],icon_20001,Atlas/UI_Item,goods_name_206001,-1,1,0,13,3
206004,Atlas/UI_Item,jump_btn_3,-1,goods_desc_206004,-1,206004,[206004],icon_20001,Atlas/UI_Item,goods_name_206004,-1,1,0,13,3
206005,Atlas/UI_Item,jump_btn_3,-1,goods_desc_206005,-1,206005,[206005],icon_20001,Atlas/UI_Item,goods_name_206005,-1,1,0,13,3
206008,Atlas/UI_Item,jump_btn_3,-1,goods_desc_206008,-1,206008,[206008],icon_20001,Atlas/UI_Item,goods_name_206008,-1,1,0,13,3
206010,Atlas/UI_Item,jump_btn_3,-1,goods_desc_206010,-1,206010,[206010],icon_20001,Atlas/UI_Item,goods_name_206010,-1,1,0,13,3
206002,Atlas/UI_Item,jump_btn_3,-1,goods_desc_206002,-1,206002,[206002],icon_20001,Atlas/UI_Item,goods_name_206002,-1,1,0,13,3
206003,Atlas/UI_Item,jump_btn_3,-1,goods_desc_206003,-1,206003,[206003],icon_20001,Atlas/UI_Item,goods_name_206003,-1,1,0,13,3
206006,Atlas/UI_Item,jump_btn_3,-1,goods_desc_206006,-1,206006,[206006],icon_20001,Atlas/UI_Item,goods_name_206006,-1,1,0,13,3
206007,Atlas/UI_Item,jump_btn_3,-1,goods_desc_206007,-1,206007,[206007],icon_20001,Atlas/UI_Item,goods_name_206007,-1,1,0,13,3
206009,Atlas/UI_Item,jump_btn_3,-1,goods_desc_206009,-1,206009,[206009],icon_20001,Atlas/UI_Item,goods_name_206009,-1,1,0,13,3
206101,Atlas/UI_Item,jump_btn_3,-1,goods_desc_206101,-1,206101,[206101],icon_20007,Atlas/UI_Item,goods_name_206101,-1,1,0,13,3
206104,Atlas/UI_Item,jump_btn_3,-1,goods_desc_206104,-1,206104,[206104],icon_20007,Atlas/UI_Item,goods_name_206104,-1,1,0,13,3
206106,Atlas/UI_Item,jump_btn_3,-1,goods_desc_206106,-1,206106,[206106],icon_20007,Atlas/UI_Item,goods_name_206106,-1,1,0,13,3
206108,Atlas/UI_Item,jump_btn_3,-1,goods_desc_206108,-1,206108,[206108],icon_20007,Atlas/UI_Item,goods_name_206108,-1,1,0,13,3
206110,Atlas/UI_Item,jump_btn_3,-1,goods_desc_206110,-1,206110,[206110],icon_20007,Atlas/UI_Item,goods_name_206110,-1,1,0,13,3
206102,Atlas/UI_Item,jump_btn_3,-1,goods_desc_206102,-1,206102,[206102],icon_20007,Atlas/UI_Item,goods_name_206102,-1,1,0,13,3
206103,Atlas/UI_Item,jump_btn_3,-1,goods_desc_206103,-1,206103,[206103],icon_20007,Atlas/UI_Item,goods_name_206103,-1,1,0,13,3
206105,Atlas/UI_Item,jump_btn_3,-1,goods_desc_206105,-1,206105,[206105],icon_20007,Atlas/UI_Item,goods_name_206105,-1,1,0,13,3
206107,Atlas/UI_Item,jump_btn_3,-1,goods_desc_206107,-1,206107,[206107],icon_20007,Atlas/UI_Item,goods_name_206107,-1,1,0,13,3
206109,Atlas/UI_Item,jump_btn_3,-1,goods_desc_206109,-1,206109,[206109],icon_20007,Atlas/UI_Item,goods_name_206109,-1,1,0,13,3
206201,Atlas/UI_Item,jump_btn_3,-1,goods_desc_206201,-1,206201,[206201],icon_20004,Atlas/UI_Item,goods_name_206201,-1,1,0,13,3
206204,Atlas/UI_Item,jump_btn_3,-1,goods_desc_206204,-1,206204,[206204],icon_20004,Atlas/UI_Item,goods_name_206204,-1,1,0,13,3
206206,Atlas/UI_Item,jump_btn_3,-1,goods_desc_206206,-1,206206,[206206],icon_20004,Atlas/UI_Item,goods_name_206206,-1,1,0,13,3
206208,Atlas/UI_Item,jump_btn_3,-1,goods_desc_206208,-1,206208,[206208],icon_20004,Atlas/UI_Item,goods_name_206208,-1,1,0,13,3
206210,Atlas/UI_Item,jump_btn_3,-1,goods_desc_206210,-1,206210,[206210],icon_20004,Atlas/UI_Item,goods_name_206210,-1,1,0,13,3
206202,Atlas/UI_Item,jump_btn_3,-1,goods_desc_206202,-1,206202,[206202],icon_20004,Atlas/UI_Item,goods_name_206202,-1,1,0,13,3
206203,Atlas/UI_Item,jump_btn_3,-1,goods_desc_206203,-1,206203,[206203],icon_20004,Atlas/UI_Item,goods_name_206203,-1,1,0,13,3
206205,Atlas/UI_Item,jump_btn_3,-1,goods_desc_206205,-1,206205,[206205],icon_20004,Atlas/UI_Item,goods_name_206205,-1,1,0,13,3
206207,Atlas/UI_Item,jump_btn_3,-1,goods_desc_206207,-1,206207,[206207],icon_20004,Atlas/UI_Item,goods_name_206207,-1,1,0,13,3
206209,Atlas/UI_Item,jump_btn_3,-1,goods_desc_206209,-1,206209,[206209],icon_20004,Atlas/UI_Item,goods_name_206209,-1,1,0,13,3
208001,Atlas/UI_Item,jump_btn_3,-1,goods_desc_208001,-1,208001,[208001],icon_10004,Atlas/UI_Item,goods_name_208001,-1,1,0,13,3
208002,Atlas/UI_Item,jump_btn_3,-1,goods_desc_208004,-1,208002,[208002],icon_10004,Atlas/UI_Item,goods_name_208004,-1,1,0,13,3
208003,Atlas/UI_Item,jump_btn_3,-1,goods_desc_208005,-1,208003,[208003],icon_10004,Atlas/UI_Item,goods_name_208005,-1,1,0,13,3
208004,Atlas/UI_Item,jump_btn_3,-1,goods_desc_208008,-1,208004,[208004],icon_10004,Atlas/UI_Item,goods_name_208008,-1,1,0,13,3
208005,Atlas/UI_Item,jump_btn_3,-1,goods_desc_208010,-1,208005,[208005],icon_10004,Atlas/UI_Item,goods_name_208010,-1,1,0,13,3
203021,Atlas/UI_Item,jump_btn_3,-1,goods_desc_203021,-1,203021,[203021],icon_30262,Atlas/UI_Item,goods_name_203021,-1,1,0,13,3
203022,Atlas/UI_Item,jump_btn_3,-1,goods_desc_203021,-1,203022,[203022],icon_30263,Atlas/UI_Item,goods_name_203022,-1,1,0,13,3
203023,Atlas/UI_Item,jump_btn_3,-1,goods_desc_203021,-1,203023,[203023],icon_30268,Atlas/UI_Item,goods_name_203023,-1,1,0,13,3
203024,Atlas/UI_Item,jump_btn_3,-1,goods_desc_203024,-1,203024,[203024],icon_30200,Atlas/UI_Item,goods_name_203024,-1,-1,0,13,3
203025,Atlas/UI_Item,jump_btn_3,-1,goods_desc_203024,-1,203025,[203025],icon_30201,Atlas/UI_Item,goods_name_203025,-1,-1,0,13,3
203026,Atlas/UI_Item,jump_btn_3,-1,goods_desc_203024,-1,203026,[203026],icon_30267,Atlas/UI_Item,goods_name_203026,-1,-1,0,13,3
203027,Atlas/UI_Item,jump_btn_3,-1,goods_desc_203027,-1,203027,[203027],icon_30204,Atlas/UI_Item,goods_name_203027,-1,-1,0,13,3
203028,Atlas/UI_Item,jump_btn_3,-1,goods_desc_203027,-1,203028,[203028],icon_30205,Atlas/UI_Item,goods_name_203028,-1,-1,0,13,3
203029,Atlas/UI_Item,jump_btn_3,-1,goods_desc_203027,-1,203029,[203029],icon_30266,Atlas/UI_Item,goods_name_203029,-1,-1,0,13,3
203030,Atlas/UI_Item,jump_btn_3,-1,goods_desc_203030,-1,203030,[203030],icon_30257,Atlas/UI_Item,goods_name_203030,-1,-1,0,13,3
203031,Atlas/UI_Item,jump_btn_3,-1,goods_desc_203030,-1,203031,[203031],icon_30258,Atlas/UI_Item,goods_name_203031,-1,-1,0,13,3
203032,Atlas/UI_Item,jump_btn_3,-1,goods_desc_203030,-1,203032,[203032],icon_30269,Atlas/UI_Item,goods_name_203032,-1,-1,0,13,3
203033,Atlas/UI_Item,jump_btn_3,-1,goods_desc_203021,-1,203033,[203033],icon_30262,Atlas/UI_Item,goods_name_203021,-1,-1,0,13,3
203034,Atlas/UI_Item,jump_btn_3,-1,goods_desc_203021,-1,203034,[203034],icon_30263,Atlas/UI_Item,goods_name_203022,-1,-1,0,13,3
203035,Atlas/UI_Item,jump_btn_3,-1,goods_desc_203021,-1,203035,[203035],icon_30268,Atlas/UI_Item,goods_name_203023,-1,-1,0,13,3
203036,Atlas/UI_Item,jump_btn_3,-1,goods_desc_203036,-1,203036,[203036],icon_30375,Atlas/UI_Item,goods_name_203036,-1,-1,0,13,3
203037,Atlas/UI_Item,jump_btn_3,-1,goods_desc_203037,-1,203037,[203037],icon_30375,Atlas/UI_Item,goods_name_203037,-1,-1,0,13,3
203038,Atlas/UI_Item,jump_btn_3,-1,goods_desc_203038,-1,203038,[203038],icon_30375,Atlas/UI_Item,goods_name_203038,-1,-1,0,13,3
203039,Atlas/UI_Item,jump_btn_3,-1,goods_desc_203039,-1,203039,[203039],icon_30375,Atlas/UI_Item,goods_name_203039,-1,-1,0,13,3
203040,Atlas/UI_Item,jump_btn_3,-1,goods_desc_203021,-1,203040,[203040],icon_30262,Atlas/UI_Item,goods_name_203021,-1,-1,0,13,3
203041,Atlas/UI_Item,jump_btn_3,-1,goods_desc_203021,-1,203041,[203041],icon_30263,Atlas/UI_Item,goods_name_203022,-1,-1,0,13,3
209001,Atlas/UI_Item,jump_btn_3,-1,goods_desc_209001,-1,209001,[209001],icon_10038,Atlas/UI_Item,goods_name_209001,-1,1,0,13,3
209002,Atlas/UI_Item,jump_btn_3,-1,goods_desc_209002,-1,209002,[209002],icon_10038,Atlas/UI_Item,goods_name_209002,-1,1,0,13,3
209003,Atlas/UI_Item,jump_btn_3,-1,goods_desc_209003,-1,209003,[209003],icon_10038,Atlas/UI_Item,goods_name_209003,-1,1,0,13,3
40001,Atlas/UI_Function,,-1,,-1,40007,[40007],Activity_11,,pay_tehui_5,-1,1,0,-1,4
40002,Atlas/UI_Function,,-1,,-1,40002,[40002],Activity_11,,pay_tehui_5,-1,1,0,-1,4
40003,Atlas/UI_Function,,-1,,-1,40003,[40003],Activity_11,,pay_tehui_5,-1,1,0,-1,4
40004,Atlas/UI_Function,,-1,,-1,40004,[40004],Activity_11,,pay_tehui_5,-1,1,0,-1,4
40005,Atlas/UI_Function,,-1,,-1,40005,[40005],Activity_11,,pay_tehui_5,-1,1,0,-1,4
40006,Atlas/UI_Function,,-1,,-1,40006,[40006],Activity_11,,pay_tehui_5,-1,1,0,-1,4
40101,Atlas/UI_Function,,-1,,-1,40107,[40107],Activity_11,,pay_tehui_5,-1,1,0,-1,4
40102,Atlas/UI_Function,,-1,,-1,40102,[40102],Activity_11,,pay_tehui_5,-1,1,0,-1,4
40103,Atlas/UI_Function,,-1,,-1,40103,[40103],Activity_11,,pay_tehui_5,-1,1,0,-1,4
40104,Atlas/UI_Function,,-1,,-1,40104,[40104],Activity_11,,pay_tehui_5,-1,1,0,-1,4
40105,Atlas/UI_Function,,-1,,-1,40105,[40105],Activity_11,,pay_tehui_5,-1,1,0,-1,4
40106,Atlas/UI_Function,,-1,,-1,40106,[40106],Activity_11,,pay_tehui_5,-1,1,0,-1,4
40201,Atlas/UI_Function,,-1,,-1,40201,[40201],Activity_11,,pay_tehui_5,-1,1,0,-1,4
40202,Atlas/UI_Function,,-1,,-1,40202,[40202],Activity_11,,pay_tehui_5,-1,1,0,-1,4
40203,Atlas/UI_Function,,-1,,-1,40203,[40203],Activity_11,,pay_tehui_5,-1,1,0,-1,4
40204,Atlas/UI_Function,,-1,,-1,40204,[40204],Activity_11,,pay_tehui_5,-1,1,0,-1,4
40205,Atlas/UI_Function,,-1,,-1,40205,[40205],Activity_11,,pay_tehui_5,-1,1,0,-1,4
40206,Atlas/UI_Function,,-1,,-1,40206,[40206],Activity_11,,pay_tehui_5,-1,1,0,-1,4
40301,Atlas/UI_Function,,-1,,-1,40301,[40301],Activity_11,,pay_tehui_5,-1,1,0,-1,4
40302,Atlas/UI_Function,,-1,,-1,40302,[40302],Activity_11,,pay_tehui_5,-1,1,0,-1,4
40303,Atlas/UI_Function,,-1,,-1,40303,[40303],Activity_11,,pay_tehui_5,-1,1,0,-1,4
40304,Atlas/UI_Function,,-1,,-1,40304,[40304],Activity_11,,pay_tehui_5,-1,1,0,-1,4
40305,Atlas/UI_Function,,-1,,-1,40305,[40305],Activity_11,,pay_tehui_5,-1,1,0,-1,4
40306,Atlas/UI_Function,,-1,,-1,40306,[40306],Activity_11,,pay_tehui_5,-1,1,0,-1,4
40401,Atlas/UI_Function,,-1,,-1,40401,[40401],Activity_11,,pay_tehui_5,-1,1,0,-1,4
40402,Atlas/UI_Function,,-1,,-1,40402,[40402],Activity_11,,pay_tehui_5,-1,1,0,-1,4
40403,Atlas/UI_Function,,-1,,-1,40403,[40403],Activity_11,,pay_tehui_5,-1,1,0,-1,4
40404,Atlas/UI_Function,,-1,,-1,40404,[40404],Activity_11,,pay_tehui_5,-1,1,0,-1,4
40405,Atlas/UI_Function,,-1,,-1,40405,[40405],Activity_11,,pay_tehui_5,-1,1,0,-1,4
40406,Atlas/UI_Function,,-1,,-1,40406,[40406],Activity_11,,pay_tehui_5,-1,1,0,-1,4
