id,tips_is_open,tips_position
server_maintenance_tips,1,1
msg_params_error,1,1
operation_fail,1,1
resource_not_enough,1,1
diamond_not_enough,1,1
mail_store_max_error,1,1
client_param_invalid,1,1
open_times_limit,1,1
reward_received,1,1
score_not_enough,1,1
config_spec_not_found,1,1
config_spec_error,1,1
not_enough_free_point,1,1
map_land_object_not_found,1,1
map_land_not_found,1,1
map_not_exists,1,1
world_target_not_found,1,1
map_stage_not_exists,1,1
role_level_error,1,1
role_name_error,1,1
villager_not_found,1,1
villager_is_working,1,1
dispatch_param_check,1,1
building_add_failed,1,1
building_not_found,1,1
building_type_error,1,1
building_max_num,1,1
building_max_level,1,1
building_no_reward,1,1
building_no_level_data,1,1
building_no_next_level_datea,1,1
building_bubble_award_failed,1,1
required_building_not_found,1,1
required_type_not_found,1,1
energy_bubble_not_be_receive,1,1
building_level_error,1,1
building_not_finish,1,1
building_not_upgrading,1,1
building_status_error,1,1
building_make_queue_max,1,1
troop_not_finish,1,1
team_hero_id_repeat,1,1
army_not_enough,1,1
team_not_exist,1,1
team_not_heros,1,1
team_index_un_lock,1,1
team_postion_not_exist,1,1
team_postion_index_un_lock,1,1
team_hero_repeated,1,1
team_is_marching,1,1
item_not_found,1,1
item_is_valid,1,1
item_can_not_be_sell,1,1
item_config_no_reward,1,1
item_config_reward_drop_failed,1,1
not_found_reward_spec,1,1
reward_random_type_error,1,1
item_has_not_enough,1,1
item_condition01,1,1
item_can_not_speed_treatment,1,1
item_can_not_speed_technology,1,1
item_can_not_speed,1,1
equip_not_found,1,1
equip_puton_hero,1,1
equip_exist_hero,1,1
make_equip_error,1,1
gacha_error,1,1
gacha_refresh_doing,1,1
gacha_not_fount,1,1
need_gacha_once,1,1
gacha_refresh_error,1,1
gacha_free_get_error,1,1
hero_not_found,1,1
hero_level_full,1,1
hero_star_full,1,1
hero_already_have,1,1
hero_unlock_error,1,1
hero_no_reach_break,1,1
hero_break_level_full,1,1
hero_break_level_no_enough,1,1
hero_skill_locked,1,1
hero_skill_full,1,1
stage_battle_group_not_found,1,1
pay_platform_not_found,1,1
pay_verify_sign_failed,1,1
order_is_exist,1,1
send_goods_failed,1,1
shop_product_not_found,1,1
shop_product_not_allowed_buy,1,1
res_uncheck_1,1,1
battle_stage_alert5,1,1
decoration_not_found,1,1
decoration_add_failed,1,1
decoration_can_not_be_sell,1,1
rank_not_found,1,1
rank_msg_param_error,1,1
chat_131521,1,1
chat_131522,1,1
banned_toast_001,1,1
banned_toast_002,1,1
banned_toast_005,1,1
banned_toast_006,1,1
banned_toast_007,1,1
banned_toast_008,1,1
banned_toast_009,1,1
banned_toast_010,1,1
banned_toast_011,1,1
banned_toast_012,1,1
public941,1,1
public689,1,1
pubilc912,1,1
emoji_limit,1,1
chat_notice001,1,1
chat_notice002,1,1
chat_notice003,1,1
chat_notice004,1,1
error_language_001,1,1
error_language_002,1,1
army_max_armed_text,1,1
alliance_chat_1,1,2
alliance_chat_2,1,2
alliance_chat_3,1,2
alliance_chat_4,1,2
alliance_chat_5,1,2
alliance_chat_6,1,2
alliance_chat_7,1,2
alliance_chat_8,1,2
alliance_chat_9,1,2
alliance_chat_10,1,2
alliance_apply_6,1,2
alliance_apply_8,1,2
alliance_create_15,1,2
alliance_create_16,1,2
alliance_create_30,1,2
alliance_create_31,1,2
alliance_create_33,1,2
alliance_create_35,1,2
alliance_create_43,1,2
alliance_list_51,1,2
alliance_apply_12,1,2
alliance_list_38,1,2
alliance_list_24,1,2
alliance_create_41,1,2
alliance_apply_10,1,2
alliance_join_19,1,2
alliance_join_14,1,2
alliance_list_52,1,2
alliance_list_54,1,2
alliance_chat_43,1,2
alliance_land_enemy,1,2
chat_tips14,1,2
personal_input_code_text,1,2
personal_code_overdue_text,1,2
personal_code_be_used_text,1,2
personal_code_not_effective_text,1,2
personal_code_error_text,1,2
personal_code_day_limit_text,1,2
personal_code_platform_limit_text,1,2
personal_name_null_text,1,2
personal_name_no_change_text,1,2
personal_overlength_text,1,2
personal_lesslength_text,1,2
personal_change_name_cd,1,2
personal_gem_null,1,2
personal_name_illegal_errortext,1,2
personal_name_illegal_errortext2,1,2
personal_name_illegal_errortext3,1,2
personal_name_illegal_special,1,2
continue_to_online_3,1,2
ui_functionoff_tips1,1,2
gift_pack_tips_1,1,2
alliance_tech_tips39,1,2
