id,offsetTime,assist_demand,assist_troop_toplimit,attack_demand,height,model,model2,monster_group_boss,monster_group_defeat_reward,monster_group_priority,monsterGroups,name,offset_time,pos_x,pos_y,protect_area_offset,protect_time,pvp_stage,rally_demand,ready_area_offset,ready_time,ready_time_merge,scout_demand,scramble_time,season,share_icon,share_icon2,vote_scramble_time,vote_time,water_consume,water_requirement,width,world_map_building_pic,world_map_building_pic2,world_map_building_type
1001,[-10|-4|2],0,50,5,1,throne_1006,throne_1007,,-1,,[],world_map_building_name_1001,-10|-4|2,256,502,0|-28800|-28800|0|0,[1|6|12],100002,5,43200|14400|14400|0|0,1814400,1036800,0,28800,0,wcz_build_shaota,wcz_build_shaota_2,14400,259200|173100,-1,-1,1,banner_bubble_Building_2,banner_bubble_Building_13,1
1002,[-10|-4|2],0,50,5,1,throne_1006,throne_1007,,-1,,[],world_map_building_name_1002,-10|-4|2,266,512,0|-28800|-28800|0|0,[1|6|12],100002,5,43200|14400|14400|0|0,1814400,1036800,0,28800,0,wcz_build_shaota,wcz_build_shaota_2,14400,259200|173100,-1,-1,1,banner_bubble_Building_2,banner_bubble_Building_13,1
1003,[-10|-4|2],0,50,5,1,throne_1006,throne_1007,,-1,,[],world_map_building_name_1003,-10|-4|2,256,522,0|-28800|-28800|0|0,[1|6|12],100002,5,43200|14400|14400|0|0,1814400,1036800,0,28800,0,wcz_build_shaota,wcz_build_shaota_2,14400,259200|173100,-1,-1,1,banner_bubble_Building_2,banner_bubble_Building_13,1
1004,[-10|-4|2],0,50,5,1,throne_1006,throne_1007,,-1,,[],world_map_building_name_1004,-10|-4|2,246,512,0|-28800|-28800|0|0,[1|6|12],100002,5,43200|14400|14400|0|0,1814400,1036800,0,28800,0,wcz_build_shaota,wcz_build_shaota_2,14400,259200|173100,-1,-1,1,banner_bubble_Building_2,banner_bubble_Building_13,1
1005,[-10|-4|2],0,50,5,5,throne_1001,throne_1002,[21401|150|21402|100|21403|50],30000,1|1|1,[[21401|150]|[21402|100]|[21403|50]],world_map_building_name_1005,-10|-4|2,256,516,0|-28800|-28800|0|0,[1|6|12],100002,5,43200|14400|14400|0|0,1814400,1036800,0,28800,0,wcz_build_wangcheng,wcz_build_wangcheng_2,14400,259200|173100,-1,-1,5,banner_bubble_Building_1,banner_bubble_Building_12,2
1101,[-10|-4|2],0,50,5,1,throne_1013,throne_1014,,-1,,[],world_map_building_name_1011,-10|-4|2,256,502,0|-28800|-28800|0|0,[1|6|12],100002,5,43200|14400|14400|0|0,1036800,1036800,0,28800,1,wcz_build_shaota,wcz_build_shaota_2,14400,259200|173100,-1,-1,1,banner_bubble_Building_2,banner_bubble_Building_13,1
1102,[-10|-4|2],0,50,5,1,throne_1013,throne_1014,,-1,,[],world_map_building_name_1012,-10|-4|2,266,512,0|-28800|-28800|0|0,[1|6|12],100002,5,43200|14400|14400|0|0,1036800,1036800,0,28800,1,wcz_build_shaota,wcz_build_shaota_2,14400,259200|173100,-1,-1,1,banner_bubble_Building_2,banner_bubble_Building_13,1
1103,[-10|-4|2],0,50,5,1,throne_1013,throne_1014,,-1,,[],world_map_building_name_1013,-10|-4|2,256,522,0|-28800|-28800|0|0,[1|6|12],100002,5,43200|14400|14400|0|0,1036800,1036800,0,28800,1,wcz_build_shaota,wcz_build_shaota_2,14400,259200|173100,-1,-1,1,banner_bubble_Building_2,banner_bubble_Building_13,1
1104,[-10|-4|2],0,50,5,1,throne_1013,throne_1014,,-1,,[],world_map_building_name_1014,-10|-4|2,246,512,0|-28800|-28800|0|0,[1|6|12],100002,5,43200|14400|14400|0|0,1036800,1036800,0,28800,1,wcz_build_shaota,wcz_build_shaota_2,14400,259200|173100,-1,-1,1,banner_bubble_Building_2,banner_bubble_Building_13,1
1105,[-10|-4|2],0,50,5,5,throne_1011,throne_1012_1,[126001|500],30000,5,[[126001|500]],world_map_building_name_1015,-10|-4|2,256,516,0|-28800|-28800|0|0,[1|6|12],100002,5,43200|14400|14400|0|0,1036800,1036800,0,28800,1,wcz_build_wangcheng,wcz_build_wangcheng_2,14400,259200|173100,-1,-1,5,banner_bubble_Building_1,banner_worldtree01,2
