id,kingtitle_avatar,kingtitle_buff,kingtitle_building_icon,kingtitle_chat_icon,kingtitle_name,kingtitle_skill,kingtitle_type
1,wcz_icon_guanyuan_guowang,"10103|500,10104|500,19|500,1033|1000,1034|1000,1016|3000,1072|3000",kingtitle_building_1,chat_gyicon_guowang,mail_kingtitle_name_1,1|2|3|8|9,0
2,wcz_icon_guanyuan_daxianzhe,"1033|1000,1034|1000,1016|3000",kingtitle_building_2,chat_gyicon_daxianzhe,mail_kingtitle_name_2,,1
3,wcz_icon_guanyuan_qishizhang,"1002|2000,10103|500,19|500",kingtitle_building_3,chat_gyicon_qishizhang,mail_kingtitle_name_3,,1
4,wcz_icon_guanyuan_neizhengguan,"1034|1000,1033|1000,1072|3000",kingtitle_building_4,chat_gyicon_neizhengguan,mail_kingtitle_name_4,,1
5,wcz_icon_guanyuan_xingzhengguan,"1072|3000,1034|1000,1016|3000",kingtitle_building_5,chat_gyicon_xingzhengguan,mail_kingtitle_name_5,1|9,1
6,wcz_icon_guanyuan_yuanshuai,"10103|500,19|500,1016|3000",kingtitle_building_6,chat_gyicon_yuanshuai,mail_kingtitle_name_6,,1
7,wcz_icon_guanyuan_junbeiguan,"1016|3000,1001|2000,1072|5000",kingtitle_building_7,chat_gyicon_junbeiguan,mail_kingtitle_name_7,,1
8,wcz_icon_zuiren_tanlanzhe,"10103|-500,36|-500",kingtitle_building_8,chat_zricon_tanlanzhe,mail_kingtitle_name_8,,2
9,wcz_icon_zuiren_xiedaizhe,"1033|-500,1016|-500",kingtitle_building_9,chat_zricon_xiedaizhe,mail_kingtitle_name_9,,2
10,wcz_icon_zuiren_wulizhe,1022|-500,kingtitle_building_10,chat_zricon_wulizhe,mail_kingtitle_name_10,,2
11,wcz_icon_zuiren_beipanzhe,"10104|-500,36|-500",kingtitle_building_11,chat_zricon_beipanzhe,mail_kingtitle_name_11,,2
12,wcz_icon_zuiren_qienuozhe,"1002|-500,1052|-500",kingtitle_building_12,chat_zricon_qienuozhe,mail_kingtitle_name_12,,2
13,wcz_icon_zuiren_wuzhizhe,"1034|-500,1033|-500",kingtitle_building_13,chat_zricon_wuzhizhe,mail_kingtitle_name_13,,2
14,wcz_icon_guanyuan_征服者,,,,mail_kingtitle_name_14,,3
