id,channel_name_key,chat_order,crowdin_lang,desc,flag,GM_lang,GM_lang_para,hero_voice,is_game_lang,lang_name,system_mail_lang
1,chat_channel_name_01,1,en,English,US,en,美,en,1,en,en
2,chat_channel_name_02,2,id,Indonesia,ID,id,印尼,en,1,id,id
3,chat_channel_name_03,3,ja,日本語,JP,ja,日,jp,1,ja,ja
4,chat_channel_name_04,4,ko,한국어,KR,ko,韩,kr,1,ko,ko
5,chat_channel_name_01,1,en,English,CA,en,,en,0,ca,en
6,chat_channel_name_01,1,en,English,GB,en,,en,0,en,en
7,chat_channel_name_08,8,zh,繁體中文,MO,zh,繁中,cn,1,zh_tw,zh
8,chat_channel_name_08,8,zh_cn,简体中文,HK,cn,简中,cn,1,zh_cn,zh_cn
9,chat_channel_name_10,10,pt,Português,BR,pt,,en,0,br,pt
10,chat_channel_name_10,10,pt,Português,PT,pt,萄,en,1,pt,pt
11,chat_channel_name_11,11,es,Español,ES,es,西,en,1,es,es
12,chat_channel_name_01,1,en,Philippines,PH,en,,en,0,ph,en
13,chat_channel_name_11,11,es,Mexico,MX,es,,en,0,mx,es
14,chat_channel_name_14,14,ru,Русский,RU,ru,俄,en,1,ru,ru
15,chat_channel_name_15,15,de,Deutsch,DE,de,德,en,1,de,de
16,chat_channel_name_16,16,fr,Français,FR,fr,法,en,1,fr,fr
17,chat_channel_name_17,17,it,Italiano,IT,it,意,en,1,it,it
18,chat_channel_name_18,18,pl,Polski,PL,pl,波兰,en,1,pl,pl
19,chat_channel_name_19,19,tr,Türkçe,TR,tr,土耳其,en,1,tr,tr
20,chat_channel_name_20,20,th,ภาษาไทย,TH,th,泰,en,1,th,th
21,chat_channel_name_21,21,vi,Tiếng Việt,VN,vi,越,en,1,vi,vi
31,chat_channel_name_01,1,sg,English,SG,sg,,en,0,sg,sg
32,chat_channel_name_01,1,ms,BahasaMelayu,MY,ms,,en,0,ms,ms
33,chat_channel_name_01,1,en,English,AU,en,,en,0,en,en
34,chat_channel_name_01,1,nz,English,NZ,nz,,en,0,nz,nz
35,chat_channel_name_35,35,no,Norsk,NO,no,挪威,en,1,no,no
36,chat_channel_name_01,1,is,Íslenska,IS,is,,en,0,is,is
37,chat_channel_name_01,1,ch,Deutsch,CH,ch,,en,0,ch,ch
38,chat_channel_name_01,1,at,Deutsch,AT,at,,en,0,at,at
