id,explist,hero_3,hero_4,hero_5,role
1,[5|5|5],5,5,5,50
2,[5|5|5],5,5,5,100
3,[5|5|5],5,5,5,150
4,[5|5|5],5,5,5,200
5,[5|5|5],5,5,5,250
6,[10|10|10],10,10,10,300
7,[15|15|15],15,15,15,400
8,[20|20|20],20,20,20,500
9,[25|25|25],25,25,25,600
10,[30|30|30],30,30,30,800
11,[35|35|35],35,35,35,900
12,[40|40|40],40,40,40,1000
13,[45|45|45],45,45,45,1100
14,[50|50|50],50,50,50,1300
15,[55|55|55],55,55,55,1700
16,[60|60|60],60,60,60,2500
17,[65|65|65],65,65,65,3600
18,[70|70|70],70,70,70,6000
19,[75|75|75],75,75,75,9000
20,[80|80|80],80,80,80,15000
21,[85|85|85],85,85,85,21000
22,[90|90|90],90,90,90,29000
23,[95|95|95],95,95,95,37000
24,[100|100|100],100,100,100,46000
25,[105|105|105],105,105,105,56000
26,[110|110|110],110,110,110,68000
27,[115|115|115],115,115,115,80250
28,[120|120|120],120,120,120,95250
29,[125|125|125],125,125,125,111750
30,[130|130|130],130,130,130,129750
31,[150|150|150],150,150,150,150250
32,[170|170|170],170,170,170,173250
33,[190|190|190],190,190,190,198750
34,[210|210|210],210,210,210,226750
35,[230|230|230],230,230,230,257250
36,[250|250|250],250,250,250,291750
37,[270|270|270],270,270,270,330250
38,[290|290|290],290,290,290,372750
39,[310|310|310],310,310,310,419250
40,[330|330|330],330,330,330,469750
41,[360|360|360],360,360,360,526250
42,[390|390|390],390,390,390,588750
43,[420|420|420],420,420,420,657250
44,[450|450|450],450,450,450,731750
45,[480|480|480],480,480,480,812250
46,[510|510|510],510,510,510,900250
47,[540|540|540],540,540,540,995750
48,[570|570|570],570,570,570,1098750
49,[600|600|600],600,600,600,1209250
50,[640|640|640],640,640,640,1327250
51,[680|680|680],680,680,680,1454250
52,[720|720|720],720,720,720,1590250
53,[760|760|760],760,760,760,1735250
54,[800|800|800],800,800,800,1889250
55,[840|840|840],840,840,840,2052250
56,[880|880|880],880,880,880,2226250
57,[920|920|920],920,920,920,2411250
58,[960|960|960],960,960,960,2607250
59,[1000|1000|1000],1000,1000,1000,2814250
60,[1040|1040|1040],1040,1040,1040,3032250
61,[1090|1090|1090],1090,1090,1090,3263250
62,[1140|1140|1140],1140,1140,1140,3507250
63,[1190|1190|1190],1190,1190,1190,3764250
64,[1240|1240|1240],1240,1240,1240,4080000
65,[1290|1290|1290],1290,1290,1290,4480000
66,[1340|1340|1340],1340,1340,1340,4900000
67,[1390|1390|1390],1390,1390,1390,5340000
