id,attr_key,attr_para1,attrs,equip_num,fightforce,level,quality
93001,lord_equip_desc002,[104|400|10103|120],[[104|400]|[10103|120]],3,2696,3,3
93017,lord_equip_desc002,[103|200|10103|80|10104|400],[[103|200]|[10103|80]|[10104|400]],6,13364,3,3
93002,lord_equip_desc002,[104|800|10103|240],[[104|800]|[10103|240]],3,7076,4,3
93018,lord_equip_desc002,[103|400|10103|160|10104|800],[[103|400]|[10103|160]|[10104|800]],6,31934,4,3
93003,lord_equip_desc002,[104|1200|10103|360],[[104|1200]|[10103|360]],3,13544,6,3
93004,lord_equip_desc002,[103|600|10103|240|10104|1200],[[103|600]|[10103|240]|[10104|1200]],6,55910,6,3
93005,lord_equip_desc002,[104|1600|10103|480],[[104|1600]|[10103|480]],3,22500,8,3
93006,lord_equip_desc002,[103|800|10103|320|10104|1600],[[103|800]|[10103|320]|[10104|1600]],6,85492,8,3
93007,lord_equip_desc003,[104|3200|10103|960],[[104|3200]|[10103|960]],3,54952,10,4
93008,lord_equip_desc003,[103|1600|10103|640|10104|3200],[[103|1600]|[10103|640]|[10104|3200]],6,193412,10,4
93009,lord_equip_desc003,[104|5040|10103|1440],[[104|5040]|[10103|1440]],3,101052,11,4
93010,lord_equip_desc003,[103|2400|10103|960|10104|5040],[[103|2400]|[10103|960]|[10104|5040]],6,337592,11,4
93011,lord_equip_desc003,[104|7040|10103|1920],[[104|7040]|[10103|1920]],3,163366,14,4
93012,lord_equip_desc003,[103|3200|10103|1280|10104|7040],[[103|3200]|[10103|1280]|[10104|7040]],6,517800,14,4
93013,lord_equip_desc003,[104|8800|10103|2400],[[104|8800]|[10103|2400]],3,239438,17,4
93014,lord_equip_desc003,[103|4000|10103|1600|10104|8800],[[103|4000]|[10103|1600]|[10104|8800]],6,711464,17,4
93015,lord_equip_desc006,[104|11040|10103|2880],[[104|11040]|[10103|2880]],3,341534,20,5
93016,lord_equip_desc006,[103|4800|10103|1920|10104|11040],[[103|4800]|[10103|1920]|[10104|11040]],6,965928,20,5
93019,lord_equip_desc007,[104|13920|10103|3600],[[104|13920]|[10103|3600]],3,493270,33,5
93020,lord_equip_desc007,[103|5800|10103|2400|10104|14400],[[103|5800]|[10103|2400]|[10104|14400]],6,1351232,33,5
93021,lord_equip_desc0061,[104|16320|10103|4320],[[104|16320]|[10103|4320]],3,664998,46,5
93022,lord_equip_desc0061,[103|6800|10103|2880|10104|17280],[[103|6800]|[10103|2880]|[10104|17280]],6,1746404,46,5
93023,lord_equip_desc0071,[104|19500|10103|5040],[[104|19500]|[10103|5040]],3,890368,59,5
93024,lord_equip_desc0071,[103|7800|10103|3360|10104|21000],[[103|7800]|[10103|3360]|[10104|21000]],6,2257644,59,5
93025,lord_equip_desc008,[104|23920|10103|6000],[[104|23920]|[10103|6000]],3,1214276,72,6
93026,lord_equip_desc008,[103|9200|10103|4000|10104|26000],[[103|9200]|[10103|4000]|[10104|26000]],6,2964420,72,6
93027,lord_equip_desc009,[104|29160|10103|6960],[[104|29160]|[10103|6960]],3,1627684,88,6
93028,lord_equip_desc009,[103|10800|10103|4640|10104|31320],[[103|10800]|[10103|4640]|[10104|31320]],6,3783752,88,6
93029,lord_equip_desc010,[104|35960|10103|8160],[[104|35960]|[10103|8160]],3,2198636,104,6
93030,lord_equip_desc010,[103|12400|10103|5440|10104|39440],[[103|12400]|[10103|5440]|[10104|39440]],6,4978378,104,6
93031,lord_equip_desc011,[104|42000|10103|9600],[[104|42000]|[10103|9600]],3,2846208,120,6
93032,lord_equip_desc011,[103|14000|10103|6400|10104|48000],[[103|14000]|[10103|6400]|[10104|48000]],6,6345022,120,6
93033,lord_equip_desc013,[104|48000|10103|11400],[[104|48000]|[10103|11400]],3,3571402,136,6
93034,lord_equip_desc013,[103|16000|10103|7600|10104|57000],[[103|16000]|[10103|7600]|[10104|57000]],6,7599404,136,6
