id,equipTierAtlas,iconAtlas,attr_para1,attrs,cost,costs,equip_tier,equip_tier_atlas,fightforce,icon,icon_atlas,level,lord_equip_desc,lord_equip_name,quality,star,type
1310001,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|75|15104|205|10103|25],[[5104|75]|[15104|205]|[10103|25]],[2|154|1500|2|155|20],[[2|154|1500]|[2|155|20]],,,1818,icon_lord_3,,1,lord_equip_desc001,lord_equip_name01,2,0,1
1310002,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|150|15104|410|10103|50],[[5104|150]|[15104|410]|[10103|50]],[2|154|3800|2|155|40],[[2|154|3800]|[2|155|40]],,,3897,icon_lord_3,,2,lord_equip_desc001,lord_equip_name01,2,1,1
1310003,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|230|15104|635|10103|80],[[5104|230]|[15104|635]|[10103|80]],[2|154|4000|2|155|50],[[2|154|4000]|[2|155|50]],,,5600,icon_lord_3,,3,lord_equip_desc002,lord_equip_name01,3,0,1
1310004,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|270|15104|745|10103|95],[[5104|270]|[15104|745]|[10103|95]],[2|154|6400|2|155|60],[[2|154|6400]|[2|155|60]],,,7304,icon_lord_3,,4,lord_equip_desc002,lord_equip_name01,3,1,1
1310005,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|310|15104|860|10103|110],[[5104|310]|[15104|860]|[10103|110]],[2|154|6400|2|155|60],[[2|154|6400]|[2|155|60]],,,9008,icon_lord_3,,5,lord_equip_desc002,lord_equip_name01,3,1,1
1310006,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|355|15104|970|10103|120],[[5104|355]|[15104|970]|[10103|120]],[2|154|1300|2|155|5|2|156|10],[[2|154|1300]|[2|155|5]|[2|156|10]],,,10712,icon_lord_3,,6,lord_equip_desc002,lord_equip_name01,3,2,1
1310007,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|395|15104|1080|10103|135],[[5104|395]|[15104|1080]|[10103|135]],[2|154|1300|2|155|5|2|156|10],[[2|154|1300]|[2|155|5]|[2|156|10]],,,12416,icon_lord_3,,7,lord_equip_desc002,lord_equip_name01,3,2,1
1310008,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|435|15104|1195|10103|150],[[5104|435]|[15104|1195]|[10103|150]],[2|154|1500|2|155|5|2|156|10],[[2|154|1500]|[2|155|5]|[2|156|10]],,,14120,icon_lord_3,,8,lord_equip_desc002,lord_equip_name01,3,3,1
1310009,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|475|15104|1305|10103|165],[[5104|475]|[15104|1305]|[10103|165]],[2|154|1500|2|155|5|2|156|10],[[2|154|1500]|[2|155|5]|[2|156|10]],,,15824,icon_lord_3,,9,lord_equip_desc002,lord_equip_name01,3,3,1
1310010,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|565|15104|1550|10103|195],[[5104|565]|[15104|1550]|[10103|195]],[2|154|1800|2|155|5|2|156|12],[[2|154|1800]|[2|155|5]|[2|156|12]],,,17597,icon_lord_3,,10,lord_equip_desc003,lord_equip_name01,4,0,1
1310011,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|595|15104|1635|10103|205],[[5104|595]|[15104|1635]|[10103|205]],[2|154|1300|2|155|5|2|156|12],[[2|154|1300]|[2|155|5]|[2|156|12]],,,19370,icon_lord_3,,11,lord_equip_desc003,lord_equip_name01,4,1,1
1310012,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|625|15104|1715|10103|215],[[5104|625]|[15104|1715]|[10103|215]],[2|154|1300|2|155|5|2|156|12],[[2|154|1300]|[2|155|5]|[2|156|12]],,,21143,icon_lord_3,,12,lord_equip_desc003,lord_equip_name01,4,1,1
1310013,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|655|15104|1795|10103|225],[[5104|655]|[15104|1795]|[10103|225]],[2|154|1300|2|155|5|2|156|12],[[2|154|1300]|[2|155|5]|[2|156|12]],,,22916,icon_lord_3,,13,lord_equip_desc003,lord_equip_name01,4,1,1
1310014,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|685|15104|1880|10103|235],[[5104|685]|[15104|1880]|[10103|235]],[2|154|2500|2|155|20|2|156|12],[[2|154|2500]|[2|155|20]|[2|156|12]],,,24690,icon_lord_3,,14,lord_equip_desc003,lord_equip_name01,4,2,1
1310015,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|715|15104|1960|10103|250],[[5104|715]|[15104|1960]|[10103|250]],[2|154|2500|2|155|20|2|156|12],[[2|154|2500]|[2|155|20]|[2|156|12]],,,26463,icon_lord_3,,15,lord_equip_desc003,lord_equip_name01,4,2,1
1310016,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|745|15104|2040|10103|260],[[5104|745]|[15104|2040]|[10103|260]],[2|154|2500|2|155|20|2|156|12],[[2|154|2500]|[2|155|20]|[2|156|12]],,,28236,icon_lord_3,,16,lord_equip_desc003,lord_equip_name01,4,2,1
1310017,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|770|15104|2125|10103|270],[[5104|770]|[15104|2125]|[10103|270]],[2|154|3500|2|155|30|2|156|12],[[2|154|3500]|[2|155|30]|[2|156|12]],,,30009,icon_lord_3,,17,lord_equip_desc003,lord_equip_name01,4,3,1
1310018,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|800|15104|2205|10103|280],[[5104|800]|[15104|2205]|[10103|280]],[2|154|3500|2|155|30|2|156|12],[[2|154|3500]|[2|155|30]|[2|156|12]],,,31782,icon_lord_3,,18,lord_equip_desc003,lord_equip_name01,4,3,1
1310019,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|830|15104|2285|10103|290],[[5104|830]|[15104|2285]|[10103|290]],[2|154|3500|2|155|30|2|156|12],[[2|154|3500]|[2|155|30]|[2|156|12]],,,33556,icon_lord_3,,19,lord_equip_desc003,lord_equip_name01,4,3,1
1310020,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|930|15104|2565|10103|325],[[5104|930]|[15104|2565]|[10103|325]],[2|154|3300|2|155|30|2|156|15],[[2|154|3300]|[2|155|30]|[2|156|15]],icon_txt_T1,,35469,icon_lord_3,,20,lord_equip_desc006,lord_equip_name01,5,0,1
1310021,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|955|15104|2630|10103|330],[[5104|955]|[15104|2630]|[10103|330]],[2|154|3900|2|155|30|2|156|15],[[2|154|3900]|[2|155|30]|[2|156|15]],icon_txt_T1,,37382,icon_lord_3,,21,lord_equip_desc006,lord_equip_name01,5,1,1
1310022,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|980|15104|2700|10103|340],[[5104|980]|[15104|2700]|[10103|340]],[2|154|3900|2|155|30|2|156|15],[[2|154|3900]|[2|155|30]|[2|156|15]],icon_txt_T1,,39295,icon_lord_3,,22,lord_equip_desc006,lord_equip_name01,5,1,1
1310023,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|1005|15104|2770|10103|350],[[5104|1005]|[15104|2770]|[10103|350]],[2|154|4400|2|155|30|2|156|15],[[2|154|4400]|[2|155|30]|[2|156|15]],icon_txt_T1,,41208,icon_lord_3,,23,lord_equip_desc006,lord_equip_name01,5,1,1
1310024,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|1030|15104|2840|10103|360],[[5104|1030]|[15104|2840]|[10103|360]],[2|154|4400|2|155|30|2|156|15],[[2|154|4400]|[2|155|30]|[2|156|15]],icon_txt_T1,,43121,icon_lord_3,,24,lord_equip_desc006,lord_equip_name01,5,1,1
1310025,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|1055|15104|2905|10103|365],[[5104|1055]|[15104|2905]|[10103|365]],[2|154|4900|2|155|35|2|156|15],[[2|154|4900]|[2|155|35]|[2|156|15]],icon_txt_T1,,45034,icon_lord_3,,25,lord_equip_desc006,lord_equip_name01,5,2,1
1310026,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|1080|15104|2975|10103|375],[[5104|1080]|[15104|2975]|[10103|375]],[2|154|4900|2|155|35|2|156|15],[[2|154|4900]|[2|155|35]|[2|156|15]],icon_txt_T1,,46948,icon_lord_3,,26,lord_equip_desc006,lord_equip_name01,5,2,1
1310027,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|1105|15104|3045|10103|385],[[5104|1105]|[15104|3045]|[10103|385]],[2|154|4900|2|155|35|2|156|15],[[2|154|4900]|[2|155|35]|[2|156|15]],icon_txt_T1,,48861,icon_lord_3,,27,lord_equip_desc006,lord_equip_name01,5,2,1
1310028,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|1130|15104|3115|10103|395],[[5104|1130]|[15104|3115]|[10103|395]],[2|154|4900|2|155|35|2|156|15],[[2|154|4900]|[2|155|35]|[2|156|15]],icon_txt_T1,,50774,icon_lord_3,,28,lord_equip_desc006,lord_equip_name01,5,2,1
1310029,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|1155|15104|3185|10103|400],[[5104|1155]|[15104|3185]|[10103|400]],[2|154|5400|2|155|45|2|156|20],[[2|154|5400]|[2|155|45]|[2|156|20]],icon_txt_T1,,52687,icon_lord_3,,29,lord_equip_desc006,lord_equip_name01,5,3,1
1310030,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|1185|15104|3250|10103|410],[[5104|1185]|[15104|3250]|[10103|410]],[2|154|5400|2|155|45|2|156|20],[[2|154|5400]|[2|155|45]|[2|156|20]],icon_txt_T1,,54600,icon_lord_3,,30,lord_equip_desc006,lord_equip_name01,5,3,1
1310031,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|1210|15104|3320|10103|420],[[5104|1210]|[15104|3320]|[10103|420]],[2|154|5400|2|155|45|2|156|20],[[2|154|5400]|[2|155|45]|[2|156|20]],icon_txt_T1,,56513,icon_lord_3,,31,lord_equip_desc006,lord_equip_name01,5,3,1
1310032,Atlas/UI_PersonalInfo,Atlas/UI_Item,[5104|1235|15104|3390|10103|430],[[5104|1235]|[15104|3390]|[10103|430]],[2|154|5400|2|155|45|2|156|20],[[2|154|5400]|[2|155|45]|[2|156|20]],icon_txt_T1,,58427,icon_lord_3,,32,lord_equip_desc006,lord_equip_name01,5,3,1
