id,banner_bg,battle_area,battle_area_pet,battleArea,birthCenterPos,boundInfo,camera_size_range,center,centerPos,dataname,decNum,entrance_info,entranceDic,fight_force,finish_reward,is_instance,map_event_id,map_id,map_item,map_name,map_schedule,mapItems,music,pre_id,prefab_path,prefabPath,stage_birth_center,tran_id,unllock_builidng_lv,unlock_fog_ID,unlockBuildingLevel,world_link
99,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData99,0,,{},-1,,-1,,-1,,map_name_99,,[],BGM_senlin_1,-1,[field_map_99],field_map_99,,,,-1,[],-1
1,,,,,"(0.0, 0.0, 0.0)",-20|80|32|110,11|26,,"(0.0, 0.0)",MapData1,0,,{},-1,35|36,-1,,-1,,map_name_1,60|100,[],Bgm_new_city_1,-1,[field_map_1],field_map_1,,,,-1,[],-1
2,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData2,0,"10501,681|184","{10501:(681, 184)}",-1,35|36,-1,,-1,,map_name_2,60|100,[],BGM_senlin_1,-1,[field_map_2],field_map_2,,,,-1,[],1
3,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData3,0,,{},-1,35|36,-1,,-1,,map_name_3,60|100,[],BGM_huangye_1,-1,[field_map_3],field_map_3,,,,-1,[],1
4,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData4,0,,{},-1,35|36,-1,,-1,,map_name_4,60|100,[],BGM_wenyi_1,-1,[field_map_4],field_map_4,,,,-1,[],1
5,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData5,0,,{},-1,35|36,-1,,-1,,map_name_5,60|100,[],BGM_rongyan_1,-1,[field_map_5],field_map_5,,,,-1,[],1
6,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData6,0,,{},-1,35|36,-1,,-1,,map_name_6,60|100,[],BGM_hegu_1,-1,[field_map_6],field_map_6,,,,-1,[],1
7,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData7,0,,{},-1,35|36,-1,,-1,,map_name_7,60|100,[],BGM_huangye_1,-1,[field_map_7],field_map_7,,,,-1,[],1
8,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData8,0,,{},-1,35|36,-1,,-1,,map_name_8,60|100,[],BGM_wenyi_1,-1,[field_map_8],field_map_8,,,,-1,[],1
9,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData9,0,,{},-1,35|36,-1,,-1,,map_name_9,60|100,[],BGM_xueyuan_1,-1,[field_map_9],field_map_9,,,,-1,[],1
10,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",MapData10,0,,{},-1,35|36,-1,,-1,,map_name_11,60|100,[],BGM_shamo_1,-1,[field_map_10],field_map_10,,,,-1,[],1
20,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",S1_MapData20,0,,{},-1,33|34,-1,,-1,,map_name_20,60|100,[],BGM_shamo_1,-1,[S1_field_map_20],S1_field_map_20,,,,-1,[],3
21,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",S1_MapData21,0,,{},-1,33|34,-1,,-1,,map_name_21,60|100,[],BGM_wenyi_1,-1,[S1_field_map_21],S1_field_map_21,,,,-1,[],3
22,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",S1_MapData22,0,,{},-1,33|34,-1,,-1,,map_name_22,60|100,[],BGM_rongyan_1,-1,[S1_field_map_22],S1_field_map_22,,,,-1,[],3
23,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",S1_MapData23,0,,{},-1,33|34,-1,,-1,,map_name_23,60|100,[],BGM_rongyan_1,-1,[S1_field_map_23],S1_field_map_23,,,,-1,[],3
24,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",S1_MapData24,0,,{},-1,33|34,-1,,-1,,map_name_24,60|100,[],BGM_shamo_1,-1,[S1_field_map_24],S1_field_map_24,,,,-1,[],3
31,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",S2_MapData31,0,,{},-1,37814|37815,-1,,-1,,map_name_31,60|100,[],BGM_wenyi_1,-1,[S2_field_map_31],S2_field_map_31,,,,-1,[],5
32,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",S2_MapData32,0,,{},-1,37814|37815,-1,,-1,,map_name_32,60|100,[],BGM_wenyi_1,-1,[S2_field_map_32],S2_field_map_32,,,,-1,[],5
33,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",S2_MapData33,0,,{},-1,37814|37815,-1,,-1,,map_name_33,60|100,[],BGM_rongyan_1,-1,[S2_field_map_33],S2_field_map_33,,,,-1,[],5
34,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",S2_MapData34,0,,{},-1,37814|37815,-1,,-1,,map_name_34,60|100,[],BGM_wenyi_1,-1,[S2_field_map_34],S2_field_map_34,,,,-1,[],5
35,,,,,"(0.0, 0.0, 0.0)",,,,"(0.0, 0.0)",S2_MapData35,0,,{},-1,37814|37815,-1,,-1,,map_name_35,60|100,[],BGM_wenyi_1,-1,[S2_field_map_35],S2_field_map_35,,,,-1,[],5
