id,area,map_id,water
20011,[234|48|76|55],20,550
20012,[310|48|9|34],20,550
20021,[320|43|102|38],20,550
20022,[383|85|38|7],20,550
20023,[348|81|73|4],20,550
20031,[320|92|96|46],20,600
20032,[315|85|68|7],20,600
20033,[292|103|64|39],20,600
20034,[310|83|37|20],20,650
20041,[292|142|46|50],20,650
20042,[338|142|43|35],20,650
20051,[300|192|76|36],20,700
20052,[338|185|34|7],20,700
20061,[376|177|37|48],20,700
20062,[388|159|59|27],20,750
20071,[447|120|32|60],20,750
20072,[438|134|9|25],20,750
20081,[444|16|49|104],20,800
20091,[493|-3|64|112],20,800
20101,[557|-1|54|106],20,800
20111,[548|105|71|76],20,850
20121,[555|181|86|88],20,850
20131,[571|269|70|54],20,850
20141,[572|323|49|66],20,900
20151,[510|330|62|73],20,900
20161,[450|330|60|73],20,900
21011,[381|281|69|130],21,950
21012,[373|281|8|70],21,950
21021,[346|351|35|55],21,950
21022,[327|281|46|70],21,1000
21031,[288|381|58|27],21,1000
21032,[300|351|46|30],21,1000
21041,[201|327|87|123],21,1050
21042,[288|327|12|54],21,1050
21051,[201|450|78|73],21,1050
21061,[279|450|58|63],21,1100
21071,[337|443|53|74],21,1100
21081,[322|517|68|72],21,1100
21091,[344|589|33|72],21,1150
21092,[377|631|14|23],21,1150
21101,[377|589|50|42],21,1150
21102,[391|631|25|13],21,1200
21111,[427|551|53|73],21,1200
21112,[390|540|65|49],21,1200
21121,[390|479|136|61],21,1250
21122,[480|540|23|34],21,1250
21123,[503|540|23|22],21,1250
21131,[503|562|39|107],21,1300
21132,[526|543|11|19],21,1300
21133,[489|574|14|14],21,1300
21134,[542|574|9|21],21,1350
21141,[542|595|87|74],21,1350
21142,[571|588|58|7],21,1350
21151,[574|548|63|40],21,1400
21152,[604|533|24|15],21,1400
21161,[637|486|55|87],21,1400
21162,[628|501|9|47],21,1450
22001,[611|403|55|83],22,1500
22002,[657|385|52|57],22,1500
22003,[709|385|78|82],22,1550
22004,[787|391|59|76],22,1550
22005,[797|467|37|80],22,1600
22006,[741|503|64|55],22,1600
22007,[834|498|87|92],22,1650
22008,[904|578|23|21],22,1650
22009,[805|547|24|35],22,1700
22010,[759|558|54|101],22,1700
22011,[749|584|10|41],22,1700
22012,[813|595|16|14],22,1700
22013,[813|609|92|41],22,1800
22014,[835|650|57|16],22,1800
22015,[905|599|87|68],22,1500
22016,[846|390|36|65],22,1550
22017,[882|405|20|50],22,1550
22018,[902|401|48|54],22,1600
22019,[905|455|25|17],22,1600
22020,[913|470|11|13],22,1600
22021,[930|455|27|15],22,1600
22022,[950|435|15|35],22,1600
22023,[930|470|43|43],22,1650
22024,[965|420|53|75],22,1650
22025,[920|485|10|15],22,1650
22026,[973|495|43|58],22,1700
22027,[1016|494|34|48],22,1800
23001,[967|703|45|56],23,1800
