id,area_id,area_level,birth_alliance_max,birth_circle,birth_num_max,birth_player_max,birth_type,bounty_refresh_area,season,water
1,1,1,5,1,300,220,2,-1,0,-1
2,2,1,5,1,256,220,2,-1,0,-1
3,3,1,5,1,256,220,2,-1,0,-1
4,4,2,5,1,256,220,2,-1,0,-1
5,5,3,5,1,256,220,2,-1,0,-1
6,6,3,5,1,256,220,2,-1,0,-1
7,7,2,5,1,256,220,2,-1,0,-1
8,8,3,5,1,256,220,2,-1,0,-1
9,9,3,5,1,256,220,2,-1,0,-1
10,10,2,5,1,256,220,2,-1,0,-1
11,11,1,5,1,256,220,2,-1,0,-1
12,12,2,5,1,256,220,2,-1,0,-1
13,13,1,5,1,256,220,2,-1,0,-1
14,14,3,5,1,256,220,2,-1,0,-1
15,15,4,5,1,256,220,2,-1,0,-1
16,16,3,5,1,256,220,2,-1,0,-1
17,17,4,5,1,256,220,2,-1,0,-1
18,18,5,5,1,256,220,2,18,0,-1
19,19,4,5,1,256,220,2,-1,0,-1
20,20,3,5,1,256,220,2,-1,0,-1
21,21,2,5,1,256,220,2,-1,0,-1
22,22,1,5,1,256,220,2,-1,0,-1
23,23,1,5,1,256,220,2,-1,0,-1
24,24,3,5,1,256,220,2,-1,0,-1
25,25,4,5,1,256,220,2,-1,0,-1
26,26,5,5,1,256,220,2,26,0,-1
27,27,4,5,1,256,220,2,-1,0,-1
28,28,2,5,1,256,220,2,-1,0,-1
29,29,1,5,2,256,220,1,-1,0,-1
30,30,1,5,2,256,220,1,-1,0,-1
31,31,2,5,2,256,220,1,-1,0,-1
32,32,3,5,2,256,220,1,-1,0,-1
33,33,4,5,2,256,220,1,-1,0,-1
34,34,1,5,2,256,220,1,-1,0,-1
35,35,6,5,2,0,220,1,79,0,-1
36,36,5,5,2,256,220,1,36,0,-1
37,37,4,5,2,256,220,1,-1,0,-1
38,38,2,5,2,256,220,1,-1,0,-1
39,39,1,5,2,256,220,1,-1,0,-1
40,40,1,5,2,256,220,1,-1,0,-1
41,41,2,5,2,256,220,1,-1,0,-1
42,42,3,5,2,256,220,1,-1,0,-1
43,43,4,5,2,256,220,1,-1,0,-1
