id,active_open_time,challenge_chapter,challenge_name,challenge_type,duration,group_id,list_icon,list_icon_2,map_event_id_active,map_event_id_show,oepn_time,pic,pic_show,pic_show_point,reward,unlock_desc,unlock_people_num,yuanzheng_idle_reward
201,-1,-1,map_challenge_name_1,1,-1,201,banner_map1,icon_3,4001,20021,,image_adventure_map1,,[247|678],62201,UI_Gacha_018,10,999|3|2
202,-1,-1,map_challenge_name_2,1,-1,202,banner_map5,icon_3,4002,20021,,image_adventure_map5,,[428|693],62202,UI_Gacha_018,10,999|3|2
301,-1,-1,map_challenge_name_3,1,-1,301,banner_map9,icon_9,4003,20021,,image_adventure_map9,,[310|689],62301,UI_Gacha_018,10,999|3|2
302,-1,-1,map_challenge_name_4,1,-1,302,banner_map2,icon_2,4004,20021,,image_adventure_map2,,[369|700],62302,UI_Gacha_018,10,999|3|2
303,-1,-1,map_challenge_name_5,1,-1,303,banner_map6,icon_5,4005,20021,,image_adventure_map6,,[310|689],62303,UI_Gacha_018,10,999|3|3
401,-1,-1,map_challenge_name_6,1,-1,401,banner_map10,icon_3,4006,20021,,image_adventure_map10,,[231|685],62401,UI_Gacha_018,10,999|3|3
402,-1,-1,map_challenge_name_7,1,-1,402,banner_map3,icon_1,4007,20021,,image_adventure_map3,,[438|709],62402,UI_Gacha_018,10,999|3|3
403,-1,-1,map_challenge_name_8,1,-1,403,banner_map8,icon_7,4008,20021,,image_adventure_map8,,[337|695],62403,UI_Gacha_018,10,999|3|4
501,-1,-1,map_challenge_name_9,1,-1,501,banner_map4,icon_6,4009,20021,,image_adventure_map4,,[144|646],62501,UI_Gacha_018,10,999|3|4
502,-1,-1,map_challenge_name_10,1,-1,502,banner_map4,icon_9,4010,20021,,image_adventure_map4,,[144|646],62502,UI_Gacha_018,10,999|3|4
503,-1,-1,map_challenge_name_11,1,-1,503,banner_map4,icon_2,4011,20021,,image_adventure_map4,,[144|646],62503,UI_Gacha_018,10,999|3|4
504,-1,-1,map_challenge_name_12,1,-1,504,banner_map4,icon_4,4012,20021,,image_adventure_map4,,[144|646],62504,UI_Gacha_018,10,999|3|5
601,-1,-1,map_challenge_name_13,1,-1,601,banner_map5,icon_8,4013,20021,,image_adventure_map5,,[469|705],62601,UI_Gacha_018,10,999|3|5
602,-1,-1,map_challenge_name_14,1,-1,602,banner_map5,icon_1,4014,20021,,image_adventure_map5,,[469|705],62602,UI_Gacha_018,10,999|3|5
603,-1,-1,map_challenge_name_15,1,-1,603,banner_map5,icon_4,4015,20021,,image_adventure_map5,,[469|705],62603,UI_Gacha_018,10,999|3|5
604,-1,-1,map_challenge_name_16,1,-1,604,banner_map5,icon_3,4016,20021,,image_adventure_map5,,[469|705],62604,UI_Gacha_018,10,999|3|5
701,-1,-1,map_challenge_name_17,1,-1,701,banner_map2,icon_9,4017,20021,,image_adventure_map2,,[369|700],62701,UI_Gacha_018,10,999|3|6
702,-1,-1,map_challenge_name_18,1,-1,702,banner_map2,icon_1,4018,20021,,image_adventure_map2,,[369|700],62702,UI_Gacha_018,10,999|3|6
703,-1,-1,map_challenge_name_19,1,-1,703,banner_map8,icon_2,4019,20021,,image_adventure_map8,,[331|693],62703,UI_Gacha_018,10,999|3|6
704,-1,-1,map_challenge_name_20,1,-1,704,banner_map4,icon_4,4020,20021,,image_adventure_map4,,[144|646],62704,UI_Gacha_018,10,999|3|6
10001,0,101,map_challenge_name_100,5,-1,10001,banner_map1,icon_3,-1,-1,,image_adventure_map4,,[469|705],76401,challenge_unlcok_tips_3,2,
10002,0,101,map_challenge_name_100,5,-1,10002,banner_map5,icon_3,-1,-1,,image_adventure_map4,,[369|700],76402,challenge_unlcok_tips_3,2,
10003,1,101,map_challenge_name_100,5,-1,10003,banner_map9,icon_9,-1,-1,,image_adventure_map4,,[369|700],76403,challenge_unlcok_tips_3,2,
10004,1,101,map_challenge_name_100,5,-1,10004,banner_map2,icon_2,-1,-1,,image_adventure_map4,,[331|693],76411,challenge_unlcok_tips_3,2,
10005,2,101,map_challenge_name_100,5,-1,10005,banner_map6,icon_5,-1,-1,,image_adventure_map4,,[144|646],76412,challenge_unlcok_tips_3,2,
10006,2,101,map_challenge_name_100,5,-1,10006,banner_map10,icon_3,-1,-1,,image_adventure_map4,,[469|705],76413,challenge_unlcok_tips_3,2,
10007,3,101,map_challenge_name_100,5,-1,10007,banner_map3,icon_1,-1,-1,,image_adventure_map4,,[369|700],76421,challenge_unlcok_tips_3,2,
10008,4,101,map_challenge_name_100,5,-1,10008,banner_map8,icon_7,-1,-1,,image_adventure_map4,,[369|700],76422,challenge_unlcok_tips_3,2,
10009,5,101,map_challenge_name_100,5,-1,10009,banner_map10,icon_3,-1,-1,,image_adventure_map4,,[331|693],76423,challenge_unlcok_tips_3,2,
10010,6,101,map_challenge_name_100,5,-1,10010,banner_map3,icon_1,-1,-1,,image_adventure_map4,,[144|646],76431,challenge_unlcok_tips_3,2,
10011,7,101,map_challenge_name_100,5,-1,10011,banner_map8,icon_7,-1,-1,,image_adventure_map4,,[469|705],76432,challenge_unlcok_tips_3,2,
10012,8,101,map_challenge_name_100,5,-1,10012,banner_map8,icon_7,-1,-1,,image_adventure_map4,,[369|700],76433,challenge_unlcok_tips_3,2,
11001,-1,102,map_challenge_name_100,3,-1,11001,banner_map1,icon_3,-1,-1,,image_adventure_map4,,[469|705],76401,,-1,
11002,-1,102,map_challenge_name_100,3,-1,11002,banner_map5,icon_3,-1,-1,,image_adventure_map4,,[369|700],76402,,-1,
11003,-1,102,map_challenge_name_100,3,-1,11003,banner_map9,icon_9,-1,-1,,image_adventure_map4,,[369|700],76403,,-1,
11004,-1,102,map_challenge_name_100,3,-1,11004,banner_map2,icon_2,-1,-1,,image_adventure_map4,,[331|693],76411,,-1,
11005,-1,102,map_challenge_name_100,3,-1,11005,banner_map6,icon_5,-1,-1,,image_adventure_map4,,[144|646],76412,,-1,
11006,-1,102,map_challenge_name_100,3,-1,11006,banner_map10,icon_3,-1,-1,,image_adventure_map4,,[469|705],76413,,-1,
11007,-1,102,map_challenge_name_100,3,-1,11007,banner_map3,icon_1,-1,-1,,image_adventure_map4,,[369|700],76421,,-1,
11008,-1,102,map_challenge_name_100,3,-1,11008,banner_map8,icon_7,-1,-1,,image_adventure_map4,,[369|700],76422,,-1,
11009,-1,102,map_challenge_name_100,3,-1,11009,banner_map10,icon_3,-1,-1,,image_adventure_map4,,[331|693],76423,,-1,
11010,-1,102,map_challenge_name_100,3,-1,11010,banner_map3,icon_1,-1,-1,,image_adventure_map4,,[144|646],76431,,-1,
11011,-1,102,map_challenge_name_100,3,-1,11011,banner_map8,icon_7,-1,-1,,image_adventure_map4,,[469|705],76432,,-1,
11012,-1,102,map_challenge_name_100,3,-1,11012,banner_map8,icon_7,-1,-1,,image_adventure_map4,,[369|700],76433,,-1,
12001,-1,103,map_challenge_name_100,3,-1,12001,banner_map1,icon_3,-1,-1,,image_adventure_map4,,[469|705],76401,,-1,
12002,-1,103,map_challenge_name_100,3,-1,12002,banner_map5,icon_3,-1,-1,,image_adventure_map4,,[369|700],76402,,-1,
