id,stageBattleList,stageRewardList,atlas,battle_id,boss_stage,building_limit,dec_1,group_id,head_icon,level_battle_id,level_reward,point_id,power_cost,prev_id,reward,spine_size,type,unit_id
10001,[11001],[64001],Atlas/UI_Monster_Head,11001,-1,[117|2],1,201,Head_60027,,,[325|141],,-1,64001,20,1,90008
10002,[-1],[64002],,-1,-1,[117|2],-1,201,,,,[281|288],,10001,64002,-1,2,-1
10003,[11003],[64003],Atlas/UI_Monster_Head,11003,-1,[117|2],2,201,Head_60020,,,[333|425],,10002,64003,18,1,90004
10004,[11004],[64004],Atlas/UI_Monster_Head,11004,1,[117|2],3,201,Head_60009,,,[459|528],,10003,64004,30,1,70030
10005,[11005],[64005],Atlas/UI_Monster_Head,11005,-1,[117|2],1,202,Head_60027,,,[433|203],,-1,64005,20,1,90008
10006,[-1],[64006],,-1,-1,[117|2],-1,202,,,,[286|268],,10005,64006,-1,2,-1
10007,[11007],[64007],Atlas/UI_Monster_Head,11007,-1,[117|2],2,202,Head_60069,,,[270|432],,10006,64007,30,1,90001
10008,[11008],[64008],Atlas/UI_Monster_Head,11008,1,[117|2],3,202,Head_60069,,,[442|527],,10007,64008,50,1,70031
10100,[11100],[64100],Atlas/UI_Monster_Head,11100,-1,[117|3],1,301,Head_60055,,,[274|171],,-1,64100,20,1,90019
10101,[-1],[64101],,-1,-1,[117|3],-1,301,,,,[290|256],,10100,64101,-1,2,-1
10102,[11102],[64102],Atlas/UI_Monster_Head,11102,-1,[117|3],2,301,Head_60055,,,[241|322],,10101,64102,20,1,90007
10103,[11103],[64103],Atlas/UI_Monster_Head,11103,-1,[117|3],3,301,Head_60055,,,[214|473],,10102,64103,30,1,80010
10104,[-1],[64104],,-1,-1,[117|3],-1,301,,,,[334|448],,10103,64104,-1,2,-1
10105,[11105],[64105],Atlas/UI_Monster_Head,11105,-1,[117|3],4,301,Head_60073,,,[457|423],,10104,64105,30,1,70032
10106,[11106],[64106],Atlas/UI_Monster_Head,11106,1,[117|3],5,301,Head_60073,,,[383|564],,10105,64106,50,1,70032
10107,[11107],[64107],Atlas/UI_Monster_Head,11107,-1,[117|3],1,302,Head_60106,,,[234|151],,-1,64107,30,1,90029
10108,[-1],[64108],,-1,-1,[117|3],-1,302,,,,[346|200],,10107,64108,-1,2,-1
10109,[11109],[64109],Atlas/UI_Monster_Head,11109,-1,[117|3],2,302,Head_60106,,,[317|274],,10108,64109,30,1,90030
10110,[11110],[64110],Atlas/UI_Monster_Head,11110,-1,[117|3],3,302,Head_60106,,,[241|335],,10109,64110,30,1,80015
10111,[-1],[64111],,-1,-1,[117|3],-1,302,,,,[304|457],,10110,64111,-1,2,-1
10112,[11112],[64112],Atlas/UI_Hero_Head,11112,-1,[117|3],4,302,Head_10016,,,[400|520],,10111,64112,30,1,80016
10113,[11113],[64113],Atlas/UI_Hero_Head,11113,1,[117|3],5,302,Head_10017,,,[466|604],,10112,64113,43,1,80017
10114,[11114],[64114],Atlas/UI_Monster_Head,11114,-1,[117|4],1,303,Head_60001,,,[456|143],,-1,64114,20,1,90002
10115,[-1],[64115],,-1,-1,[117|4],-1,303,,,,[374|183],,10114,64115,-1,2,-1
10116,[11116],[64116],Atlas/UI_Monster_Head,11116,-1,[117|4],2,303,Head_60139,,,[319|249],,10115,64116,30,1,90138
10117,[11117],[64117],Atlas/UI_Monster_Head,11117,-1,[117|4],3,303,Head_60140,,,[257|333],,10116,64117,30,1,90140
10118,[-1],[64118],,-1,-1,[117|4],-1,303,,,,[296|431],,10117,64118,-1,2,-1
10119,[11119],[64119],Atlas/UI_Hero_Head,11119,-1,[117|4],4,303,Head_10017,,,[322|529],,10118,64119,30,1,80005
10120,[11120],[64120],Atlas/UI_Hero_Head,11120,1,[117|4],5,303,Head_10011,,,[274|597],,10119,64120,43,1,80011
10200,[11200],[64200],Atlas/UI_Monster_Head,11200,-1,[117|5],1,401,Head_60011,,,[312|65],,-1,64200,20,1,90005
10201,[11201],[64201],Atlas/UI_Monster_Head,11201,-1,[117|5],2,401,Head_60011,,,[342|144],,10200,64201,20,1,90009
10202,[-1],[64202],,-1,-1,[117|5],-1,401,,,,[292|246],,10201,64202,-1,2,-1
