id,isPreEventShow,isPreEventShowBubble,IsTabActive,preEventShowBubbleId,preEventShowId,accept_task,area,avatarOffset,city_fog_id,cityCellSize,click_high,costs,dialog_id,diy_area_name,drop_display,dropDisplay,event_active_kill,event_build_limit,event_cost,event_describ,event_type,event_unlock,event_value,event_value_1,event_value_2,event_value_kill,event_value_kill_group,eventUnlock,fightforce,finish_hero_bubble,finish_link,firepot_addlevel,firepot_addtime,firepot_num,is_tap_active,map_id,mapName,model,model2,notice_tips,pre_event_show,pre_event_show_bubble,ranking_param,ranking_server,res_offset,reward_id,rewardGroupIds,size,submit_limit,talkBubbleMeta,teleport_position,telepos,time_bar_time,unlockBuilding,weight
-1,false,false,false,-1,-1,-1,,"(0.0, 0.0)",-1,"(0, 0)",-1,[(999|3|0)],-1,,,{},-1,,[999|3|0],map_event_describe_3,3,,-1,,,-1,-1,[],-1,,-1,-1,-1,,-1,-1,,,,,-1,-1,,-1,,-1,[],-1,-1,,,,0,[],-1
3,false,false,false,-1,-1,-1,,"(0.0, 0.0)",-1,"(0, 0)",-1,[(999|4|5)],7,,,{},-1,,[999|4|5],map_event_describe_3,3,,1,,,-1,-1,[],-1,,-1,-1,-1,,-1,-1,,Building/Building_15,,,-1,-1,,-1,,-1,[],90,-1,,,,0,[],-1
4,false,false,false,-1,-1,-1,,"(0.0, 0.0)",-1,"(0, 0)",-1,[(999|4|10)],-1,,,{},-1,,[999|4|10],map_event_describe_3,3,,2,,,-1,-1,[],-1,,-1,-1,-1,,-1,-1,,Building/Building_08,,,-1,-1,,-1,,-1,[],70,-1,,,,0,[],-1
5,false,false,false,-1,-1,-1,,"(0.0, 0.0)",-1,"(0, 0)",-1,[(999|4|20)],-1,,,{},-1,,[999|4|20],map_event_describe_3,3,,3,,,-1,-1,[],-1,,-1,-1,-1,,-1,-1,,Building/Building_07,,,-1,-1,,-1,,-1,[],70,-1,,,,0,[],-1
6,false,false,false,-1,-1,-1,,"(0.0, 0.0)",-1,"(0, 0)",-1,[(999|4|30)],-1,,,{},-1,,[999|4|30],map_event_describe_3,3,,4,,,-1,-1,[],-1,,-1,-1,-1,,-1,-1,,Building/Building_05,,,-1,-1,,-1,,-1,[],70,-1,,,,0,[],-1
7,false,false,false,-1,-1,-1,,"(0.0, 0.0)",-1,"(0, 0)",-1,[(999|4|40)],-1,,,{},-1,,[999|4|40],map_event_describe_3,3,,5,,,-1,-1,[],-1,,-1,-1,-1,,-1,-1,,Building/Building_14,,,-1,-1,,-1,,-1,[],70,-1,,,,0,[],-1
8,false,false,false,-1,-1,-1,,"(0.0, 0.0)",-1,"(0, 0)",-1,[(999|4|50)],-1,,,{},-1,,[999|4|50],map_event_describe_3,3,,6,,,-1,-1,[],-1,,-1,-1,-1,,-1,-1,,Building/Building_17,,,-1,-1,,-1,,-1,[],70,-1,,,,0,[],-1
9,false,false,false,-1,-1,-1,,"(0.0, 0.0)",-1,"(0, 0)",-1,[(999|4|50)],-1,,,{},-1,,[999|4|50],map_event_describe_3,3,,7,,,-1,-1,[],-1,,-1,-1,-1,,-1,-1,,Building/Building_09,,,-1,-1,,-1,,-1,[],70,-1,,,,0,[],-1
10,false,false,false,-1,-1,-1,,"(0.0, 0.0)",-1,"(0, 0)",-1,[(999|4|50)],26,,,{},-1,,[999|4|50],map_event_describe_3,13,[13],116|1,,,-1,-1,[13],-1,,-1,-1,-1,,-1,1,,,,,-1,-1,,-1,,-1,[],-1,-1,,,,0,[],-1
11,false,false,false,-1,-1,-1,,"(0.0, 0.0)",-1,"(0, 0)",-1,[(999|5|50)],27,,,{},-1,,[999|5|50],map_event_describe_3,13,[10],116|2,,,-1,-1,[10],-1,,-1,-1,-1,,-1,1,,,,,-1,-1,,-1,,-1,[],-1,-1,,,,0,[],-1
