id,event_type,finish_num,mapid,param,type,world_id
101,2,20,1,101,1,1
102,2,20,2,103,1,1
103,2,20,1,104,1,1
104,1,20,1,20011,1,1
106,2,20,1,41002,1,1
109,4,10,1,10001,1,1
110,4,10,1,10002,1,1
111,4,10,1,10004,1,1
112,4,10,1,10005,1,1
114,2,20,3,105,1,1
201,4,10,2,10201,1,1
202,4,10,2,10202,1,1
203,4,10,2,10203,1,1
204,4,10,2,10204,1,1
205,4,10,2,10205,1,1
206,4,10,2,10207,1,1
207,4,10,2,10208,1,1
208,4,10,2,10209,1,1
209,4,10,2,10210,1,1
210,4,10,2,10211,1,1
211,4,10,2,10212,1,1
212,4,10,2,10213,1,1
215,4,10,2,10216,1,1
216,4,10,2,10217,1,1
217,4,10,2,10218,1,1
218,4,10,2,10219,1,1
220,1,20,2,20021,1,1
221,1,20,2,20022,1,1
222,1,20,2,20023,1,1
223,1,20,2,20024,1,1
224,3,10,2,30211,1,1
225,3,10,2,30212,1,1
226,3,10,2,30221,1,1
227,3,10,2,30222,1,1
228,3,10,2,30231,1,1
229,2,20,2,41009,1,1
230,2,20,2,41010,1,1
231,2,20,2,42002,1,1
232,2,20,2,42003,1,1
234,5,30,2,25111,2,1
235,5,30,2,25121,2,1
303,1,20,3,20031,1,1
304,1,20,3,20032,1,1
305,1,20,3,20033,1,1
306,1,20,3,20034,1,1
307,3,10,3,30311,1,1
308,3,10,3,30312,1,1
309,3,10,3,30321,1,1
310,3,10,3,30331,1,1
311,3,10,3,30332,1,1
312,3,10,3,30341,1,1
313,3,10,3,30342,1,1
314,3,10,3,30343,1,1
315,2,20,3,41011,1,1
317,2,20,3,42004,1,1
318,2,20,3,42005,1,1
319,4,10,3,10301,1,1
320,4,10,3,10302,1,1
321,4,10,3,10303,1,1
322,4,10,3,10304,1,1
323,4,10,3,10305,1,1
324,4,10,3,10306,1,1
325,4,10,3,10307,1,1
326,4,10,3,10308,1,1
327,4,10,3,10309,1,1
328,4,10,3,10310,1,1
329,4,10,3,10311,1,1
330,4,10,3,10312,1,1
331,4,10,3,10313,1,1
332,4,10,3,10314,1,1
333,5,30,3,35111,2,1
334,5,30,3,35121,2,1
335,5,30,3,35131,2,1
336,1,20,3,20035,1,1
403,1,20,4,20041,1,1
404,1,20,4,20042,1,1
405,1,20,4,20043,1,1
406,1,20,4,20044,1,1
407,3,10,4,30411,1,1
408,3,10,4,30412,1,1
409,3,10,4,30421,1,1
410,3,10,4,30431,1,1
411,3,10,4,30432,1,1
412,3,10,4,30441,1,1
413,3,10,4,30442,1,1
414,3,10,4,30443,1,1
418,2,20,4,42006,1,1
419,2,20,4,42008,1,1
420,4,10,4,10401,1,1
421,4,10,4,10402,1,1
422,4,10,4,10403,1,1
423,4,10,4,10404,1,1
424,4,10,4,10405,1,1
425,4,10,4,10406,1,1
426,4,10,4,10407,1,1
427,4,10,4,10408,1,1
428,4,10,4,10409,1,1
429,4,10,4,10410,1,1
430,4,10,4,10411,1,1
431,4,10,4,10412,1,1
432,4,10,4,10413,1,1
433,4,10,4,10414,1,1
434,4,10,4,10415,1,1
435,5,30,4,45111,2,1
436,5,30,4,45121,2,1
437,5,30,4,45131,2,1
438,2,10,4,80401,1,1
439,2,10,4,80402,1,1
440,2,10,4,80403,1,1
441,2,10,4,80404,1,1
442,2,10,4,80405,1,1
443,2,10,4,80406,1,1
444,2,10,4,80407,1,1
445,2,10,4,80408,1,1
446,2,10,4,80409,1,1
447,2,10,4,80410,1,1
448,2,10,4,80411,1,1
449,2,10,4,80412,1,1
450,2,10,4,80413,1,1
502,1,20,5,20051,1,1
503,1,20,5,20052,1,1
504,1,20,5,20053,1,1
505,1,20,5,20061,1,1
506,3,10,5,30511,1,1
507,3,10,5,30512,1,1
508,3,10,5,30521,1,1
509,3,10,5,30531,1,1
510,3,10,5,30532,1,1
511,3,10,5,30541,1,1
512,3,10,5,30542,1,1
513,3,10,5,30543,1,1
517,2,20,5,42007,1,1
518,4,10,5,10501,1,1
519,4,10,5,10502,1,1
520,4,10,5,10503,1,1
521,4,10,5,10504,1,1
522,4,10,5,10505,1,1
523,4,10,5,10506,1,1
524,4,10,5,10507,1,1
525,4,10,5,10508,1,1
526,4,10,5,10509,1,1
527,4,10,5,10510,1,1
528,4,10,5,10511,1,1
529,4,10,5,10512,1,1
530,4,10,5,10513,1,1
531,4,10,5,10514,1,1
532,4,10,5,10515,1,1
533,4,10,5,10516,1,1
534,5,40,5,55111,2,1
535,5,40,5,55121,2,1
536,5,40,5,55131,2,1
537,2,10,5,80501,1,1
538,2,10,5,80502,1,1
539,2,10,5,80503,1,1
540,2,10,5,80504,1,1
541,2,10,5,80505,1,1
542,2,10,5,80506,1,1
543,2,10,5,80507,1,1
544,2,10,5,80508,1,1
545,2,10,5,80509,1,1
546,2,10,5,80510,1,1
547,2,10,5,80511,1,1
548,2,10,5,80512,1,1
601,1,20,6,20062,1,1
602,1,20,6,20063,1,1
603,1,20,6,20064,1,1
604,1,20,6,20065,1,1
605,3,10,6,30611,1,1
606,3,10,6,30612,1,1
607,3,10,6,30621,1,1
608,3,10,6,30631,1,1
609,3,10,6,30632,1,1
610,3,10,6,30641,1,1
611,3,10,6,30642,1,1
612,3,10,6,30643,1,1
616,2,20,6,42009,1,1
618,4,10,6,10601,1,1
619,4,10,6,10602,1,1
620,4,10,6,10603,1,1
621,4,10,6,10604,1,1
622,4,10,6,10605,1,1
623,4,10,6,10606,1,1
624,4,10,6,10607,1,1
625,4,10,6,10608,1,1
626,4,10,6,10609,1,1
627,4,10,6,10610,1,1
628,4,10,6,10611,1,1
629,4,10,6,10612,1,1
630,4,10,6,10613,1,1
631,4,10,6,10614,1,1
632,4,10,6,10615,1,1
633,4,10,6,10616,1,1
634,4,10,6,10617,1,1
635,5,40,6,61001,2,1
636,5,40,6,61002,2,1
637,5,40,6,61003,2,1
638,2,10,6,80601,1,1
639,2,10,6,80602,1,1
640,2,10,6,80603,1,1
641,2,10,6,80604,1,1
642,2,10,6,80605,1,1
643,2,10,6,80606,1,1
644,2,10,6,80607,1,1
645,2,10,6,80608,1,1
646,2,10,6,80609,1,1
647,2,10,6,80610,1,1
