id,destroy_type,downgrade,exit_point,exitPos,fight_force,finish_param,finish_type,inlet_point,inletPos,map_event_limit,map_id,map_level,map_zoom_icon,mapEventLimit,monster_level_fix,next_raid,raid_inlet,reborn,time_limit,type
1,0,-1,,,-1,,-1,,,,1,,,[],0,-1,-1,0,-1,4
2,0,-1,,,-1,,-1,,,,2,map_level_2,,[],0,-1,-1,0,-1,4
3,0,-1,,,-1,,-1,,,,3,map_level_3,,[],0,-1,-1,0,-1,4
4,0,-1,,,-1,,-1,,,,4,map_level_4,,[],0,-1,-1,0,-1,4
5,0,-1,,,-1,,-1,,,,5,map_level_5,,[],0,-1,-1,0,-1,4
6,0,-1,,,-1,,-1,,,,6,map_level_6,,[],0,-1,-1,0,-1,4
7,0,-1,,,-1,,-1,,,,7,map_level_7,,[],0,-1,-1,0,-1,4
8,0,-1,,,-1,,-1,,,,8,map_level_8,,[],0,-1,-1,0,-1,4
9,0,-1,,,-1,,-1,,,,9,map_level_9,,[],0,-1,-1,0,-1,4
10,0,-1,,,-1,,-1,,,,10,map_level_10,,[],0,-1,-1,0,-1,4
20,0,-1,,,-1,,-1,,,,20,map_water_1,,[],0,-1,-1,0,-1,4
21,0,-1,,,-1,,-1,,,,21,map_water_2,,[],0,-1,-1,0,-1,4
22,0,-1,,,-1,,-1,,,,22,map_water_3,,[],0,-1,-1,0,-1,4
23,0,-1,,,-1,,-1,,,,23,map_water_4,,[],0,-1,-1,0,-1,4
24,0,-1,,,-1,,-1,,,,24,map_water_5,,[],0,-1,-1,0,-1,4
31,0,-1,,,-1,,-1,,,,31,map_wendu_1,,[],0,-1,-1,0,-1,4
32,0,-1,,,-1,,-1,,,,32,map_wendu_2,,[],0,-1,-1,0,-1,4
33,0,-1,,,-1,,-1,,,,33,map_wendu_3,,[],0,-1,-1,0,-1,4
34,0,-1,,,-1,,-1,,,,34,map_wendu_4,,[],0,-1,-1,0,-1,4
35,0,-1,,,-1,,-1,,,,35,map_wendu_5,,[],0,-1,-1,0,-1,4
41,0,-1,,,-1,,-1,,,,41,map_light_1,,[],0,-1,-1,0,-1,4
42,0,-1,,,-1,,-1,,,,42,map_light_2,,[],0,-1,-1,0,-1,4
43,0,-1,,,-1,,-1,,,,43,map_light_3,,[],0,-1,-1,0,-1,4
51,0,-1,,,-1,,-1,,,,51,map_oxygen_1,,[],0,-1,-1,0,-1,4
52,0,-1,,,-1,,-1,,,,52,map_oxygen_2,,[],0,-1,-1,0,-1,4
53,0,-1,,,-1,,-1,,,,53,map_oxygen_3,,[],0,-1,-1,0,-1,4
99,0,-1,,,-1,,-1,,,,99,,,[],0,-1,-1,0,-1,4
2002,0,-1,,,-1,,-1,,,,2002,map_level_none,,[],0,-1,-1,0,-1,4
2003,0,-1,,,-1,,-1,,,,2003,map_level_none,,[],0,-1,-1,0,-1,4
2004,0,-1,,,-1,,-1,,,,2004,map_level_none,,[],0,-1,-1,0,-1,4
2005,0,-1,,,-1,,-1,,,,2005,map_level_none,,[],0,-1,-1,0,-1,4
2006,0,-1,,,-1,,-1,,,,2006,map_level_none,,[],0,-1,-1,0,-1,4
2007,0,-1,,,-1,,-1,,,,2007,map_level_none,,[],0,-1,-1,0,-1,4
