id,event_id,event_pos,eventPos,map_instance,pre_param,pre_type
65010,65010,[171.79|63.38],[171.79|63.38],30001,3,2
65020,65020,[171.79|63.38],[171.79|63.38],30002,3,2
65030,65030,[171.79|63.38],[171.79|63.38],30003,3,2
65040,65040,[171.79|63.38],[171.79|63.38],30004,3,2
65050,65050,[171.79|63.38],[171.79|63.38],30005,3,2
65060,65060,[171.79|63.38],[171.79|63.38],30006,3,2
65070,65070,[171.79|63.38],[171.79|63.38],30007,3,2
65080,65080,[171.79|63.38],[171.79|63.38],30008,3,2
65090,65090,[171.79|63.38],[171.79|63.38],30009,3,2
65100,65100,[171.79|63.38],[171.79|63.38],30010,3,2
65110,65110,[171.79|63.38],[171.79|63.38],30011,3,2
65120,65120,[171.79|63.38],[171.79|63.38],30012,3,2
65130,65130,[171.79|63.38],[171.79|63.38],30013,3,2
65140,65140,[171.79|63.38],[171.79|63.38],30014,3,2
65150,65150,[171.79|63.38],[171.79|63.38],30015,3,2
65160,65160,[171.79|63.38],[171.79|63.38],30016,3,2
65170,65170,[171.79|63.38],[171.79|63.38],30017,3,2
65180,65180,[171.79|63.38],[171.79|63.38],30018,3,2
65190,65190,[171.79|63.38],[171.79|63.38],30019,3,2
65200,65200,[171.79|63.38],[171.79|63.38],30020,3,2
65011,65011,[183.79|54.33],[183.79|54.33],30001,2,2
65021,65021,[183.79|54.33],[183.79|54.33],30002,2,2
65031,65031,[183.79|54.33],[183.79|54.33],30003,2,2
65041,65041,[183.79|54.33],[183.79|54.33],30004,2,2
65051,65051,[183.79|54.33],[183.79|54.33],30005,2,2
65061,65061,[183.79|54.33],[183.79|54.33],30006,2,2
65071,65071,[183.79|54.33],[183.79|54.33],30007,2,2
65081,65081,[183.79|54.33],[183.79|54.33],30008,2,2
65091,65091,[183.79|54.33],[183.79|54.33],30009,2,2
65101,65101,[183.79|54.33],[183.79|54.33],30010,2,2
65111,65111,[183.79|54.33],[183.79|54.33],30011,2,2
65121,65121,[183.79|54.33],[183.79|54.33],30012,2,2
65131,65131,[183.79|54.33],[183.79|54.33],30013,2,2
