id,attr_affected,attr_affected_1,attr_def_role_city_affected,attr_resource_affected,attr_scout_affected,march_shield,march_unit,march_warning,speed,switch_troop_carry
1,-1,-1,-1,-1,1,1,22006,1,0.03,-1
5,1,-1,-1,-1,-1,-1,,-1,0.015,-1
42,1,-1,-1,-1,-1,-1,,-1,0.015,-1
3,1,-1,-1,1,-1,-1,,1,0.015,-1
69,1,-1,-1,-1,-1,-1,,-1,0.015,-1
8,1,-1,-1,-1,-1,-1,,1,0.015,-1
9,-1,-1,-1,-1,-1,-1,,-1,0.015,-1
2,-1,1,-1,-1,-1,1,,1,0.005,1
11,-1,-1,-1,-1,-1,1,,1,0.005,1
12,-1,-1,-1,-1,-1,1,,1,0.005,1
70,-1,-1,-1,-1,-1,-1,,-1,0.008,-1
71,-1,-1,-1,-1,-1,-1,22006,-1,0.008,-1
19,-1,-1,-1,-1,-1,1,,1,0.005,1
20,-1,-1,-1,-1,-1,1,,-1,0.005,1
21,-1,-1,-1,-1,-1,1,,1,0.005,1
22,-1,-1,1,-1,-1,-1,,-1,0.005,1
73,-1,-1,-1,-1,-1,-1,,-1,0.01,-1
72,-1,-1,-1,-1,-1,-1,,-1,0.015,-1
61,-1,-1,-1,-1,-1,-1,,-1,0.015,-1
75,-1,-1,-1,-1,-1,-1,,-1,0.015,-1
76,-1,-1,1,-1,-1,-1,,1,0.005,1
77,-1,-1,-1,-1,-1,-1,,-1,0.015,-1
78,-1,1,-1,-1,-1,1,,1,0.005,1
79,-1,-1,-1,-1,-1,-1,,-1,0.015,-1
80,-1,1,-1,-1,-1,1,,1,0.005,1
81,-1,-1,1,-1,-1,-1,,-1,0.005,1
90,-1,-1,1,-1,-1,-1,,1,0.005,-1
91,-1,1,-1,-1,-1,-1,,1,0.005,-1
92,-1,-1,-1,-1,-1,-1,,-1,0.03,-1
93,-1,1,-1,-1,-1,-1,,1,0.005,-1
94,-1,-1,-1,-1,-1,-1,,-1,0.001,-1
95,-1,-1,-1,-1,-1,-1,,1,0,-1
96,-1,-1,1,-1,-1,-1,,-1,0.015,-1
97,-1,-1,-1,1,-1,-1,,-1,0.01,-1
98,-1,-1,-1,-1,-1,-1,,-1,0.1,-1
99,-1,-1,1,-1,-1,-1,,-1,0.01,-1
100,-1,1,-1,-1,-1,-1,,1,0.01,-1
101,-1,-1,-1,-1,-1,-1,,-1,0.01,-1
102,-1,-1,-1,-1,-1,-1,,1,0.2,-1
103,-1,-1,-1,-1,-1,-1,,-1,0.015,-1
104,-1,-1,-1,-1,-1,-1,,-1,0.015,-1
105,-1,-1,-1,-1,-1,-1,,-1,0.015,-1
106,-1,-1,-1,-1,-1,-1,60249,1,0.3,-1
107,-1,-1,1,-1,-1,-1,,-1,0.01,-1
108,-1,-1,-1,-1,-1,-1,,-1,0.015,-1
109,-1,-1,-1,-1,-1,-1,,-1,0.1,-1
110,-1,-1,1,-1,-1,-1,,-1,0.01,-1
111,-1,-1,-1,-1,-1,-1,,-1,0.3,-1
112,-1,-1,1,-1,-1,-1,,-1,0.01,-1
113,-1,-1,-1,1,-1,-1,,-1,0.01,-1
114,-1,-1,1,-1,-1,-1,,-1,0.01,-1
116,-1,-1,-1,1,-1,-1,,-1,0.01,-1
117,-1,-1,-1,1,-1,-1,,-1,0.01,-1
118,-1,-1,-1,-1,-1,-1,,-1,0.3,-1
119,-1,-1,1,-1,-1,-1,,-1,0.01,-1
120,-1,-1,1,-1,-1,-1,,-1,0.01,-1
121,-1,-1,1,-1,-1,-1,,-1,0.015,-1
122,-1,-1,1,-1,-1,-1,,-1,0.015,-1
123,-1,-1,1,-1,-1,-1,,-1,0.01,-1
124,-1,-1,1,-1,-1,-1,,-1,0.015,1
125,-1,-1,1,-1,-1,-1,,-1,0.015,1
126,-1,1,-1,-1,-1,1,,-1,0.005,1
127,-1,-1,1,-1,-1,-1,,-1,0.01,-1
128,-1,-1,-1,-1,-1,-1,,-1,0.01,-1
129,-1,-1,1,-1,-1,-1,,-1,0.01,-1
130,-1,-1,1,-1,-1,-1,,-1,0.01,-1
131,-1,-1,-1,-1,-1,-1,,1,0.1,-1
132,-1,-1,-1,-1,-1,-1,22008,-1,0.01,-1
133,-1,-1,1,-1,-1,-1,,-1,0.01,-1
134,-1,-1,-1,-1,-1,-1,,-1,0.015,-1
135,-1,-1,-1,-1,-1,-1,,1,0.2,-1
137,-1,-1,-1,-1,-1,-1,,-1,0.015,-1
138,-1,-1,-1,-1,-1,-1,,-1,0.015,-1
139,-1,-1,-1,-1,-1,-1,,-1,0.015,-1
140,-1,-1,-1,-1,-1,-1,,-1,0.015,-1
141,-1,-1,-1,-1,-1,-1,,-1,0.1,-1
142,-1,-1,-1,-1,-1,-1,,-1,0.3,-1
143,-1,-1,-1,-1,-1,-1,,-1,0.01,-1
144,-1,-1,-1,-1,-1,-1,,-1,0.1,-1
145,-1,-1,-1,-1,-1,-1,,-1,0.1,-1
146,-1,-1,-1,-1,-1,-1,,-1,0.1,-1
153,-1,1,-1,1,-1,-1,,1,0.005,-1
154,-1,1,-1,-1,-1,-1,,1,0.005,-1
155,-1,-1,-1,-1,-1,-1,,-1,2,-1
156,-1,-1,-1,-1,-1,1,,1,0.005,1
157,-1,-1,-1,-1,-1,1,,-1,0.005,1
158,-1,-1,-1,-1,-1,1,,1,0.005,1
159,-1,1,-1,1,-1,1,,-1,0.005,1
161,-1,-1,-1,-1,-1,-1,,-1,0.005,-1
162,-1,1,-1,-1,-1,1,,1,0.005,1
163,-1,1,-1,-1,-1,1,,1,0.005,1
164,-1,1,-1,-1,-1,1,,1,0.005,1
165,-1,1,-1,-1,-1,1,,1,0.005,1
166,-1,-1,-1,-1,-1,-1,,-1,0.005,-1
167,-1,1,-1,-1,-1,1,,1,0.005,1
168,-1,1,-1,-1,-1,1,,1,0.005,1
169,-1,1,-1,-1,-1,1,,1,0.005,1
170,-1,-1,1,-1,-1,-1,,-1,0.015,1
171,-1,-1,1,-1,-1,-1,,-1,0.015,1
172,-1,1,-1,-1,-1,-1,,1,0.015,1
173,-1,1,-1,-1,-1,-1,,1,0.015,1
174,-1,-1,-1,-1,-1,-1,,-1,0.015,1
175,-1,-1,-1,-1,-1,-1,,1,0.015,1
176,-1,-1,-1,-1,-1,-1,,1,0.015,1
177,-1,-1,1,-1,-1,-1,,-1,0.015,-1
178,-1,-1,-1,-1,-1,-1,,-1,2,-1
179,-1,-1,-1,-1,-1,-1,,-1,0.005,1
180,-1,-1,-1,-1,-1,-1,,-1,0.015,-1
