id,attr_affected,attr_affected_1,attr_def_role_city_affected,attr_resource_affected,attr_scout_affected,march_shield,march_type,march_unit,speed,switch_troop_carry,target
8001,-1,1,-1,-1,-1,1,8,,0.005,1,1
8002,1,-1,-1,-1,-1,-1,8,,0.015,-1,2
8004,-1,-1,-1,-1,-1,-1,8,,0.015,-1,4
8007,-1,-1,-1,-1,-1,-1,8,,0.015,-1,7
8009,-1,1,-1,-1,-1,1,8,,0.005,1,9
8010,-1,1,-1,-1,-1,1,8,,0.005,1,10
8012,1,-1,-1,-1,-1,-1,8,,0.015,-1,12
8015,-1,1,-1,-1,-1,1,8,,0.005,1,15
8017,1,-1,-1,-1,-1,-1,8,,0.015,-1,17
8031,1,-1,-1,-1,-1,-1,8,,0.015,-1,31
8034,1,-1,-1,-1,-1,-1,8,,0.015,-1,34
8035,-1,1,-1,-1,-1,1,8,,0.005,1,35
8036,-1,1,-1,-1,-1,1,8,,0.005,1,36
8037,-1,1,-1,-1,-1,-1,8,,0.005,1,37
8038,-1,1,-1,-1,-1,-1,8,,0.005,1,38
8045,1,-1,-1,-1,-1,-1,8,,0.015,-1,45
8050,-1,1,-1,-1,-1,1,8,,0.005,1,50
8063,-1,1,-1,-1,-1,1,8,,0.005,1,63
8053,-1,1,-1,-1,-1,1,8,,0.005,1,53
8062,1,-1,-1,-1,-1,-1,8,,0.015,-1,62
8071,1,-1,-1,-1,-1,-1,8,,0.015,-1,71
8079,-1,1,-1,-1,-1,-1,8,,0.005,1,79
8080,-1,1,-1,-1,-1,1,8,,0.015,1,81
8081,-1,1,-1,-1,-1,1,8,,0.015,1,82
8082,-1,1,-1,-1,-1,1,8,,0.015,1,83
8083,-1,1,-1,-1,-1,1,8,,0.015,1,84
8084,-1,1,-1,-1,-1,1,8,,0.015,1,90
8087,-1,1,-1,-1,-1,1,8,,0.005,1,87
8088,-1,1,-1,-1,-1,1,8,,0.005,1,88
9001,-1,1,-1,-1,-1,1,9,,0.015,1,1
9002,1,-1,-1,-1,-1,-1,9,,0.015,-1,2
9004,-1,-1,-1,-1,-1,-1,9,,0.015,-1,4
9007,-1,-1,-1,-1,-1,-1,9,,0.015,-1,7
9009,-1,1,-1,-1,-1,1,9,,0.015,1,9
9010,-1,1,-1,-1,-1,1,9,,0.015,1,10
9012,1,-1,-1,-1,-1,-1,9,,0.015,-1,12
9015,-1,1,-1,-1,-1,1,9,,0.015,1,15
9017,1,-1,-1,-1,-1,-1,9,,0.015,-1,17
9031,1,-1,-1,-1,-1,-1,9,,0.015,-1,31
9034,1,-1,-1,-1,-1,-1,9,,0.015,-1,34
9035,-1,1,-1,-1,-1,1,9,,0.015,1,35
9036,-1,1,-1,-1,-1,1,9,,0.015,1,36
9037,-1,1,-1,-1,-1,-1,9,,0.015,1,37
9038,-1,1,-1,-1,-1,-1,9,,0.015,1,38
9045,1,-1,-1,-1,-1,-1,9,,0.015,-1,45
9050,-1,1,-1,-1,-1,1,9,,0.015,1,50
9063,-1,1,-1,-1,-1,1,9,,0.015,1,63
9053,-1,1,-1,-1,-1,1,9,,0.015,1,53
9062,1,-1,-1,-1,-1,-1,9,,0.015,-1,62
9071,1,-1,-1,-1,-1,-1,9,,0.015,-1,71
9079,-1,1,-1,-1,-1,-1,9,,0.015,1,79
9080,-1,1,-1,-1,-1,1,9,,0.015,1,81
9081,-1,1,-1,-1,-1,1,9,,0.015,1,82
9082,-1,1,-1,-1,-1,1,9,,0.015,1,83
9083,-1,1,-1,-1,-1,1,9,,0.015,1,84
9084,-1,1,-1,-1,-1,1,9,,0.015,1,90
9087,-1,1,-1,-1,-1,1,9,,0.015,1,87
9088,-1,1,-1,-1,-1,1,9,,0.015,1,88
