id,day_need,drop_client,first_drop_client,first_reward,force,group_id,icon,kill_exp,kill_exp_hero,level,level_need,level_show,map_instance,map_stage,model,new_ui_banner,pve_id,recommend,reward,reward_join
1001,-1,,,-1,-1,1,Head_70001,-1,-1,1,1,1,30001,20001,map_monster_004,,-1,,-1,-1
1002,-1,,,-1,-1,1,Head_70001,-1,-1,2,1,2,30001,20001,map_monster_004,,-1,,-1,-1
1003,-1,,,-1,-1,1,Head_70001,-1,-1,3,1,3,30001,20001,map_monster_004,,-1,,-1,-1
1004,-1,,,-1,-1,1,Head_70001,-1,-1,4,1,4,30001,20001,map_monster_004,,-1,,-1,-1
1005,-1,,,-1,-1,1,Head_70001,-1,-1,5,1,5,30001,20001,map_monster_004,,-1,,-1,-1
1006,-1,,,-1,-1,1,Head_70001,-1,-1,6,1,6,30001,20001,map_monster_007,,-1,,-1,-1
1007,-1,,,-1,-1,1,Head_70001,-1,-1,7,1,7,30001,20001,map_monster_007,,-1,,-1,-1
1008,-1,,,-1,-1,1,Head_70001,-1,-1,8,1,8,30001,20001,map_monster_007,,-1,,-1,-1
1009,-1,,,-1,-1,1,Head_70001,-1,-1,9,1,9,30001,20001,map_monster_007,,-1,,-1,-1
1010,-1,,,-1,-1,1,Head_70001,-1,-1,10,1,10,30001,20001,map_monster_007,,-1,,-1,-1
1011,-1,,,-1,-1,1,Head_70001,-1,-1,11,1,11,30001,20001,map_monster_010,,-1,,-1,-1
1012,-1,,,-1,-1,1,Head_70001,-1,-1,12,1,12,30001,20001,map_monster_010,,-1,,-1,-1
1013,-1,,,-1,-1,1,Head_70001,-1,-1,13,1,13,30001,20001,map_monster_010,,-1,,-1,-1
1014,-1,,,-1,-1,1,Head_70001,-1,-1,14,1,14,30001,20001,map_monster_010,,-1,,-1,-1
1015,-1,,,-1,-1,1,Head_70001,-1,-1,15,1,15,30001,20001,map_monster_010,,-1,,-1,-1
1016,-1,,,-1,-1,1,Head_70001,-1,-1,16,1,16,30001,20001,map_monster_010,,-1,,-1,-1
1017,-1,,,-1,-1,1,Head_70001,-1,-1,17,1,17,30001,20001,map_monster_010,,-1,,-1,-1
1018,-1,,,-1,-1,1,Head_70001,-1,-1,18,1,18,30001,20001,map_monster_010,,-1,,-1,-1
1019,-1,,,-1,-1,1,Head_70001,-1,-1,19,1,19,30001,20001,map_monster_010,,-1,,-1,-1
1020,-1,,,-1,-1,1,Head_70001,-1,-1,20,1,20,30001,20001,map_monster_010,,-1,,-1,-1
1021,-1,,,-1,-1,1,Head_70001,-1,-1,21,1,21,30001,20001,map_monster_010,,-1,,-1,-1
1022,-1,,,-1,-1,1,Head_70001,-1,-1,22,1,22,30001,20001,map_monster_010,,-1,,-1,-1
1023,-1,,,-1,-1,1,Head_70001,-1,-1,23,1,23,30001,20001,map_monster_010,,-1,,-1,-1
1024,-1,,,-1,-1,1,Head_70001,-1,-1,24,1,24,30001,20001,map_monster_010,,-1,,-1,-1
1025,-1,,,-1,-1,1,Head_70001,-1,-1,25,1,25,30001,20001,map_monster_010,,-1,,-1,-1
1026,-1,,,-1,-1,1,Head_70001,-1,-1,26,1,26,30001,20001,map_monster_010,,-1,,-1,-1
1027,-1,,,-1,-1,1,Head_70001,-1,-1,27,1,27,30001,20001,map_monster_010,,-1,,-1,-1
1028,-1,,,-1,-1,1,Head_70001,-1,-1,28,1,28,30001,20001,map_monster_010,,-1,,-1,-1
1029,-1,,,-1,-1,1,Head_70001,-1,-1,29,1,29,30001,20001,map_monster_010,,-1,,-1,-1
1030,-1,,,-1,-1,1,Head_70001,-1,-1,30,1,30,30001,20001,map_monster_010,,-1,,-1,-1
2001,-1,,,-1,-1,2,Head_70001,-1,-1,1,1,1,30001,20001,map_monster_005,,-1,,-1,-1
2002,-1,,,-1,-1,2,Head_70001,-1,-1,2,1,2,30001,20001,map_monster_005,,-1,,-1,-1
2003,-1,,,-1,-1,2,Head_70001,-1,-1,3,1,3,30001,20001,map_monster_005,,-1,,-1,-1
2004,-1,,,-1,-1,2,Head_70001,-1,-1,4,1,4,30001,20001,map_monster_005,,-1,,-1,-1
2005,-1,,,-1,-1,2,Head_70001,-1,-1,5,1,5,30001,20001,map_monster_005,,-1,,-1,-1
2006,-1,,,-1,-1,2,Head_70001,-1,-1,6,1,6,30001,20001,map_monster_008,,-1,,-1,-1
2007,-1,,,-1,-1,2,Head_70001,-1,-1,7,1,7,30001,20001,map_monster_008,,-1,,-1,-1
2008,-1,,,-1,-1,2,Head_70001,-1,-1,8,1,8,30001,20001,map_monster_008,,-1,,-1,-1
2009,-1,,,-1,-1,2,Head_70001,-1,-1,9,1,9,30001,20001,map_monster_008,,-1,,-1,-1
2010,-1,,,-1,-1,2,Head_70001,-1,-1,10,1,10,30001,20001,map_monster_008,,-1,,-1,-1
2011,-1,,,-1,-1,2,Head_70001,-1,-1,11,1,11,30001,20001,map_monster_011,,-1,,-1,-1
2012,-1,,,-1,-1,2,Head_70001,-1,-1,12,1,12,30001,20001,map_monster_011,,-1,,-1,-1
2013,-1,,,-1,-1,2,Head_70001,-1,-1,13,1,13,30001,20001,map_monster_011,,-1,,-1,-1
