id,costEnergy,costEnergyRally,groupCostEnergy,alliance_giftid,area_refresh_cd,area_refresh_max,attr_affected_1120,bounty_level,cost_energy,cost_goods,costGoodList,day_max_kill_attr,day_max_kill_num,death_time,desc,drop_client,dropClientRewards,first_reward_group,group_cost_energy,icon,icon_big,join_max,level_max,life_time,map_zoom_icon,model,model_size,monster_type,name,open_days,passenger_cost,picture,rally_setting_icon,rally_type,reward_res_show,search_group,search_level,search_order,search_shield,search_show,searchIcon,super_assembly_cost,switch_key,switch_member,x_para,y_para
1,5,-1,-1,-1,-1,-1,-1,-1,5,,[],-1,-1,10,map_monster_group_desc_1,6501,[],-1,-1,,race_alliance,-1,30,10790,SLG_mon_01,race_alliance,1,1,map_monster_group_name_1,-1,-1,,,-1,,-1,,-1,0,-1,,-1,,,,
2,5,-1,-1,-1,-1,-1,-1,-1,5,,[],-1,-1,10,map_monster_group_desc_2,6502,[],-1,-1,,race_horde,-1,30,10790,SLG_mon_02,race_horde,1,1,map_monster_group_name_2,-1,-1,,,-1,,-1,,-1,0,-1,,-1,,,,
3,5,-1,-1,-1,-1,-1,-1,-1,5,,[],-1,-1,10,map_monster_group_desc_3,6503,[],-1,-1,,race_nature,-1,30,10790,SLG_mon_03,race_nature,1,1,map_monster_group_name_3,-1,-1,,,-1,,-1,,-1,0,-1,,-1,,,,
7,5,-1,-1,-1,-1,-1,-1,-1,5,,[],-1,-1,10,map_monster_group_desc_3,6510,[],-1,-1,,race_nature,-1,31,7190,SLG_boss_01,race_nature,1,1,map_monster_group_name_3,-1,-1,,,-1,,-1,,-1,-1,-1,,-1,,,,
31,5,10,10,101,-1,-1,-1,-1,5,,[],-1,-1,10,,,[],-1,10,,res_boss_003,20,999,28800,SLG_boss_01,res_boss_003,1,1,map_monster_group_name_31,-1,-1,,,6,,-1,,-1,-1,-1,,-1,,,,
14,20,20,20,-1,-1,-1,-1,-1,20,,[],-1,-1,-1,,6507,[],-1,20,,res_boss_006,5,10,-1,SLG_mon_05,res_boss_006,1,2,bounty_task_name_07,0,-1,,,6,,-1,,-1,-1,-1,,-1,,,,
21,-1,-1,-1,-1,-1,-1,-1,-1,-1,,[],-1,-1,-1,,,[],-1,-1,,res_troops_001,-1,3,-1,,res_troops_001,-1,-1,map_monster_group_name_21,-1,-1,,,-1,,-1,,-1,-1,-1,,-1,,,,
32,10,10,10,101,-1,-1,-1,-1,10,,[],-1,-1,10,,,[],-1,10,,res_boss_004,20,1,3600,SLG_mon_05,res_boss_004,1,-1,map_monster_group_name_32,-1,-1,,,2,,-1,,-1,-1,-1,,-1,,,,
41,10,-1,-1,101,-1,-1,-1,-1,10,,[],-1,-1,10,,,[],-1,-1,,res_boss_004,20,1,3600,SLG_mon_05,res_boss_004,1,-1,map_monster_group_name_32,-1,-1,,,2,,-1,,-1,-1,-1,,-1,,,,
33,5,10,10,-1,-1,-1,-1,-1,5,,[],-1,-1,10,,,[],-1,10,,res_monster_001,999,30,3600,SLG_mon_05,res_monster_001,1,-1,dark_legion_name,-1,-1,,,-1,,-1,,-1,-1,-1,,-1,,,,
34,5,10,10,-1,-1,-1,-1,-1,5,,[],-1,-1,10,,,[],-1,10,,res_monster_001,999,30,3600,SLG_mon_05,res_monster_001,1,-1,dark_legion_name,-1,-1,,,-1,,-1,,-1,-1,-1,,-1,,,,
35,5,10,10,-1,-1,-1,-1,-1,5,,[],-1,-1,10,,,[],-1,10,,res_monster_001,999,30,3600,SLG_mon_05,res_monster_001,1,-1,dark_legion_name,-1,-1,,,-1,,-1,,-1,-1,-1,,-1,,,,
36,5,10,10,-1,-1,-1,-1,-1,5,,[],-1,-1,10,,,[],-1,10,,res_monster_001,999,30,3600,SLG_mon_05,res_monster_001,1,-1,dark_legion_name,-1,-1,,,-1,,-1,,-1,-1,-1,,-1,,,,
37,5,10,10,-1,-1,-1,-1,-1,5,,[],-1,-1,10,,,[],-1,10,,res_monster_001,999,30,3600,SLG_mon_05,res_monster_001,1,-1,dark_legion_name,-1,-1,,,-1,,-1,,-1,-1,-1,,-1,,,,
38,5,10,10,-1,-1,-1,-1,-1,5,,[],-1,-1,10,,,[],-1,10,,res_monster_001,999,30,3600,SLG_mon_05,res_monster_001,1,-1,dark_legion_name,-1,-1,,,-1,,-1,,-1,-1,-1,,-1,,,,
1201,5,10,10,-1,-1,-1,-1,-1,5,,[],-1,-1,10,,,[],-1,10,,res_monster_001,999,30,3600,SLG_mon_05,res_monster_001,1,-1,dark_legion_name,-1,-1,,,-1,,-1,,-1,-1,-1,,-1,,,,
1202,5,10,10,-1,-1,-1,-1,-1,5,,[],-1,-1,10,,,[],-1,10,,res_monster_001,999,30,3600,SLG_mon_05,res_monster_001,1,-1,dark_legion_name,-1,-1,,,-1,,-1,,-1,-1,-1,,-1,,,,
1203,5,10,10,-1,-1,-1,-1,-1,5,,[],-1,-1,10,,,[],-1,10,,res_monster_001,999,30,3600,SLG_mon_05,res_monster_001,1,-1,dark_legion_name,-1,-1,,,-1,,-1,,-1,-1,-1,,-1,,,,
1204,5,10,10,-1,-1,-1,-1,-1,5,,[],-1,-1,10,,,[],-1,10,,res_monster_001,999,30,3600,SLG_mon_05,res_monster_001,1,-1,dark_legion_name,-1,-1,,,-1,,-1,,-1,-1,-1,,-1,,,,
1205,5,10,10,-1,-1,-1,-1,-1,5,,[],-1,-1,10,,,[],-1,10,,res_monster_001,999,30,3600,SLG_mon_05,res_monster_001,1,-1,dark_legion_name,-1,-1,,,-1,,-1,,-1,-1,-1,,-1,,,,
1206,5,10,10,-1,-1,-1,-1,-1,5,,[],-1,-1,10,,,[],-1,10,,res_monster_001,999,30,3600,SLG_mon_05,res_monster_001,1,-1,dark_legion_name,-1,-1,,,-1,,-1,,-1,-1,-1,,-1,,,,
1301,5,10,10,-1,-1,-1,-1,-1,5,,[],-1,-1,10,,,[],-1,10,,res_monster_001,999,30,3600,SLG_mon_05,res_monster_001,1,-1,dark_legion_name,-1,-1,,,-1,,-1,,-1,-1,-1,,-1,,,,
1302,5,10,10,-1,-1,-1,-1,-1,5,,[],-1,-1,10,,,[],-1,10,,res_monster_001,999,30,3600,SLG_mon_05,res_monster_001,1,-1,dark_legion_name,-1,-1,,,-1,,-1,,-1,-1,-1,,-1,,,,
1303,5,10,10,-1,-1,-1,-1,-1,5,,[],-1,-1,10,,,[],-1,10,,res_monster_001,999,30,3600,SLG_mon_05,res_monster_001,1,-1,dark_legion_name,-1,-1,,,-1,,-1,,-1,-1,-1,,-1,,,,
1304,5,10,10,-1,-1,-1,-1,-1,5,,[],-1,-1,10,,,[],-1,10,,res_monster_001,999,30,3600,SLG_mon_05,res_monster_001,1,-1,dark_legion_name,-1,-1,,,-1,,-1,,-1,-1,-1,,-1,,,,
1305,5,10,10,-1,-1,-1,-1,-1,5,,[],-1,-1,10,,,[],-1,10,,res_monster_001,999,30,3600,SLG_mon_05,res_monster_001,1,-1,dark_legion_name,-1,-1,,,-1,,-1,,-1,-1,-1,,-1,,,,
1306,5,10,10,-1,-1,-1,-1,-1,5,,[],-1,-1,10,,,[],-1,10,,res_monster_001,999,30,3600,SLG_mon_05,res_monster_001,1,-1,dark_legion_name,-1,-1,,,-1,,-1,,-1,-1,-1,,-1,,,,
1401,5,10,10,-1,-1,-1,-1,-1,5,,[],-1,-1,10,,,[],-1,10,,res_monster_001,999,30,3600,SLG_mon_05,res_monster_001,1,-1,dark_legion_name,-1,-1,,,-1,,-1,,-1,-1,-1,,-1,,,,
1402,5,10,10,-1,-1,-1,-1,-1,5,,[],-1,-1,10,,,[],-1,10,,res_monster_001,999,30,3600,SLG_mon_05,res_monster_001,1,-1,dark_legion_name,-1,-1,,,-1,,-1,,-1,-1,-1,,-1,,,,
1403,5,10,10,-1,-1,-1,-1,-1,5,,[],-1,-1,10,,,[],-1,10,,res_monster_001,999,30,3600,SLG_mon_05,res_monster_001,1,-1,dark_legion_name,-1,-1,,,-1,,-1,,-1,-1,-1,,-1,,,,
1404,5,10,10,-1,-1,-1,-1,-1,5,,[],-1,-1,10,,,[],-1,10,,res_monster_001,999,30,3600,SLG_mon_05,res_monster_001,1,-1,dark_legion_name,-1,-1,,,-1,,-1,,-1,-1,-1,,-1,,,,
1405,5,10,10,-1,-1,-1,-1,-1,5,,[],-1,-1,10,,,[],-1,10,,res_monster_001,999,30,3600,SLG_mon_05,res_monster_001,1,-1,dark_legion_name,-1,-1,,,-1,,-1,,-1,-1,-1,,-1,,,,
1406,5,10,10,-1,-1,-1,-1,-1,5,,[],-1,-1,10,,,[],-1,10,,res_monster_001,999,30,3600,SLG_mon_05,res_monster_001,1,-1,dark_legion_name,-1,-1,,,-1,,-1,,-1,-1,-1,,-1,,,,
2001,-1,-1,-1,-1,-1,-1,-1,-1,-1,,[],-1,-1,-1,,,[],-1,-1,,,-1,5,-1,,,-1,-1,map_monster_group_name_2001,-1,-1,,,-1,,-1,,-1,-1,-1,,-1,,,,
2002,-1,-1,-1,-1,-1,-1,-1,-1,-1,,[],-1,-1,-1,,,[],-1,-1,,,-1,5,-1,,,-1,-1,map_monster_group_name_2002,-1,-1,,,-1,,-1,,-1,-1,-1,,-1,,,,
2003,-1,-1,-1,-1,-1,-1,-1,-1,-1,,[],-1,-1,-1,,,[],-1,-1,,,-1,5,-1,,,-1,-1,map_monster_group_name_2003,-1,-1,,,-1,,-1,,-1,-1,-1,,-1,,,,
